Quarter,Time,Tm,Detail,SEA,CHI
1,8:35,Bears,Thomas Jones 9 yard rush (Robbie Gould kick),0,7
2,14:54,Seahawks,Nate Burleson 16 yard pass from Matt Hasselbeck (Josh Brown kick),7,7
,14:36,Bears,Bernard Berrian 68 yard pass from Rex Grossman (Robbie Gould kick),7,14
,2:29,Seahawks,Shaun Alexander 4 yard rush (Josh Brown kick),14,14
,0:48,Bears,Thomas Jones 7 yard rush (Robbie Gould kick),14,21
3,9:56,Seahawks,Josh Brown 40 yard field goal,17,21
,4:57,Seahawks,Shaun Alexander 13 yard rush (Josh Brown kick),24,21
4,4:24,Bears,Robbie Gould 41 yard field goal,24,24
OT,10:02,Bears,Robbie Gould 49 yard field goal,24,27
