Quarter,Time,Tm,Detail,SFO,CHI
2.0,10:11,49ers,Deebo Samuel 6 yard rush (Robbie Gould kick),7,0
3.0,8:22,49ers,Robbie Gould 25 yard field goal,10,0
,5:32,Bears,Dante Pettis 51 yard pass from Justin Fields (Cairo Santos kick),10,7
4.0,12:45,Bears,Equanimeous St. Brown 18 yard pass from Justin Fields (Cairo Santos kick failed),10,13
,7:21,Bears,Khalil Herbert 3 yard rush (Cairo Santos kick failed),10,19
