Unnamed: 0,IND,DEN
First Downs,19,24
Rush-Yds-TDs,21-83-1,31-134-1
Cmp-Att-Yd-TD-INT,21-40-197-1-1,22-33-266-0-1
Sacked-Yards,5-27,1-0
Net Pass Yards,170,266
Total Yards,253,400
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,8-94,8-54
Third Down Conv.,6-14,5-11
Fourth Down Conv.,1-1,0-0
Time of Possession,29:19,30:41
