Quarter,Time,Tm,Detail,IND,DEN
1.0,8:17,Colts,Adam Vinatieri 48 yard field goal,3,0
,5:30,Broncos,Brandon McManus 23 yard field goal,3,3
2.0,11:41,Broncos,C.J. Anderson 4 yard rush (Brandon McManus kick),3,10
,2:43,Colts,Adam Vinatieri 52 yard field goal,6,10
,0:05,Broncos,Brandon McManus 43 yard field goal,6,13
3.0,8:06,Colts,Robert Turbin 5 yard rush (Adam Vinatieri kick),13,13
,1:09,Broncos,Brandon McManus 33 yard field goal,13,16
4.0,13:52,Broncos,Aqib Talib 46 yard interception return (Brandon McManus kick),13,23
,4:02,Colts,Frank Gore 7 yard pass from Andrew Luck (Adam Vinatieri kick),20,23
,1:51,Broncos,Brandon McManus 35 yard field goal,20,26
,1:42,Broncos,Shane Ray 15 yard defensive fumble return (Demaryius Thomas pass from Trevor Siemian),20,34
