Quarter,Time,Tm,Detail,TEN,LAR
1.0,3:46,Rams,Matt Gay 34 yard field goal,0,3
2.0,12:21,Titans,Geoff Swaim 2 yard pass from Ryan Tannehill (Randy Bullock kick),7,3
,12:10,Titans,Kevin Byard 24 yard interception return (Randy Bullock kick),14,3
,2:10,Titans,Ryan Tannehill 1 yard rush (Randy Bullock kick),21,3
3.0,8:15,Rams,Matt Gay 22 yard field goal,21,6
4.0,14:55,Rams,Matt Gay 54 yard field goal,21,9
,3:00,Titans,Adrian Peterson 1 yard rush (Randy Bullock kick),28,9
,0:24,Rams,Sony Michel 3 yard pass from Matthew Stafford (Matt Gay kick),28,16
