Unnamed: 0,TEN,LAR
First Downs,16,22
Rush-Yds-TDs,26-69-2,21-94-0
Cmp-Att-Yd-TD-INT,19-27-143-1-1,31-48-294-1-2
Sacked-Yards,3-18,5-41
Net Pass Yards,125,253
Total Yards,194,347
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,4-19,12-115
Third Down Conv.,4-12,4-15
Fourth Down Conv.,2-2,2-3
Time of Possession,27:39,32:21
