Quarter,Time,Tm,Detail,CAR,TAM
1,2:05,Panthers,John Kasay 28 yard field goal,3,0
2,0:14,Panthers,John Kasay 35 yard field goal,6,0
3,10:11,Panthers,John Kasay 20 yard field goal,9,0
,2:07,Buccaneers,Martin Gramatica 41 yard field goal,9,3
4,0:00,Buccaneers,Keenan McCardell 6 yard pass from Brad Johnson (Martin Gramatica kick failed),9,9
OT,3:28,Panthers,John Kasay 47 yard field goal,12,9
