Unnamed: 0,CAR,TAM
First Downs,14,25
Rush-Yds-TDs,40-171-0,22-60-0
Cmp-Att-Yd-TD-INT,9-23-96-0-2,34-61-339-1-1
Sacked-Yards,1-9,1-2
Net Pass Yards,87,337
Total Yards,258,397
Fumbles-Lost,1-0,1-0
Turnovers,2,1
Penalties-Yards,16-120,17-168
Third Down Conv.,4-17,8-18
Fourth Down Conv.,0-0,0-0
Time of Possession,35:01,36:31
