Quarter,Time,Tm,Detail,JAX,DEN
1.0,12:09,Broncos,Julius Thomas 3 yard pass from Peyton Manning (Matt Prater kick),0,7
,2:44,Broncos,Wes Welker 20 yard pass from Peyton Manning (Matt Prater kick),0,14
2.0,13:18,Jaguars,Josh Scobee 50 yard field goal,3,14
,5:43,Jaguars,Josh Scobee 30 yard field goal,6,14
,0:36,Jaguars,Paul Posluszny 59 yard interception return (pass failed),12,14
3.0,12:16,Broncos,Knowshon Moreno 1 yard rush (Matt Prater kick),12,21
,7:43,Jaguars,Maurice Jones-Drew 5 yard rush (Josh Scobee kick),19,21
,4:02,Broncos,Knowshon Moreno 8 yard rush (Matt Prater kick),19,28
4.0,9:09,Broncos,Knowshon Moreno 3 yard rush (Matt Prater kick),19,35
