Unnamed: 0,JAX,DEN
First Downs,20,26
Rush-Yds-TDs,27-71-1,29-112-3
Cmp-Att-Yd-TD-INT,27-42-303-0-2,28-42-295-2-1
Sacked-Yards,2-12,0-0
Net Pass Yards,291,295
Total Yards,362,407
Fumbles-Lost,2-0,3-2
Turnovers,2,3
Penalties-Yards,7-62,4-31
Third Down Conv.,5-14,7-13
Fourth Down Conv.,0-3,1-1
Time of Possession,31:15,28:45
