Quarter,Time,Tm,Detail,CHI,MIN
1.0,12:09,Bears,Cairo Santos 43 yard field goal,3,0
2.0,4:55,Bears,Cairo Santos 46 yard field goal,6,0
,0:31,Bears,Damien Williams 23 yard pass from Andy Dalton (Allen Robinson pass from Andy Dalton),14,0
,0:00,Vikings,Greg Joseph 39 yard field goal,14,3
3.0,12:24,Vikings,Ihmir Smith-Marsette 44 yard pass from Kirk Cousins (Greg Joseph kick),14,10
,1:37,Bears,Cairo Santos 42 yard field goal,17,10
4.0,13:35,Vikings,Justin Jefferson 45 yard pass from Kirk Cousins (Greg Joseph kick),17,17
,8:04,Vikings,K.J. Osborn 21 yard pass from Kirk Cousins (Greg Joseph kick),17,24
,4:54,Vikings,Patrick Peterson 66 yard interception return (Greg Joseph kick),17,31
