Unnamed: 0,PIT,TAM
First Downs,19,18
Rush-Yds-TDs,35-94-0,14-74-0
Cmp-Att-Yd-TD-INT,18-24-244-1-0,21-44-232-1-1
Sacked-Yards,2-11,6-29
Net Pass Yards,233,203
Total Yards,327,277
Fumbles-Lost,2-1,2-2
Turnovers,1,3
Penalties-Yards,5-45,5-39
Third Down Conv.,7-14,2-11
Fourth Down Conv.,0-1,1-1
Time of Possession,34:20,25:40
