Quarter,Time,Tm,Detail,PIT,TAM
1.0,12:01,Steelers,Antwaan Randle El 11 yard pass from Tommy Maddox (Jeff Reed kick),7,0
,11:10,Steelers,Chad Scott 30 yard interception return (Jeff Reed kick),14,0
,4:24,Steelers,Jeff Reed 26 yard field goal,17,0
4.0,1:14,Buccaneers,Keyshawn Johnson 18 yard pass from Rob Johnson (Martin Gramatica kick),17,7
