Quarter,Time,Down,ToGo,Location,SFO,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAC 25,0,0,Philip Rivers pass incomplete short right intended for Melvin Gordon,0.610,0.060
1,14:55,2,10,LAC 25,0,0,Melvin Gordon up the middle for no gain (tackle by DeForest Buckner and Arik Armstead),0.060,-0.620
1,14:12,3,10,LAC 25,6,0,"Philip Rivers pass short right intended for Keenan Allen is intercepted by Antone Exum at LAC-32 and returned for 32 yards, touchdown",-0.620,-7.000
1,14:03,,,SFO 35,7,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,14:03,1,10,LAC 25,7,0,Melvin Gordon left end for 3 yards (tackle by Reuben Foster),0.610,0.470
1,13:20,2,7,LAC 28,7,0,Philip Rivers pass incomplete short left intended for Mike Williams,0.470,-0.230
1,13:15,3,7,LAC 28,7,0,Philip Rivers pass incomplete short right,-0.230,-1.500
1,13:12,4,7,LAC 28,7,0,"Drew Kaser punts 55 yards, returned by Dante Pettis for -3 yards (tackle by Jatavis Brown)",-1.500,0.280
1,12:56,1,10,SFO 14,7,0,Matt Breida right end for -1 yards (tackle by Brandon Mebane),-0.280,-0.850
1,12:22,2,11,SFO 13,7,0,C.J. Beathard pass incomplete short middle intended for Pierre Garcon,-0.850,-1.530
1,12:18,3,11,SFO 13,7,0,"Penalty on Trent Taylor: False Start, 5 yards (no play)",-1.530,-2.120
1,12:18,3,16,SFO 8,7,0,C.J. Beathard pass complete short left to George Kittle for 9 yards (tackle by Trevor Williams and Adrian Phillips),-2.120,-2.320
1,11:42,4,7,SFO 17,7,0,"Bradley Pinion punts 45 yards, returned by Desmond King for -1 yards (tackle by Mark Nzeocha)",-2.320,-1.400
1,11:32,1,10,LAC 37,7,0,Philip Rivers pass complete short right to Travis Benjamin for 2 yards (tackle by K'Waun Williams),1.400,1.130
1,11:01,2,8,LAC 39,7,0,Philip Rivers pass complete short right to Keenan Allen for 3 yards (tackle by Reuben Foster),1.130,0.830
1,10:24,3,5,LAC 42,7,0,Philip Rivers pass complete short right to Keenan Allen for 4 yards (tackle by Fred Warner),0.830,-0.320
1,9:37,,,,,,Timeout #1 by Los Angeles Chargers,,
1,9:37,4,1,LAC 46,7,0,Philip Rivers up the middle for 1 yard (tackle by DeForest Buckner),-0.320,2.060
1,9:08,1,10,LAC 47,7,0,Philip Rivers pass complete short right to Melvin Gordon for 13 yards (tackle by Malcolm Smith and Fred Warner),2.060,2.920
1,8:28,1,10,SFO 40,7,0,Melvin Gordon left end for 3 yards (tackle by Jimmie Ward),2.920,2.780
1,7:50,2,7,SFO 37,7,0,Melvin Gordon left tackle for 1 yard (tackle by Arik Armstead and Malcolm Smith),2.780,2.210
1,7:11,3,6,SFO 36,7,0,Philip Rivers pass incomplete deep middle intended for Antonio Gates,2.210,0.880
1,7:06,4,6,SFO 36,7,0,Caleb Sturgis 54 yard field goal no good,0.880,-1.860
1,7:01,1,10,SFO 44,7,0,Matt Breida left end for 12 yards,1.860,2.650
1,6:29,1,10,LAC 44,7,0,"C.J. Beathard pass complete deep middle to Marquise Goodwin for 20 yards (tackle by Trevor Williams). Penalty on Darius Philon: Roughing the Passer, 12 yards",2.650,4.780
1,6:01,1,10,LAC 12,7,0,C.J. Beathard pass complete short left to Kyle Juszczyk for 5 yards (tackle by Trevor Williams and Jatavis Brown),4.780,5.020
1,5:21,2,5,LAC 7,7,0,Matt Breida up the middle for 5 yards (tackle by Jahleel Addae and Trevor Williams),5.020,6.740
1,4:39,,,,,,Timeout #1 by San Francisco 49ers,,
1,4:39,1,2,LAC 2,7,0,Alfred Morris up the middle for no gain (tackle by Denzel Perryman and Rayshawn Jenkins),6.740,5.720
1,3:57,2,2,LAC 2,13,0,"C.J. Beathard pass complete short middle to Kendrick Bourne for 2 yards, touchdown",5.720,7.000
1,3:53,,,LAC 15,14,0,Robbie Gould kicks extra point good,0.000,0.000
1,3:53,,,SFO 35,14,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,3:53,1,10,LAC 25,14,0,Philip Rivers pass complete deep right to Keenan Allen for 18 yards (tackle by Ahkello Witherspoon),0.610,1.800
1,3:18,1,10,LAC 43,14,0,Philip Rivers pass complete short left to Antonio Gates for 22 yards (tackle by Solomon Thomas),1.800,3.250
1,2:36,1,10,SFO 35,14,0,Philip Rivers pass complete short middle to Melvin Gordon for 5 yards (tackle by Reuben Foster),3.250,3.380
1,1:55,2,5,SFO 30,14,0,"Philip Rivers pass complete short middle to Tyrell Williams for 22 yards (tackle by K'Waun Williams). Penalty on K'Waun Williams: Face Mask (15 Yards), 4 yards",3.380,6.280
1,1:37,1,4,SFO 4,14,0,Philip Rivers pass complete short right to Virgil Green for -1 yards (tackle by Malcolm Smith),6.280,5.150
1,0:52,2,5,SFO 5,14,0,Philip Rivers pass incomplete short middle intended for Keenan Allen (defended by Antone Exum),5.150,4.260
1,0:48,3,5,SFO 5,14,6,"Philip Rivers pass complete short right to Antonio Gates for 5 yards, touchdown",4.260,7.000
1,0:43,,,SFO 15,14,6,Caleb Sturgis kicks extra point no good wide right,0.000,-1.000
1,0:43,,,LAC 35,14,6,"Caleb Sturgis kicks off 65 yards, touchback.",0.000,0.610
1,0:43,1,10,SFO 25,14,6,C.J. Beathard pass complete short left to George Kittle for 8 yards (tackle by Jatavis Brown),0.610,1.140
Quarter,Time,Down,ToGo,Location,SFO,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,SFO 33,14,6,"C.J. Beathard aborted snap, recovered by Matt Breida at SF-32 (tackle by Jatavis Brown)",1.140,0.300
2,14:12,3,3,SFO 32,14,6,C.J. Beathard pass complete short left to Marquise Goodwin for 4 yards (tackle by Trevor Williams),0.300,1.330
2,13:34,1,10,SFO 36,14,6,Marquise Goodwin left end for 4 yards (tackle by Kyle Emanuel),1.330,1.330
2,12:56,2,6,SFO 40,14,6,C.J. Beathard pass incomplete short right intended for Kyle Juszczyk (defended by Jatavis Brown),1.330,0.630
2,12:50,3,6,SFO 40,14,6,C.J. Beathard pass complete short middle to George Kittle for 6 yards (tackle by Derwin James),0.630,1.990
2,11:57,1,10,SFO 46,14,6,Alfred Morris left end for 3 yards (tackle by Damion Square),1.990,1.860
2,11:19,2,7,SFO 49,14,6,Alfred Morris left tackle for 8 yards (tackle by Jatavis Brown),1.860,2.720
2,10:43,1,10,LAC 43,14,6,C.J. Beathard pass incomplete short left intended for Alfred Morris (defended by Derwin James),2.720,2.180
2,10:40,2,10,LAC 43,14,6,C.J. Beathard pass incomplete short left intended for Kendrick Bourne (defended by Damion Square),2.180,1.490
2,10:34,3,10,LAC 43,14,6,"C.J. Beathard pass incomplete deep left intended for Marquise Goodwin. Penalty on Trevor Williams: Illegal Contact, 5 yards (no play)",1.490,3.050
2,10:27,1,10,LAC 38,14,6,C.J. Beathard pass complete short left to Trent Taylor for 5 yards (tackle by Trevor Williams and Desmond King),3.050,3.180
2,9:50,2,5,LAC 33,14,6,Matt Breida left tackle for -2 yards (tackle by Damion Square),3.180,2.210
2,9:08,3,7,LAC 35,14,6,C.J. Beathard pass complete short middle to George Kittle for 13 yards (tackle by Jahleel Addae),2.210,4.110
2,8:47,1,10,LAC 22,14,6,"C.J. Beathard pass complete short left to Matt Breida for 4 yards (tackle by Darius Philon). Penalty on Garrett Celek: Offensive Holding, 10 yards",4.110,3.710
2,8:14,1,16,LAC 28,14,6,C.J. Beathard left end for no gain (tackle by Derwin James),3.710,2.750
2,7:48,2,16,LAC 28,14,6,C.J. Beathard pass complete short middle to Pierre Garcon for 13 yards (tackle by Trevor Williams),2.750,3.930
2,7:03,3,3,LAC 15,14,6,C.J. Beathard pass complete short right to George Kittle for 7 yards (tackle by Derwin James),3.930,5.370
2,6:24,1,8,LAC 8,14,6,Matt Breida up the middle for 1 yard (tackle by Justin Jones and Damion Square),5.370,4.760
2,5:44,2,7,LAC 7,14,6,C.J. Beathard pass complete short left to Pierre Garcon for 4 yards (tackle by Jatavis Brown),4.760,4.720
