Unnamed: 0,DET,CAR
First Downs,10,20
Rush-Yds-TDs,17-40-0,34-116-1
Cmp-Att-Yd-TD-INT,18-33-178-0-0,24-35-258-1-2
Sacked-Yards,5-33,1-0
Net Pass Yards,145,258
Total Yards,185,374
Fumbles-Lost,1-1,2-0
Turnovers,1,2
Penalties-Yards,4-20,7-45
Third Down Conv.,3-14,5-15
Fourth Down Conv.,1-3,0-0
Time of Possession,23:12,36:48
