Quarter,Time,Down,ToGo,Location,ATL,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Mike Vanderjagt kicks off 65 yards, returned by Allen Rossum for 20 yards (tackle by Mike Doss)",0.000,0.610
1,14:55,1,10,ATL 25,0,0,Michael Vick pass incomplete intended for Peerless Price (defended by David Macklin),0.610,0.060
1,14:51,2,10,ATL 25,0,0,Michael Vick pass complete to Brian Finneran for 11 yards (tackle by Walt Harris),0.060,1.330
1,14:14,1,10,ATL 36,0,0,Michael Vick sacked by Larry Tripplett and Montae Reagor for -5 yards,1.330,0.120
1,13:35,2,15,ATL 31,0,0,"Michael Vick sacked by Robert Mathis for -11 yards. Michael Vick fumbles (forced by Robert Mathis), recovered by Dwight Freeney at ATL-18 and returned for 4 yards (tackle by Todd Weiner)",0.120,-4.650
1,13:27,1,10,ATL 14,0,6,"Peyton Manning pass complete to Reggie Wayne for 14 yards, touchdown",4.650,7.000
1,,,,ATL 2,0,7,Mike Vanderjagt kicks extra point good,0.000,0.000
1,,,,IND 30,0,7,"Mike Vanderjagt kicks off 65 yards, returned by Allen Rossum for 15 yards (tackle by Mike Doss)",0.000,0.280
1,13:18,1,10,ATL 20,0,7,"Penalty on Montae Reagor: Defensive Offside, 5 yards (no play)",0.280,1.010
1,13:18,1,5,ATL 25,0,7,T.J. Duckett up the middle for -1 yards (tackle by Mike Doss and Raheem Brock),1.010,0.270
1,12:40,2,6,ATL 24,0,7,Michael Vick pass incomplete intended for George Layne,0.270,-0.430
1,12:30,3,6,ATL 24,0,7,Michael Vick pass incomplete intended for Alge Crumpler,-0.430,-1.770
1,12:26,4,6,ATL 24,0,7,"Chris Mohr punts 41 yards, fair catch by Troy Walters",-1.770,-1.270
1,12:19,1,10,IND 35,0,7,Edgerrin James right end for 1 yard (tackle by Keith Brooking and Matt Stewart),1.270,0.860
1,11:51,2,9,IND 36,0,7,Peyton Manning pass complete to Edgerrin James for 2 yards (tackle by Chris Draft),0.860,0.430
1,11:09,3,7,IND 38,0,7,Peyton Manning pass complete to Brandon Stokley for 17 yards (tackle by Ray Buchanan),0.430,2.590
1,10:29,1,10,ATL 45,0,7,Peyton Manning pass incomplete intended for Brandon Stokley (defended by Keith Newman),2.590,2.040
1,10:24,2,10,ATL 45,0,7,Edgerrin James up the middle for 3 yards (tackle by Keith Brooking),2.040,1.750
1,9:49,3,7,ATL 42,0,7,Peyton Manning pass complete to Marcus Pollard for 8 yards (tackle by Keith Brooking),1.750,3.310
1,9:07,1,10,ATL 34,0,7,Peyton Manning pass complete to Marvin Harrison for 32 yards (tackle by Bryan Scott),3.310,6.740
1,8:34,1,2,ATL 2,0,7,Edgerrin James left end for 1 yard (tackle by Keith Newman),6.740,5.910
1,7:53,2,1,ATL 1,0,7,Peyton Manning pass incomplete intended for Joe D. Davenport,5.910,5.170
1,7:47,3,1,ATL 1,0,7,Edgerrin James right end for no gain (tackle by Keith Brooking and Chris Draft),5.170,3.550
1,7:02,4,1,ATL 1,0,7,"Edgerrin James for -5 yards (tackle by Matt Stewart). Edgerrin James fumbles (forced by Matt Stewart), recovered by Patrick Kerney at ATL-6",3.550,0.380
1,6:53,1,10,ATL 6,0,7,T.J. Duckett left end for -1 yards (tackle by Chad Bratzke and Raheem Brock),-0.380,-0.850
1,6:13,2,11,ATL 5,0,7,Michael Vick pass incomplete intended for Peerless Price,-0.850,-1.540
1,6:06,3,11,ATL 5,0,7,Michael Vick pass incomplete intended for Peerless Price (defended by Nick Harper),-1.540,-2.490
1,6:01,4,11,ATL 5,0,7,"Chris Mohr punts 45 yards, returned by Troy Walters for 1 yard (tackle by Chris Draft)",-2.490,-2.320
1,5:53,1,10,ATL 49,0,7,Peyton Manning pass complete to Marvin Harrison for 18 yards (tackle by Keith Brooking),2.320,3.510
1,5:09,1,10,ATL 31,0,7,Peyton Manning pass complete to Reggie Wayne for 12 yards (tackle by Tod McBride),3.510,4.310
1,4:35,1,10,ATL 19,0,7,Edgerrin James right end for no gain (tackle by Travis Hall and Keith Brooking),4.310,3.750
1,3:56,2,10,ATL 19,0,7,Peyton Manning pass complete to Marvin Harrison for 10 yards (tackle by Keith Newman),3.750,5.140
1,3:17,1,9,ATL 9,0,7,Edgerrin James up the middle for 2 yards (tackle by Brady Smith and Keith Newman),5.140,4.760
1,2:39,2,7,ATL 7,0,7,Peyton Manning pass complete to Reggie Wayne for 3 yards (tackle by Bryan Scott),4.760,4.490
1,1:49,3,4,ATL 4,0,13,"Peyton Manning pass complete to Brandon Stokley for 4 yards, touchdown",4.490,7.000
1,,,,ATL 2,0,14,Mike Vanderjagt kicks extra point good,0.000,0.000
1,,,,IND 30,0,14,"Mike Vanderjagt kicks off 66 yards, returned by Allen Rossum for 20 yards (tackle by Jason Doering). Penalty on Twan Russell: Offensive Holding, 10 yards",,
1,1:40,1,10,ATL 14,0,14,T.J. Duckett right guard for 11 yards (tackle by Rob Morris),-0.280,0.610
1,1:04,1,10,ATL 25,0,14,T.J. Duckett up the middle for 2 yards (tackle by Larry Tripplett and Marcus Washington),0.610,0.330
1,0:24,2,8,ATL 27,0,14,Michael Vick pass complete to Brian Finneran for 14 yards (tackle by Donald Strickland),0.330,1.660
Quarter,Time,Down,ToGo,Location,ATL,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ATL 41,0,14,T.J. Duckett up the middle for 5 yards (tackle by David Thornton and Walt Harris),1.660,1.800
2,14:18,2,5,ATL 46,0,14,Michael Vick pass incomplete intended for Peerless Price,1.800,1.090
2,14:12,3,5,ATL 46,0,14,Michael Vick sacked by Marcus Washington for -11 yards,1.090,-1.040
2,13:57,4,16,ATL 35,0,14,"Chris Mohr punts 39 yards, fair catch by Troy Walters. Penalty on Clifton Crosby: Offensive Holding, 10 yards",-1.040,0.140
2,13:50,1,10,IND 16,0,14,"Edgerrin James for 7 yards (tackle by Kevin Mathis). Penalty on Patrick Kerney: Face Mask (5 Yards), 5 yards",-0.140,0.810
2,13:29,1,10,IND 28,0,14,Edgerrin James left tackle for 12 yards (tackle by Keith Brooking and Ray Buchanan),0.810,1.600
