Quarter,Time,Tm,Detail,ATL,IND
1.0,13:22,Colts,Reggie Wayne 14 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
,1:45,Colts,Brandon Stokley 4 yard pass from Peyton Manning (Mike Vanderjagt kick),0,14
2.0,10:09,Colts,Mike Vanderjagt 43 yard field goal,0,17
,2:40,Colts,Marvin Harrison 17 yard pass from Peyton Manning (Mike Vanderjagt kick),0,24
3.0,12:51,Colts,Brandon Stokley 37 yard pass from Peyton Manning (Mike Vanderjagt kick),0,31
,4:57,Falcons,T.J. Duckett 17 yard rush (Jay Feely kick),7,31
,2:35,Colts,Marvin Harrison 16 yard pass from Peyton Manning (Mike Vanderjagt kick),7,38
