Unnamed: 0,PHI,DAL
First Downs,17,9
Rush-Yds-TDs,32-114-1,19-68-0
Cmp-Att-Yd-TD-INT,19-33-253-1-2,15-24-128-0-1
Sacked-Yards,1-8,7-50
Net Pass Yards,245,78
Total Yards,359,146
Fumbles-Lost,0-0,6-2
Turnovers,2,3
Penalties-Yards,10-67,7-69
Third Down Conv.,8-18,0-12
Fourth Down Conv.,0-0,0-1
Time of Possession,31:43,28:17
