Quarter,Time,Down,ToGo,Location,SEA,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 62 yards, returned by Dontrell Hilliard for 74 yards (tackle by Ugochukwu Amadi)",0.000,4.040
1,14:49,1,10,SEA 23,0,0,"Baker Mayfield pass complete short left to Odell Beckham for 5 yards (tackle by Tre Flowers). Penalty on Mychal Kendricks: Defensive Offside, 5 yards (no play)",4.040,4.860
1,14:25,1,5,SEA 18,0,0,Nick Chubb left tackle for 2 yards (tackle by Bradley McDougald),4.860,4.560
1,13:52,2,3,SEA 16,0,0,Baker Mayfield pass complete short left to Pharaoh Brown for 9 yards (tackle by Tedric Thompson and Tre Flowers),4.560,5.600
1,13:05,1,7,SEA 7,0,6,"Nick Chubb left tackle for 7 yards, touchdown",5.600,7.000
1,13:01,,,SEA 15,0,7,Austin Seibert kicks extra point good,0.000,0.000
1,13:01,,,CLE 35,0,7,"Austin Seibert kicks off 65 yards, touchback.",0.000,0.610
1,13:01,1,10,SEA 25,0,7,Russell Wilson pass complete short right to Luke Willson for 5 yards (tackle by Jermaine Whitehead),0.610,0.740
1,12:35,2,5,SEA 30,0,7,Russell Wilson pass complete short right to Nick Bellore for 20 yards (tackle by Damarious Randall),0.740,2.260
1,11:53,1,10,SEA 50,0,7,Chris Carson right guard for 8 yards (tackle by Damarious Randall and Myles Garrett),2.260,2.790
1,11:15,2,2,CLE 42,0,7,Chris Carson left end for no gain (tackle by Olivier Vernon),2.790,2.080
1,10:34,3,2,CLE 42,0,7,Russell Wilson pass complete short left to D.K. Metcalf for 30 yards (tackle by T.J. Carrie),2.080,4.780
1,10:01,1,10,CLE 12,0,7,Chris Carson left tackle for 1 yard (tackle by T.J. Carrie),4.780,4.270
1,9:20,2,9,CLE 11,0,7,"Penalty on Germain Ifedi: False Start, 5 yards (no play)",4.270,3.530
1,8:58,2,14,CLE 16,6,7,"Russell Wilson up the middle for 16 yards, touchdown",3.530,7.000
1,8:52,,,CLE 15,6,7,Jason Myers kicks extra point no good wide right,0.000,-1.000
1,8:52,,,SEA 35,6,7,"Jason Myers kicks off 62 yards, returned by Dontrell Hilliard for 28 yards (tackle by Delano Hill)",0.000,1.000
1,8:46,1,10,CLE 31,6,7,Nick Chubb left tackle for 5 yards (tackle by Quinton Jefferson),1.000,1.140
1,8:13,2,5,CLE 36,6,7,Baker Mayfield pass complete short left to Antonio Callaway for 12 yards (tackle by Tre Flowers),1.140,2.130
1,7:41,1,10,CLE 48,6,7,Baker Mayfield pass complete short right to Nick Chubb for 6 yards (tackle by Bobby Wagner),2.130,2.390
1,7:11,2,4,SEA 46,6,7,Baker Mayfield pass complete short right to Odell Beckham for 5 yards (tackle by Shaquill Griffin),2.390,2.850
1,6:41,1,10,SEA 41,6,7,Baker Mayfield pass complete short left to Jarvis Landry for 3 yards (tackle by Tedric Thompson),2.850,2.710
1,6:13,2,7,SEA 38,6,7,Baker Mayfield pass incomplete deep left intended for Antonio Callaway,2.710,2.020
1,6:08,3,7,SEA 38,6,7,Baker Mayfield pass incomplete short right intended for Odell Beckham,2.020,0.720
1,6:04,4,7,SEA 38,6,7,Baker Mayfield pass complete deep right to Jarvis Landry for 27 yards (tackle by Tedric Thompson),0.720,4.840
1,5:32,1,10,SEA 11,6,7,Nick Chubb right guard for 1 yard (tackle by Quinton Jefferson),4.840,4.320
1,4:49,2,9,SEA 10,6,13,"Baker Mayfield right guard for 10 yards, touchdown",4.320,7.000
1,4:43,,,SEA 15,6,14,Austin Seibert kicks extra point good,0.000,0.000
1,4:43,,,CLE 35,6,14,"Austin Seibert kicks off 65 yards, touchback.",0.000,0.610
1,4:43,1,10,SEA 25,6,14,Russell Wilson pass incomplete short left intended for Jaron Brown,0.610,0.060
1,4:39,2,10,SEA 25,6,14,Russell Wilson pass complete short right to David Moore for 11 yards (tackle by Terrance Mitchell),0.060,1.330
1,4:01,1,10,SEA 36,6,14,Chris Carson right guard for 3 yards (tackle by Jermaine Whitehead),1.330,1.200
1,3:22,2,7,SEA 39,6,14,Russell Wilson pass complete short middle to Chris Carson for 21 yards (tackle by Joe Schobert). Penalty on Terrance Mitchell: Illegal Contact (Declined),1.200,2.920
1,2:49,1,10,CLE 40,6,14,C.J. Prosise left guard for 5 yards (tackle by Myles Garrett),2.920,3.050
1,2:14,2,5,CLE 35,6,14,Russell Wilson sacked by Myles Garrett for -4 yards,3.050,1.820
1,1:30,3,9,CLE 39,6,14,Russell Wilson pass incomplete short middle intended for Malik Turner,1.820,0.660
1,1:25,4,9,CLE 39,6,14,"Michael Dickson punts 31 yards, fair catch by Jarvis Landry at CLE-8",0.660,0.380
