Unnamed: 0,SEA,CLE
First Downs,29,21
Rush-Yds-TDs,38-170-2,24-157-3
Cmp-Att-Yd-TD-INT,23-33-295-2-0,22-37-249-1-3
Sacked-Yards,3-11,0-0
Net Pass Yards,284,249
Total Yards,454,406
Fumbles-Lost,2-1,1-1
Turnovers,1,4
Penalties-Yards,10-65,9-83
Third Down Conv.,6-13,3-8
Fourth Down Conv.,0-0,2-3
Time of Possession,33:41,26:19
