Quarter,Time,Tm,Detail,SEA,CLE
1.0,13:01,Browns,Nick Chubb 7 yard rush (Austin Seibert kick),0,7
,8:52,Seahawks,Russell Wilson 16 yard rush (Jason Myers kick failed),6,7
,4:43,Browns,Baker Mayfield 10 yard rush (Austin Seibert kick),6,14
2.0,14:54,Browns,Ricky Seals-Jones 31 yard pass from Baker Mayfield (Austin Seibert kick failed),6,20
,10:46,Seahawks,Jason Myers 38 yard field goal,9,20
,7:25,Seahawks,Jason Myers 20 yard field goal,12,20
,0:22,Seahawks,Jaron Brown 17 yard pass from Russell Wilson (run failed),18,20
3.0,6:00,Seahawks,Jaron Brown 6 yard pass from Russell Wilson (Jason Myers kick),25,20
4.0,9:02,Browns,Nick Chubb 3 yard rush (Demetrius Harris pass from Baker Mayfield),25,28
,3:30,Seahawks,Chris Carson 1 yard rush (Jason Myers kick),32,28
