Unnamed: 0,TEN,PIT
First Downs,17,14
Rush-Yds-TDs,42-112-1,15-31-0
Cmp-Att-Yd-TD-INT,11-20-125-0-0,21-33-191-1-1
Sacked-Yards,1-8,5-28
Net Pass Yards,117,163
Total Yards,229,194
Fumbles-Lost,1-0,2-1
Turnovers,0,2
Penalties-Yards,6-60,4-47
Third Down Conv.,6-15,4-13
Fourth Down Conv.,1-1,1-1
Time of Possession,34:01,25:59
