Quarter,Time,Tm,Detail,CLE,PIT
1.0,4:10,Browns,Kellen Winslow 4 yard pass from Derek Anderson (Phil Dawson kick),7,0
,1:29,Steelers,Jeff Reed 28 yard field goal,7,3
2.0,14:56,Browns,Lawrence Vickers 2 yard pass from Derek Anderson (Phil Dawson kick),14,3
,9:02,Steelers,Jeff Reed 35 yard field goal,14,6
,5:24,Browns,Braylon Edwards 16 yard pass from Derek Anderson (Phil Dawson kick),21,6
,0:04,Steelers,Jeff Reed 30 yard field goal,21,9
3.0,6:14,Steelers,Hines Ward 12 yard pass from Ben Roethlisberger (Jeff Reed kick),21,16
4.0,11:32,Steelers,Ben Roethlisberger 30 yard rush (Hines Ward pass from Ben Roethlisberger),21,24
,11:14,Browns,Josh Cribbs 100 yard kickoff return (Phil Dawson kick),28,24
,3:13,Steelers,Heath Miller 2 yard pass from Ben Roethlisberger (Jeff Reed kick),28,31
