Unnamed: 0,CLE,PIT
First Downs,13,22
Rush-Yds-TDs,18-40-0,35-159-1
Cmp-Att-Yd-TD-INT,16-35-123-3-0,23-35-278-2-1
Sacked-Yards,0-0,4-36
Net Pass Yards,123,242
Total Yards,163,401
Fumbles-Lost,2-1,1-0
Turnovers,1,1
Penalties-Yards,7-40,5-30
Third Down Conv.,5-12,8-16
Fourth Down Conv.,0-0,0-0
Time of Possession,21:43,38:17
