Quarter,Time,Tm,Detail,LAC,CIN
1.0,2:24,Bengals,Joe Burrow 23 yard rush (Randy Bullock kick),0,7
2.0,7:10,Chargers,Michael Badgley 24 yard field goal,3,7
,0:00,Chargers,Michael Badgley 43 yard field goal,6,7
3.0,9:12,Bengals,Randy Bullock 50 yard field goal,6,10
,1:32,Bengals,Randy Bullock 43 yard field goal,6,13
4.0,12:23,Chargers,Joshua Kelley 5 yard rush (Michael Badgley kick),13,13
,8:56,Chargers,Michael Badgley 22 yard field goal,16,13
