Unnamed: 0,LAC,CIN
First Downs,19,19
Rush-Yds-TDs,39-155-1,28-122-1
Cmp-Att-Yd-TD-INT,16-30-208-0-0,23-36-193-0-1
Sacked-Yards,2-1,3-20
Net Pass Yards,207,173
Total Yards,362,295
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,6-35,7-44
Third Down Conv.,6-16,6-14
Fourth Down Conv.,0-2,0-0
Time of Possession,30:10,29:50
