Unnamed: 0,DAL,MIA
First Downs,19,21
Rush-Yds-TDs,36-166-2,21-61-0
Cmp-Att-Yd-TD-INT,14-29-186-2-0,23-40-287-2-4
Sacked-Yards,1-0,2-14
Net Pass Yards,186,273
Total Yards,352,334
Fumbles-Lost,1-0,2-1
Turnovers,0,5
Penalties-Yards,11-101,7-57
Third Down Conv.,5-14,6-12
Fourth Down Conv.,1-2,0-0
Time of Possession,35:03,24:57
