Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Nick Folk kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,IND 20,0,0,Andrew Luck pass complete short right to Dwayne Allen for 12 yards (tackle by LaRon Landry),0.280,1.070
1,14:18,1,10,IND 32,0,0,Andrew Luck pass complete short left to Nathan Palmer for -4 yards (tackle by Kyle Wilson),1.070,-0.010
1,13:36,2,14,IND 28,0,0,Donnie Avery right end for -1 yards (tackle by Muhammad Wilkerson),-0.010,-0.820
1,12:48,3,15,IND 27,0,0,Andrew Luck pass complete deep right to Donnie Avery for 24 yards (tackle by Kyle Wilson),-0.820,2.320
1,12:15,1,10,NYJ 49,0,0,Vick Ballard left tackle for 4 yards (tackle by Yeremiah Bell),2.320,2.320
1,11:36,2,6,NYJ 45,0,0,Vick Ballard left tackle for 5 yards (tackle by David Harris),2.320,2.280
1,10:56,3,1,NYJ 40,0,0,Andrew Luck pass incomplete short right intended for Dwayne Allen,2.280,0.590
1,10:56,4,1,NYJ 40,0,0,Pat McAfee punts 37 yards,0.590,0.380
1,10:41,1,10,NYJ 3,0,0,Shonn Greene right guard for 5 yards (tackle by Cory Redding),-0.380,-0.420
1,10:07,2,5,NYJ 8,0,0,Shonn Greene right tackle for 1 yard (tackle by Jerraud Powers),-0.420,-0.720
1,9:27,3,4,NYJ 9,0,0,Mark Sanchez pass incomplete short right intended for Jeremy Kerley,-0.720,-2.490
1,9:27,4,4,NYJ 9,0,0,"Robert Malone punts 50 yards, out of bounds",-2.490,-1.660
1,9:15,1,10,IND 41,0,0,"Andrew Luck pass incomplete deep right intended for Coby Fleener. Penalty on Antonio Allen: Defensive Pass Interference, 28 yards (no play)",1.660,3.510
1,9:08,1,10,NYJ 31,0,0,Vick Ballard left tackle for 3 yards (tackle by Bart Scott and Quinton Coples),3.510,3.370
1,9:08,2,7,NYJ 28,0,0,Andrew Luck pass complete short right to Reggie Wayne for 7 yards (tackle by Yeremiah Bell and Antonio Cromartie),3.370,4.170
1,7:44,1,10,NYJ 21,0,0,Andrew Luck pass incomplete short middle intended for Donnie Avery (defended by Muhammad Wilkerson),4.170,3.630
1,7:39,2,10,NYJ 21,0,0,"Andrew Luck pass incomplete short left intended for Vick Ballard (defended by Bart Scott). Penalty on Muhammad Wilkerson: Roughing the Passer, 10 yards (no play)",3.630,4.840
1,7:27,1,10,NYJ 11,0,0,Vick Ballard left end for 1 yard (tackle by Muhammad Wilkerson),4.840,4.320
1,6:55,2,9,NYJ 10,0,0,Andrew Luck pass complete short right to T.Y. Hilton for 8 yards (tackle by LaRon Landry),4.320,5.120
1,6:10,3,1,NYJ 2,0,0,Andrew Luck pass incomplete short right intended for Coby Fleener,5.120,3.250
1,6:10,4,1,NYJ 2,3,0,Adam Vinatieri 20 yard field goal good,3.250,3.000
1,6:02,,,IND 35,3,0,"Pat McAfee kicks off 65 yards, touchback",0.000,0.280
1,6:00,1,10,NYJ 20,3,0,Mark Sanchez pass complete short right to Jeremy Kerley for 9 yards (tackle by Jerry Hughes),0.280,0.950
1,5:35,2,1,NYJ 29,3,0,Shonn Greene right tackle for 3 yards (tackle by Antoine Bethea),0.950,1.070
1,5:03,1,10,NYJ 32,3,0,Tim Tebow up the middle for 3 yards (tackle by Drake Nevis and Moise Fokou),1.070,0.930
1,4:27,2,7,NYJ 35,3,0,Shonn Greene up the middle for 21 yards (tackle by Antoine Bethea),0.930,2.650
1,3:45,1,10,IND 44,3,0,Shonn Greene up the middle for 4 yards (tackle by Jerry Hughes and Jerrell Freeman),2.650,2.650
1,3:07,2,6,IND 40,3,0,Joe McKnight left end for 7 yards (tackle by Jerrell Freeman),2.650,3.380
1,2:29,1,10,IND 33,3,0,Mark Sanchez pass incomplete short left intended for Jeremy Kerley (defended by Dwight Freeney),3.380,2.840
1,2:25,2,10,IND 33,3,0,Shonn Greene left tackle for 2 yards (tackle by Jerry Hughes and Jerrell Freeman),2.840,2.410
1,1:46,3,8,IND 31,3,0,Mark Sanchez pass complete short left to Stephen Hill for 9 yards (tackle by Cassius Vaughn),2.410,4.110
1,1:11,1,10,IND 22,3,0,Shonn Greene right tackle for 7 yards (tackle by Jerrell Freeman),4.110,4.650
1,0:31,2,3,IND 15,3,0,Bilal Powell up the middle for 4 yards (tackle by Ricardo Mathews and Kavell Conner),4.650,4.840
Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,IND 11,3,0,Shonn Greene left tackle for 6 yards (tackle by Tom Zbikowski and Jerrell Freeman),4.840,5.280
2,14:23,2,4,IND 5,3,0,Mark Sanchez pass incomplete short middle intended for Bilal Powell,5.280,4.440
2,14:19,3,4,IND 5,3,6,"Mark Sanchez pass complete short left to Stephen Hill for 5 yards, touchdown",4.440,7.000
2,14:19,,,IND 2,3,7,Nick Folk kicks extra point good,0.000,0.000
2,14:13,,,NYJ 35,3,7,"Nick Folk kicks off 72 yards, touchback",0.000,0.280
2,14:13,1,10,IND 20,3,7,Delone Carter up the middle for 1 yard (tackle by Muhammad Wilkerson),0.280,-0.130
2,13:34,2,9,IND 21,3,7,Mewelde Moore right guard for 5 yards (tackle by Muhammad Wilkerson and Calvin Pace),-0.130,-0.160
2,13:02,3,4,IND 26,3,7,"Andrew Luck pass incomplete short left intended for Reggie Wayne is intercepted by Antonio Cromartie at IND-33 and returned for 33 yards. Penalty on Aaron Maybin: Personal Foul, 15 yards",-0.160,-3.250
2,12:51,1,10,IND 35,3,7,Shonn Greene right tackle for 5 yards (tackle by Antonio Johnson),3.250,3.380
2,12:15,2,5,IND 30,3,7,Shonn Greene left end for -1 yards (tackle by Jerry Hughes and Kavell Conner),3.380,2.540
2,11:31,3,6,IND 31,3,7,Mark Sanchez pass complete short left to Chaz Schilens for 12 yards (tackle by Cassius Vaughn),2.540,4.310
2,10:51,1,10,IND 19,3,7,"Shonn Greene up the middle for 1 yard (tackle by Jerrell Freeman and Jerry Hughes). Penalty on Jerry Hughes: Defensive Offside, 5 yards (no play)",4.310,5.300
2,10:29,1,5,IND 14,3,7,Mark Sanchez pass complete short left to Jeremy Kerley for 4 yards (tackle by Cassius Vaughn),5.300,5.360
2,9:52,2,1,IND 10,3,13,"Shonn Greene left tackle for 10 yards, touchdown",5.360,7.000
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the play was upheld.",,
2,9:52,,,IND 2,3,14,Nick Folk kicks extra point good,0.000,0.000
2,9:47,,,NYJ 35,3,14,"Nick Folk kicks off 67 yards, returned by Cassius Vaughn for 17 yards (tackle by Chaz Schilens)",0.000,-0.220
2,9:42,1,10,IND 15,3,14,Andrew Luck pass incomplete short right intended for T.Y. Hilton (defended by Kyle Wilson),-0.220,-0.710
2,9:37,2,10,IND 15,3,14,Andrew Luck pass complete short left to Coby Fleener for 11 yards (tackle by Ellis Lankster),-0.710,0.670
2,9:23,1,10,IND 26,3,14,Andrew Luck pass complete short left to Donnie Avery for 11 yards (tackle by LaRon Landry and Ellis Lankster),0.670,1.400
2,8:54,1,10,IND 37,3,14,Mewelde Moore up the middle for 3 yards (tackle by David Harris and Mike DeVito),1.400,1.260
2,8:18,2,7,IND 40,3,14,Andrew Luck pass complete short right to Dwayne Allen for 21 yards (tackle by Ellis Lankster). Penalty on Ellis Lankster: Defensive Holding (Declined),1.260,2.980
2,7:47,1,10,NYJ 39,3,14,Andrew Luck pass complete short middle to Coby Fleener for 7 yards (tackle by David Harris),2.980,3.390
2,7:47,2,3,NYJ 32,3,14,Andrew Luck pass incomplete (defended by Antonio Cromartie),3.390,2.680
2,7:12,3,3,NYJ 32,3,14,"Andrew Luck pass incomplete short right intended for Reggie Wayne is intercepted by Antonio Cromartie at NYJ-24 and returned for 76 yards. Penalty on Antonio Cromartie: Defensive Pass Interference, 12 yards (no play)",2.680,0.000
2,7:01,,,,3,14,Timeout #1 by New York Jets,0.000,4.240
2,7:01,1,10,NYJ 20,3,14,"Andrew Luck pass incomplete deep left intended for Donnie Avery. Penalty on Jeff Linkenbach: Illegal Use of Hands, 10 yards (no play)",4.240,3.580
2,6:56,1,20,NYJ 30,3,14,Andrew Luck sacked by Antonio Allen for -2 yards,3.580,2.070
2,6:24,2,22,NYJ 32,3,14,Andrew Luck pass incomplete short right intended for Nathan Palmer,2.070,1.420
2,6:19,3,22,NYJ 32,3,14,Andrew Luck pass incomplete short right intended for Reggie Wayne,1.420,1.240
2,6:11,4,22,NYJ 32,6,14,Adam Vinatieri 50 yard field goal good,1.240,3.000
2,6:06,,,IND 35,6,14,"Pat McAfee kicks off 69 yards, returned by Joe McKnight for 34 yards (tackle by Mewelde Moore)",0.000,0.940
2,5:59,1,10,NYJ 30,6,14,Shonn Greene right end for 19 yards (tackle by Antoine Bethea),0.940,2.190
2,5:21,1,10,NYJ 49,6,14,Shonn Greene left tackle for 6 yards (tackle by Tom Zbikowski and Jerry Hughes),2.190,2.460
2,4:43,2,4,IND 45,6,14,"Penalty on Matt Slauson: False Start, 5 yards (no play)",2.460,1.780
2,4:22,2,9,,6,14,Mark Sanchez pass complete short middle to Chaz Schilens for 11 yards (tackle by Antoine Bethea),1.780,2.980
