Quarter,Time,Tm,Detail,IND,NYJ
1.0,6:02,Colts,Adam Vinatieri 20 yard field goal,3,0
2.0,14:13,Jets,Stephen Hill 5 yard pass from Mark Sanchez (Nick Folk kick),3,7
,9:47,Jets,Shonn Greene 10 yard rush (Nick Folk kick),3,14
,6:06,Colts,Adam Vinatieri 50 yard field goal,6,14
,0:27,Jets,Jason Hill 5 yard pass from Mark Sanchez (Nick Folk kick),6,21
3.0,1:36,Jets,Shonn Greene 4 yard rush (Nick Folk kick),6,28
4.0,14:40,Colts,Adam Vinatieri 47 yard field goal,9,28
,1:05,Jets,Shonn Greene 2 yard rush (Nick Folk kick),9,35
