Unnamed: 0,WAS,LAR
First Downs,21,14
Rush-Yds-TDs,39-229-2,22-97-1
Cmp-Att-Yd-TD-INT,18-27-179-1-0,15-25-247-1-1
Sacked-Yards,2-23,2-12
Net Pass Yards,156,235
Total Yards,385,332
Fumbles-Lost,3-0,3-1
Turnovers,0,2
Penalties-Yards,4-25,7-75
Third Down Conv.,5-13,5-12
Fourth Down Conv.,0-0,1-1
Time of Possession,36:19,23:41
