Quarter,Time,Down,ToGo,Location,WAS,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,LAR 25,0,0,Jared Goff pass complete short middle to Tavon Austin for 5 yards (tackle by Matthew Ioannidis),0.610,0.740
1,14:25,2,5,LAR 30,0,0,Todd Gurley right end for 3 yards (tackle by D.J. Swearinger),0.740,0.430
1,13:50,3,2,LAR 33,0,0,Jared Goff pass complete short middle to Cooper Kupp for 11 yards (tackle by Kendall Fuller and Zach Brown),0.430,0.000
1,13:07,,,,,,Timeout #1 by Los Angeles Rams,0.000,-1.860
1,13:06,1,10,LAR 44,0,0,Jared Goff pass complete short right to Gerald Everett for 2 yards (tackle by Mason Foster and Zach Brown),1.860,1.590
1,12:25,2,8,LAR 46,0,0,Jared Goff pass incomplete short right intended for Tavon Austin,1.590,0.890
1,12:21,3,8,LAR 46,0,0,Jared Goff pass incomplete deep right intended for Tyler Higbee,0.890,-0.320
1,12:14,4,8,LAR 46,0,0,"Johnny Hekker punts 33 yards, out of bounds",-0.320,-0.340
1,12:07,1,10,WAS 21,0,0,Robert Kelley middle for 5 yards (tackle by Mark Barron),0.340,0.480
1,11:30,2,5,WAS 26,0,0,Robert Kelley middle for 4 yards (tackle by Michael Brockers and Alec Ogletree),0.480,0.300
1,10:49,3,1,WAS 30,0,0,Kirk Cousins pass complete short right to Jordan Reed for 8 yards (tackle by Lamarcus Joyner),0.300,1.470
1,10:06,1,10,WAS 38,0,0,Robert Kelley left tackle for 2 yards (tackle by Lamarcus Joyner),1.470,1.190
1,9:34,2,8,WAS 40,0,0,Kirk Cousins pass complete short left to Terrelle Pryor for 8 yards (tackle by Nickell Robey-Coleman). Penalty on Trumaine Johnson: Illegal Use of Hands (Declined),1.190,2.130
1,9:06,1,10,WAS 48,0,0,Robert Kelley middle for 5 yards (tackle by Michael Brockers and Alec Ogletree),2.130,2.260
1,8:27,2,5,LAR 47,0,0,"Kirk Cousins pass complete short left to Jordan Reed for 9 yards (tackle by Nickell Robey-Coleman). Jordan Reed fumbles (forced by Nickell Robey-Coleman), recovered by Jordan Reed at LAR-40",2.260,3.050
1,7:46,1,10,LAR 38,0,0,Robert Kelley left guard for 4 yards (tackle by Alec Ogletree),3.050,3.050
1,7:10,2,6,LAR 34,0,0,Kirk Cousins sacked by Morgan Fox and Robert Quinn for -11 yards,3.050,0.890
1,6:24,3,17,LAR 45,0,0,Kirk Cousins pass complete short right to Jamison Crowder for 21 yards (tackle by Maurice Alexander),0.890,3.970
1,5:43,1,10,LAR 24,0,0,Robert Kelley left guard for 2 yards (tackle by Alec Ogletree),3.970,3.700
1,5:01,2,8,LAR 22,0,0,Kirk Cousins pass incomplete short middle intended for Jamison Crowder (defended by Tyrunn Walker),3.700,3.010
1,4:55,3,8,LAR 22,0,0,Kirk Cousins pass incomplete short right intended for Terrelle Pryor (defended by Trumaine Johnson),3.010,1.990
1,4:48,4,8,LAR 22,3,0,Dustin Hopkins 41 yard field goal good. Penalty on Michael Brockers: Illegal Formation (Declined),1.990,3.000
1,4:43,,,WAS 35,3,0,"Dustin Hopkins kicks off 63 yards, returned by Pharoh Cooper for 24 yards (tackle by Chris Carter). Penalty on Cory Littleton: Offensive Holding (Offsetting), Penalty on Quinton Dunbar: Face Mask (15 Yards) (Offsetting)",0.000,0.380
1,4:34,1,10,LAR 2,3,0,Todd Gurley middle for 6 yards (tackle by Zach Brown),-0.380,-0.340
1,3:56,2,4,LAR 8,3,0,Jared Goff pass incomplete short middle intended for Cooper Kupp,-0.340,-0.720
1,3:49,3,4,LAR 8,3,0,Jared Goff pass complete short middle to Sammy Watkins for 2 yards (tackle by Bashaud Breeland),-0.720,-2.490
1,3:22,4,2,LAR 10,3,0,"Johnny Hekker punts 55 yards, returned by Jamison Crowder for no gain",-2.490,-1.270
1,3:12,1,10,WAS 35,3,0,Robert Kelley left end for 19 yards (tackle by Lamarcus Joyner),1.270,2.520
1,2:30,1,10,LAR 46,3,0,Robert Kelley left guard for 21 yards (tackle by Mark Barron),2.520,3.910
1,1:49,1,10,LAR 25,3,0,Samaje Perine right guard for 3 yards (tackle by Tyrunn Walker),3.910,3.770
1,1:09,2,7,LAR 22,3,0,Chris Thompson for 9 yards (tackle by Nickell Robey-Coleman),3.770,4.710
1,0:35,1,10,LAR 13,3,0,"Robert Kelley right end for 1 yard (tackle by Morgan Fox). Penalty on Alec Ogletree: Defensive Offside, 5 yards (no play)",4.710,5.860
1,0:17,1,5,LAR 8,3,0,Robert Kelley middle for 1 yard (tackle by Michael Brockers),5.860,5.150
Quarter,Time,Down,ToGo,Location,WAS,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,LAR 7,9,0,"Chris Thompson left end for 7 yards, touchdown",5.150,7.000
2,14:54,,,LAR 15,10,0,Dustin Hopkins kicks extra point good,0.000,0.000
2,14:54,,,WAS 35,10,0,"Dustin Hopkins kicks off 71 yards, returned by Pharoh Cooper for 34 yards (tackle by Bashaud Breeland)",0.000,-0.810
2,14:47,1,10,LAR 28,10,0,"Todd Gurley right tackle for 2 yards (tackle by Josh Norman). Todd Gurley fumbles (forced by Josh Norman), recovered by Terrell McClain at LAR-30 (tackle by Rob Havenstein)",0.810,-3.580
2,14:39,1,10,LAR 30,10,0,Samaje Perine left end for 4 yards (tackle by Alec Ogletree),3.580,3.570
2,14:08,2,6,LAR 26,10,0,Samaje Perine right tackle for 3 yards (tackle by Mark Barron),3.570,3.270
2,13:32,3,3,LAR 23,10,0,Kirk Cousins pass complete short right to Chris Thompson for 15 yards (tackle by Lamarcus Joyner),3.270,5.370
2,12:56,1,8,LAR 8,10,0,Robert Kelley right guard for 4 yards (tackle by Alec Ogletree),5.370,5.340
2,12:19,2,4,LAR 4,10,0,Kirk Cousins pass incomplete short right intended for Josh Doctson,5.340,4.490
2,12:14,3,4,LAR 4,10,0,Kirk Cousins pass incomplete short right intended for Chris Thompson,4.490,3.030
2,12:10,4,4,LAR 4,13,0,Dustin Hopkins 22 yard field goal good,3.030,3.000
2,12:06,,,WAS 35,13,0,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
2,12:06,1,10,LAR 25,13,0,Jared Goff pass complete deep right to Gerald Everett for 69 yards (tackle by Zach Brown),0.610,0.000
2,11:30,,,,,,Timeout #2 by Los Angeles Rams,0.000,-5.830
2,11:30,1,6,WAS 6,13,0,Jared Goff pass complete short left to Cooper Kupp for 5 yards (tackle by Kendall Fuller),5.830,5.910
2,11:04,2,1,WAS 1,13,0,Todd Gurley left guard for no gain (tackle by Mason Foster),5.910,5.170
2,10:21,3,1,WAS 1,13,0,Penalty on Zach Brown: Neutral Zone Infraction (no play),5.170,0.000
2,10:04,,,,,,Timeout #3 by Los Angeles Rams,0.000,-5.170
2,10:04,3,1,WAS 1,13,6,"Todd Gurley middle for 1 yard, touchdown",5.170,7.000
2,9:59,,,WAS 15,13,7,Greg Zuerlein kicks extra point good,0.000,0.000
2,9:59,,,LAR 35,13,7,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,9:59,1,10,WAS 25,13,7,Robert Kelley left guard for 9 yards (tackle by Maurice Alexander),0.610,1.280
2,9:23,2,1,WAS 34,13,7,Robert Kelley left tackle for 2 yards (tackle by Ethan Westbrooks),1.280,1.330
2,8:55,1,10,WAS 36,13,7,Samaje Perine left tackle for 2 yards (tackle by Connor Barwin and Cory Littleton),1.330,1.060
2,8:16,2,8,WAS 38,13,7,Kirk Cousins sacked by Alec Ogletree for -12 yards,1.060,-1.220
2,7:34,3,20,WAS 26,13,7,Kirk Cousins pass incomplete short middle intended for Chris Thompson. Penalty on Brandon Scherff: Ineligible Downfield Pass (Declined),-1.220,-1.630
2,7:29,4,20,WAS 26,13,7,"Tress Way punts 54 yards, returned by Tavon Austin for 12 yards (tackle by Deshazor Everett)",-1.630,-1.070
2,7:15,1,10,LAR 32,13,7,Jared Goff pass incomplete short left intended for Todd Gurley,1.070,0.530
2,7:09,2,10,LAR 32,13,7,"Jared Goff pass complete short right to Todd Gurley for 8 yards (tackle by Bashaud Breeland). Penalty on Josh Norman: Defensive Holding, 5 yards (no play)",0.530,1.400
2,6:49,1,10,LAR 37,13,7,Todd Gurley left tackle for 6 yards (tackle by Mason Foster and Preston Smith),1.400,1.670
2,6:24,2,4,LAR 43,13,7,Jared Goff pass incomplete deep middle intended for Robert Woods,1.670,0.960
2,6:23,3,4,LAR 43,13,7,Jared Goff pass complete short middle to Todd Gurley for 28 yards (tackle by Montae Nicholson),0.960,3.640
2,5:57,1,10,WAS 29,13,7,Jared Goff pass complete short left to Cooper Kupp for 17 yards (tackle by Zach Brown),3.640,4.780
2,5:11,1,10,WAS 12,13,7,Jared Goff right end for 1 yard (tackle by Josh Norman),4.780,4.270
2,4:23,2,9,WAS 11,13,7,Jared Goff left end for 1 yard (tackle by Junior Galette),4.270,3.480
2,3:36,3,8,WAS 10,13,7,Jared Goff pass complete short right to Malcolm Brown for -4 yards (tackle by Kendall Fuller),3.480,2.510
2,3:07,4,12,WAS 14,13,10,Greg Zuerlein 32 yard field goal good,2.510,3.000
2,3:03,,,LAR 35,13,10,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,3:03,1,10,WAS 25,13,10,Samaje Perine middle for no gain (tackle by Matt Longacre),0.610,0.060
2,2:25,2,10,WAS 25,13,10,Kirk Cousins pass complete short right to Chris Thompson for 10 yards (tackle by Lamarcus Joyner),0.060,1.270
2,2:00,1,10,WAS 35,13,10,Kirk Cousins pass complete short right to Chris Thompson for 4 yards (tackle by Maurice Alexander),1.270,1.260
2,1:56,2,6,WAS 39,19,10,"Chris Thompson middle for 61 yards, touchdown",1.260,7.000
