Unnamed: 0,OAK,KAN
First Downs,18,32
Rush-Yds-TDs,22-100-1,29-99-2
Cmp-Att-Yd-TD-INT,18-37-217-2-1,32-45-358-2-1
Sacked-Yards,2-17,4-24
Net Pass Yards,200,334
Total Yards,300,433
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,12-90,7-52
Third Down Conv.,5-14,6-12
Fourth Down Conv.,0-0,0-1
Time of Possession,25:14,34:46
