Quarter,Time,Down,ToGo,Location,OAK,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,KAN 20,0,0,Larry Johnson up the middle for 5 yards (tackle by Ted Washington and Danny Clark),0.280,0.410
1,14:25,2,5,KAN 25,0,0,Trent Green pass incomplete intended for Eddie Kennison is intercepted by Tyler Brayton at KAN-34 and returned for 24 yards (tackle by Casey Wiegmann),0.410,-4.910
1,14:15,1,10,KAN 10,0,0,Zack Crockett up the middle for 5 yards (tackle by Monty Beisel),4.910,5.150
1,13:35,2,5,KAN 5,0,0,Kerry Collins pass incomplete intended for Alvis Whitted,5.150,4.260
1,13:29,3,5,KAN 5,6,0,"Kerry Collins pass complete to Jerry Porter for 5 yards, touchdown",4.260,7.000
1,,,,KAN 2,7,0,Sebastian Janikowski kicks extra point good,0.000,0.000
1,,,,OAK 30,7,0,"Sebastian Janikowski kicks off 66 yards, returned by Dante Hall for 32 yards (tackle by Ray Buchanan)",0.000,1.330
1,13:17,1,10,KAN 36,7,0,Trent Green up the middle for 5 yards (tackle by Tyler Brayton),1.330,1.470
1,12:43,2,5,KAN 41,7,0,Larry Johnson up the middle for 2 yards (tackle by Marques Anderson),1.470,1.030
1,12:07,3,3,KAN 43,7,0,Trent Green pass complete to Eddie Kennison for 11 yards (tackle by Tim Johnson),1.030,2.520
1,11:30,1,10,OAK 46,7,0,Trent Green pass complete to Tony Gonzalez for 17 yards (tackle by Danny Clark),2.520,3.640
1,11:06,1,10,OAK 29,7,0,Larry Johnson up the middle for 3 yards (tackle by Warren Sapp),3.640,3.510
1,10:31,2,7,OAK 26,7,0,Larry Johnson left end for 2 yards (tackle by Marques Anderson),3.510,3.070
1,9:47,3,5,OAK 24,7,0,Trent Green pass incomplete intended for Tony Gonzalez (defended by Tim Johnson),3.070,1.920
1,9:42,,,,7,0,Timeout #1 by Kansas City Chiefs,0.000,1.920
1,9:42,4,5,OAK 24,7,0,"Lawrence Tynes 43 yard field goal no good, blocked by Langston Walker",1.920,-1.140
1,9:34,1,10,OAK 33,7,0,Kerry Collins pass incomplete intended for Doug Gabriel,1.140,0.590
1,9:27,2,10,OAK 33,7,0,Kerry Collins pass incomplete intended for Alvis Whitted,0.590,-0.100
1,9:20,3,10,OAK 33,7,0,"Kerry Collins sacked by Jared Allen for -2 yards. Penalty on Benny Sapp: Defensive Holding, 5 yards (no play)",-0.100,1.470
1,9:07,1,10,OAK 38,7,0,Amos Zereoue up the middle for 1 yard (tackle by Kawika Mitchell),1.470,1.060
1,8:32,2,9,OAK 39,7,0,Kerry Collins sacked by Jared Allen for -8 yards,1.060,-0.690
1,7:57,3,17,OAK 31,7,0,Kerry Collins pass incomplete intended for Doug Gabriel,-0.690,-1.310
1,7:51,4,17,OAK 31,7,0,"Shane Lechler punts 41 yards, returned by Dante Hall for 4 yards (tackle by Jarrod Cooper)",-1.310,-1.070
1,7:41,1,10,KAN 32,7,0,Larry Johnson left end for no gain (tackle by Napoleon Harris),1.070,0.530
1,7:02,2,10,KAN 32,7,0,Trent Green pass complete to Eddie Kennison for 11 yards (tackle by Denard Walker),0.530,1.800
1,6:42,1,10,KAN 43,7,0,"Penalty on Jason Dunn: False Start, 5 yards (no play)",1.800,1.470
1,6:22,1,15,KAN 38,7,0,Trent Green up the middle for 7 yards (tackle by Akbar Gbaja-Biamila),1.470,1.520
1,5:40,2,8,KAN 45,7,0,Trent Green pass incomplete intended for Eddie Kennison,1.520,0.830
1,5:33,3,8,KAN 45,7,0,Trent Green pass complete to Tony Gonzalez for 12 yards (tackle by Tim Johnson),0.830,2.720
1,4:49,1,10,OAK 43,7,0,Trent Green pass complete to Samie Parker for 13 yards (tackle by Danny Clark),2.720,3.580
1,4:16,1,10,OAK 30,7,0,Larry Johnson right end for 6 yards (tackle by Bobby Hamilton),3.580,3.840
1,3:44,2,4,OAK 24,7,0,Larry Johnson left tackle for 6 yards (tackle by Napoleon Harris),3.840,4.370
1,3:02,1,10,OAK 18,7,0,"Trent Green pass incomplete intended for Larry Johnson. Penalty on Danny Clark: Illegal Contact, 5 yards (no play)",4.370,4.710
1,2:55,1,10,OAK 13,7,0,Larry Johnson left tackle for 2 yards (tackle by Tommy Kelly),4.710,4.390
1,2:21,2,8,OAK 11,7,0,"Penalty on John Parrella: Encroachment, 5 yards (no play)",4.390,5.340
1,2:20,2,3,OAK 6,7,6,"Larry Johnson up the middle for 6 yards, touchdown",5.340,7.000
