Quarter,Time,Tm,Detail,OAK,KAN
1.0,13:25,Raiders,Jerry Porter 5 yard pass from Kerry Collins (Sebastian Janikowski kick),7,0
,2:14,Chiefs,Larry Johnson 6 yard rush (Lawrence Tynes kick),7,7
2.0,11:40,Raiders,Zack Crockett 3 yard rush (Sebastian Janikowski kick),14,7
,6:44,Chiefs,Tony Gonzalez 2 yard pass from Trent Green (Lawrence Tynes kick),14,14
,1:54,Chiefs,Tony Gonzalez 26 yard pass from Trent Green (Lawrence Tynes kick),14,21
,0:24,Raiders,Alvis Whitted 32 yard pass from Kerry Collins (Sebastian Janikowski kick),21,21
3.0,0:09,Raiders,Sebastian Janikowski 40 yard field goal,24,21
4.0,6:11,Chiefs,Larry Johnson 4 yard rush (Lawrence Tynes kick),24,28
,3:49,Raiders,Sebastian Janikowski 45 yard field goal,27,28
,1:03,Raiders,Sebastian Janikowski 46 yard field goal,30,28
,0:22,Chiefs,Lawrence Tynes 38 yard field goal,30,31
