Quarter,Time,Down,ToGo,Location,LAC,LAR,Detail,EPB,EPA
1,5:29,1,10,LAR 40,0,7,Melvin Gordon up the middle for -2 yards (tackle by Ramik Wilson),2.920,2.100
1,4:50,2,12,LAR 42,6,7,"Philip Rivers pass complete deep middle to Mike Williams for 42 yards, touchdown",2.100,7.000
1,4:42,,,LAR 15,6,7,Caleb Sturgis kicks extra point no good wide right,0.000,-1.000
1,4:42,,,LAC 35,6,7,"Caleb Sturgis kicks off 65 yards, touchback.",0.000,0.610
1,4:42,1,10,LAR 25,6,7,Todd Gurley left tackle for 5 yards (tackle by Brandon Mebane),0.610,0.740
1,4:11,2,5,LAR 30,6,7,Jared Goff pass complete short left to Todd Gurley for -1 yards (tackle by Desmond King),0.740,-0.100
1,3:24,3,6,LAR 29,6,7,Jared Goff pass complete short middle to Cooper Kupp for 11 yards (tackle by Adrian Phillips),-0.100,1.600
1,2:42,1,10,LAR 40,6,7,Jared Goff up the middle for 16 yards (tackle by Denzel Perryman),1.600,2.650
1,2:04,1,10,LAC 44,6,7,Jared Goff pass complete short middle to Robert Woods for 20 yards (tackle by Jahleel Addae),2.650,3.970
1,1:37,1,10,LAC 24,6,7,Jared Goff pass complete short left to Brandin Cooks for 21 yards (tackle by Derwin James),3.970,6.510
1,0:55,1,3,LAC 3,6,13,"Jared Goff pass complete short middle to Robert Woods for 3 yards, touchdown",6.510,7.000
1,0:51,,,LAC 15,6,14,Sam Ficken kicks extra point good,0.000,0.000
1,0:51,,,LAR 35,6,14,"Sam Ficken kicks off 65 yards, touchback.",0.000,0.610
1,0:51,1,10,LAC 25,6,14,Philip Rivers pass complete short right to Melvin Gordon for 1 yard (tackle by Ramik Wilson),0.610,0.200
1,0:08,2,9,LAC 26,6,14,Philip Rivers pass complete short middle to Austin Ekeler for 3 yards (tackle by Ramik Wilson and Cory Littleton),0.200,-0.100
Quarter,Time,Down,ToGo,Location,LAC,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,LAC 29,6,14,Philip Rivers pass incomplete short left intended for Antonio Gates (defended by Cory Littleton),-0.100,-1.440
2,14:47,4,6,LAC 29,6,14,"Drew Kaser punts 50 yards, returned by Jojo Natson for 7 yards (tackle by Adrian Phillips)",-1.440,-0.810
2,14:42,1,10,LAR 28,6,14,Malcolm Brown left tackle for 9 yards (tackle by Denzel Perryman),0.810,1.480
2,14:01,2,1,LAR 37,6,14,Malcolm Brown right tackle for 11 yards (tackle by Denzel Perryman),1.480,2.130
2,13:23,1,10,LAR 48,6,14,"Robert Woods left end for 8 yards (tackle by Derwin James). Penalty on Andrew Whitworth: Offensive Holding, 10 yards",2.130,1.990
2,12:49,1,12,LAR 46,6,14,Malcolm Brown left tackle for 14 yards (tackle by Derwin James),1.990,2.920
2,12:16,1,10,LAC 40,6,14,Jared Goff pass incomplete short right intended for Todd Gurley,2.920,2.370
2,12:11,2,10,LAC 40,6,14,Jared Goff sacked by Brandon Mebane for -4 yards,2.370,1.160
2,11:21,,,,,,Timeout #2 by Los Angeles Rams,,
2,11:21,3,14,LAC 44,6,14,"Jared Goff pass incomplete deep right intended for Brandin Cooks (defended by Casey Hayward). Penalty on Casey Hayward: Illegal Contact, 5 yards (no play)",1.160,2.980
2,11:12,1,10,LAC 39,6,14,Todd Gurley right guard for 4 yards (tackle by Chris Landrum),2.980,2.980
2,10:50,2,6,LAC 35,6,14,Jared Goff pass complete deep right to Tyler Higbee for 20 yards (tackle by Kyzir White),2.980,4.580
2,10:31,1,10,LAC 15,6,14,Jared Goff pass complete short right to Robert Woods for 5 yards (tackle by Casey Hayward),4.580,4.840
2,9:57,2,5,LAC 10,6,14,Jared Goff pass incomplete short middle,4.840,4.000
2,9:48,3,5,LAC 10,6,14,Jared Goff pass short right intended for Gerald Everett is intercepted by Derwin James at LAC-0 and returned for 4 yards,4.000,0.380
2,9:43,1,10,LAC 1,6,14,Melvin Gordon right guard for no gain (tackle by John Johnson and Cory Littleton),-0.380,-0.780
2,9:05,2,10,LAC 1,6,14,Melvin Gordon up the middle for no gain (tackle by Aaron Donald and Cory Littleton),-0.780,-1.420
2,8:19,3,10,LAC 1,6,14,Philip Rivers pass complete short right to Melvin Gordon for 3 yards (tackle by Ramik Wilson),-1.420,-2.490
2,7:50,4,7,LAC 4,6,20,"Drew Kaser punts blocked by Cory Littleton, recovered by Blake Countess, touchdown",-2.490,-7.000
2,7:44,,,LAC 15,6,21,Sam Ficken kicks extra point good,0.000,0.000
2,7:44,,,LAR 35,6,21,"Sam Ficken kicks off 65 yards, touchback.",0.000,0.610
2,7:44,1,10,LAC 25,6,21,Philip Rivers pass incomplete short middle intended for Keenan Allen (defended by Ramik Wilson) (defended by Ndamukong Suh),0.610,0.060
2,7:39,2,10,LAC 25,6,21,Austin Ekeler left guard for 6 yards (tackle by Dominique Easley),0.060,0.170
2,6:54,3,4,LAC 31,6,21,Philip Rivers pass complete deep left to Antonio Gates for 27 yards (tackle by Marqui Christian),0.170,2.790
2,6:23,1,10,LAR 42,6,21,Philip Rivers pass incomplete short left intended for Melvin Gordon,2.790,2.240
2,6:18,2,10,LAR 42,6,21,Keenan Allen sacked by Ethan Westbrooks for -7 yards,2.240,0.630
2,5:28,3,17,LAR 49,6,21,Philip Rivers pass complete deep left to Keenan Allen for 25 yards (tackle by Lamarcus Joyner),0.630,3.970
2,4:41,1,10,LAR 24,6,21,Philip Rivers pass incomplete deep left intended for Antonio Gates,3.970,3.430
2,4:35,2,10,LAR 24,6,21,Philip Rivers pass complete short middle to Keenan Allen for 9 yards (tackle by Marqui Christian),3.430,4.170
2,4:00,,,,,,Timeout #1 by Los Angeles Chargers,,
2,4:00,3,1,LAR 15,6,21,Melvin Gordon right tackle for 4 yards (tackle by Michael Brockers and Ramik Wilson),4.170,4.840
2,3:20,1,10,LAR 11,12,21,"Melvin Gordon left end for 11 yards, touchdown",4.840,7.000
2,3:12,,,LAR 15,13,21,Caleb Sturgis kicks extra point good,0.000,0.000
2,3:12,,,LAC 35,13,21,"Caleb Sturgis kicks off 72 yards, returned by Jojo Natson for no gain (tackle by Jatavis Brown)",0.000,-0.060
2,3:05,1,10,LAR 17,13,21,Todd Gurley left tackle for 7 yards (tackle by Brandon Mebane and Jatavis Brown),-0.060,0.480
2,2:30,2,3,LAR 24,13,21,Todd Gurley right tackle for 2 yards (tackle by Darius Philon and Desmond King),0.480,-0.120
2,2:00,3,1,LAR 26,13,21,Todd Gurley up the middle for 6 yards (tackle by Denzel Perryman and Kyzir White),-0.120,1.070
2,1:40,1,10,LAR 32,13,21,Jared Goff pass complete deep right to Robert Woods for 22 yards,1.070,2.520
2,1:33,1,10,LAC 46,13,21,Jared Goff pass complete short left to Cooper Kupp for 4 yards (tackle by Desmond King),2.520,2.520
2,1:27,2,6,LAC 42,13,21,Jared Goff pass complete short right to Brandin Cooks for 7 yards (tackle by Trevor Williams),2.520,3.250
2,1:06,1,10,LAC 35,13,21,Jared Goff pass complete short right to Gerald Everett for 3 yards (tackle by Jahleel Addae),3.250,3.110
2,0:46,2,7,LAC 32,13,21,Jared Goff pass complete short left to Cooper Kupp for 3 yards (tackle by Desmond King),3.110,2.810
2,0:40,3,4,LAC 29,13,21,"Jared Goff pass complete short right to Gerald Everett for 7 yards (tackle by Jahleel Addae). Penalty on Robert Woods: Offensive Pass Interference, 10 yards (no play)",2.810,1.490
2,0:32,3,14,LAC 39,13,21,Jared Goff pass complete short left to Brandin Cooks for 11 yards (tackle by Trevor Williams),1.490,1.680
2,0:04,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:04,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:04,4,3,LAC 28,13,21,Sam Ficken 46 yard field goal no good,1.680,1.270
Quarter,Time,Down,ToGo,Location,LAC,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,13,21,"Sam Ficken kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAC 25,13,21,Melvin Gordon left tackle for 6 yards (tackle by Sam Shields and John Johnson),0.610,0.870
3,14:20,2,4,LAC 31,13,21,Philip Rivers pass incomplete short right intended for Melvin Gordon,0.870,0.170
3,14:16,3,4,LAC 31,13,21,Philip Rivers pass complete short right to Antonio Gates for 13 yards (tackle by Sam Shields),0.170,1.860
3,13:38,1,10,LAC 44,13,21,"Philip Rivers pass complete short right to Keenan Allen for 10 yards (tackle by Aqib Talib). Keenan Allen fumbles (forced by Aqib Talib), recovered by Lamarcus Joyner at LA-45 (tackle by Keenan Allen)",1.860,-1.930
3,13:29,1,10,LAR 45,13,21,Todd Gurley left guard for 2 yards (tackle by Darius Philon and Denzel Perryman),1.930,1.650
3,12:56,2,8,LAR 47,13,21,Jared Goff pass incomplete short middle intended for Brandin Cooks,1.650,0.960
3,12:51,3,8,LAR 47,13,27,"Jared Goff pass complete deep right to Cooper Kupp for 53 yards, touchdown, touchdown",0.960,7.000
3,12:38,,,LAC 15,13,28,Sam Ficken kicks extra point good,0.000,0.000
3,12:38,,,LAR 35,13,28,"Sam Ficken kicks off 65 yards, touchback.",0.000,0.610
3,12:38,1,10,LAC 25,13,28,Melvin Gordon left end for 2 yards (tackle by Nickell Robey-Coleman),0.610,0.330
3,11:56,2,8,LAC 27,13,28,Philip Rivers pass incomplete short right intended for Mike Williams,0.330,-0.360
3,11:51,3,8,LAC 27,13,28,Philip Rivers pass complete short right to Tyrell Williams for 13 yards (tackle by Aqib Talib and Lamarcus Joyner),-0.360,1.600
3,11:09,1,10,LAC 40,13,28,Austin Ekeler right tackle for 32 yards (tackle by Cory Littleton),1.600,3.710
3,10:25,1,10,LAR 28,13,28,Philip Rivers pass complete short right to Virgil Green for 6 yards (tackle by John Johnson),3.710,3.980
3,9:46,2,4,LAR 22,13,28,Melvin Gordon left tackle for 3 yards (tackle by Ndamukong Suh and Cory Littleton),3.980,3.720
3,9:01,3,1,LAR 19,13,28,Austin Ekeler left end for -1 yards (tackle by Sam Shields),3.720,2.250
3,8:28,4,2,LAR 20,19,28,"Philip Rivers pass complete deep left to Mike Williams for 20 yards, touchdown",2.250,7.000
3,8:18,,,LAR 15,20,28,Caleb Sturgis kicks extra point good,0.000,0.000
3,8:18,,,LAC 35,20,28,"Caleb Sturgis kicks off 68 yards, returned by Blake Countess for no gain (tackle by Uchenna Nwosu)",0.000,0.480
3,8:11,1,10,LAR 23,20,28,Todd Gurley left tackle for 5 yards (tackle by Darius Philon and Jahleel Addae),0.480,0.610
3,7:37,2,5,LAR 28,20,28,Jared Goff pass incomplete deep left intended for Robert Woods,0.610,-0.100
3,7:31,3,5,LAR 28,20,28,Jared Goff pass complete short middle to Robert Woods for 7 yards (tackle by Jatavis Brown),-0.100,1.270
3,7:05,1,10,LAR 35,20,28,"Jared Goff pass incomplete deep right intended for Brandin Cooks. Penalty on Desmond King: Defensive Holding, 5 yards (no play)",1.270,1.600
3,6:58,1,10,LAR 40,20,28,"Jared Goff pass complete short left to Todd Gurley for 25 yards (tackle by Casey Hayward). Penalty on Robert Woods: Offensive Holding, 10 yards",1.600,2.590
3,6:24,1,10,LAC 45,20,28,Jared Goff pass complete short middle to Brandin Cooks for 15 yards (tackle by Chris Landrum),2.590,3.580
3,5:44,1,10,LAC 30,20,28,Jared Goff pass incomplete short right intended for Malcolm Brown,3.580,3.030
3,5:40,2,10,LAC 30,20,28,Jared Goff pass complete short middle to Brandin Cooks for 16 yards (tackle by Derwin James),3.030,4.650
3,5:19,1,10,LAC 14,20,28,Jared Goff pass complete short middle to Brandin Cooks for 4 yards (tackle by Denzel Perryman),4.650,4.710
3,4:41,2,6,LAC 10,20,28,Todd Gurley up the middle for 7 yards (tackle by Kyzir White),4.710,6.510
3,4:02,1,3,LAC 3,20,28,Todd Gurley right guard for -3 yards (tackle by Darius Philon),6.510,4.950
3,3:24,2,6,LAC 6,20,34,"Jared Goff pass complete short right to Robert Woods for 6 yards, touchdown",4.950,7.000
3,3:19,,,LAC 15,20,35,Sam Ficken kicks extra point good,0.000,0.000
3,3:19,,,LAR 35,20,35,"Sam Ficken kicks off 64 yards, returned by JJ Jones for no gain (tackle by Sam Ficken)",0.000,1.200
3,3:13,1,10,LAC 34,20,35,Philip Rivers pass complete short middle to Tyrell Williams for 9 yards (tackle by Ramik Wilson),1.200,1.870
3,2:38,2,1,LAC 43,20,35,Melvin Gordon left tackle for no gain (tackle by Aaron Donald and Ndamukong Suh),1.870,1.160
3,1:56,3,1,LAC 43,20,35,Melvin Gordon right tackle for 6 yards (tackle by Cory Littleton),1.160,2.190
3,1:11,1,10,LAC 49,20,35,Philip Rivers pass incomplete deep right intended for Tyrell Williams,2.190,1.650
3,1:05,2,10,LAC 49,20,35,Philip Rivers pass complete short middle to Mike Williams for 16 yards (tackle by Nickell Robey-Coleman),1.650,3.250
3,0:33,1,10,LAR 35,20,35,Philip Rivers sacked by Ndamukong Suh for -4 yards,3.250,2.160
Quarter,Time,Down,ToGo,Location,LAC,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,14,LAR 39,20,35,Austin Ekeler left guard for 10 yards (tackle by Sam Shields and Lamarcus Joyner),2.160,2.810
4,14:17,3,4,LAR 29,20,35,Philip Rivers pass complete short right to Antonio Gates for 5 yards (tackle by Marqui Christian),2.810,3.970
4,13:36,1,10,LAR 24,20,35,Tyrell Williams left end for 14 yards (tackle by Samson Ebukam and Nickell Robey-Coleman),3.970,4.910
4,12:49,1,10,LAR 10,20,35,Melvin Gordon right end for 2 yards (tackle by Cory Littleton),4.910,4.570
4,12:03,,,,,,Timeout #1 by Los Angeles Rams,,
4,12:03,2,8,LAR 8,20,35,Philip Rivers pass incomplete short middle intended for Mike Williams,4.570,3.580
4,11:59,3,8,LAR 8,20,35,Philip Rivers pass incomplete short middle intended for Keenan Allen,3.580,2.950
4,11:54,4,8,LAR 8,23,35,Caleb Sturgis 26 yard field goal good,2.950,3.000
4,11:49,,,LAC 35,23,35,"Caleb Sturgis kicks off 70 yards, returned by Blake Countess for no gain (tackle by Kyle Emanuel). Penalty on Justin Davis: Unnecessary Roughness, 10 yards",0.000,-0.380
4,11:44,1,10,LAR 10,23,35,Todd Gurley left end for 9 yards (tackle by Brandon Mebane and Derwin James),-0.380,0.240
4,11:17,2,1,LAR 19,23,35,Todd Gurley up the middle for 11 yards (tackle by Derwin James),0.240,0.940
4,10:44,1,10,LAR 30,23,35,"Jared Goff pass complete short left to Cooper Kupp for 27 yards (tackle by Trevor Williams). Penalty on Rodger Saffold: Face Mask (15 Yards), 15 yards (no play)",0.940,-0.500
4,10:13,1,25,LAR 15,23,35,Todd Gurley right end for -4 yards (tackle by Melvin Ingram),-0.500,-2.170
4,9:31,2,29,LAR 11,23,35,Todd Gurley left tackle for 8 yards (tackle by Isaac Rochell),-2.170,-1.870
4,9:10,3,21,LAR 19,23,35,"Jared Goff pass complete short right to Tyler Higbee for 17 yards (tackle by Jatavis Brown and Desmond King). Penalty on John Sullivan: Offensive Holding, 9 yards (no play)",-1.870,-3.760
4,8:32,3,30,LAR 10,23,35,Jared Goff pass complete short right to Robert Woods for 12 yards (tackle by Chris Landrum),-3.760,-1.900
4,7:49,4,18,LAR 22,23,35,"Johnny Hekker punts 49 yards, returned by JJ Jones for 11 yards (tackle by KhaDarel Hodge)",-1.900,-1.600
4,7:38,1,10,LAC 40,23,35,Melvin Gordon right end for 23 yards (tackle by Lamarcus Joyner),1.600,3.120
4,6:59,1,10,LAR 37,23,35,Philip Rivers pass complete short right to Austin Ekeler for 15 yards (tackle by Cory Littleton),3.120,4.110
4,6:20,1,10,LAR 22,23,35,Melvin Gordon right end for no gain (tackle by Ramik Wilson),4.110,3.560
4,5:35,2,10,LAR 22,23,35,Philip Rivers pass incomplete deep right intended for Keenan Allen (defended by Sam Shields),3.560,2.870
4,5:28,3,10,LAR 22,23,35,Philip Rivers pass complete short left to Mike Williams for 3 yards (tackle by Cory Littleton and Troy Hill),2.870,2.180
4,4:41,4,7,LAR 19,23,35,"Philip Rivers pass complete short middle to Austin Ekeler for 6 yards (tackle by John Johnson and Cory Littleton). Austin Ekeler fumbles (forced by John Johnson), recovered by Ndamukong Suh at LA-12 (tackle by Mike Williams)",2.180,0.350
4,4:23,1,10,LAR 12,23,35,Todd Gurley up the middle for 7 yards (tackle by Denzel Perryman),-0.350,0.100
4,3:37,2,3,LAR 19,23,35,Todd Gurley up the middle for 4 yards (tackle by Kyzir White),0.100,0.480
4,3:32,,,,,,Timeout #1 by Los Angeles Chargers,,
4,3:32,1,10,LAR 23,23,35,Todd Gurley right tackle for -2 yards (tackle by Darius Philon),0.480,-0.340
4,3:29,,,,,,Timeout #2 by Los Angeles Chargers,,
4,3:29,2,12,LAR 21,23,35,Todd Gurley left tackle for 14 yards (tackle by Derwin James),-0.340,1.270
4,3:19,,,,,,Timeout #3 by Los Angeles Chargers,,
4,3:19,1,10,LAR 35,23,35,Todd Gurley left tackle for 6 yards (tackle by Justin Jones and Kyzir White),1.270,1.530
4,2:31,2,4,LAR 41,23,35,Malcolm Brown right tackle for 3 yards (tackle by Chris Landrum and Denzel Perryman),1.530,1.220
4,1:59,3,1,LAR 44,23,35,Malcolm Brown up the middle for 5 yards (tackle by Jahleel Addae),1.220,2.190
4,1:13,1,10,LAR 49,23,35,Jared Goff kneels for -1 yards,2.190,1.510
4,0:38,2,11,LAR 48,23,35,Jared Goff kneels for -1 yards,1.510,0.700
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
