Quarter,Time,Tm,Detail,LAC,LAR
1.0,6:14,Rams,Todd Gurley 1 yard rush (Sam Ficken kick),0,7
,4:42,Chargers,Mike Williams 42 yard pass from Philip Rivers (Caleb Sturgis kick failed),6,7
,0:51,Rams,Robert Woods 3 yard pass from Jared Goff (Sam Ficken kick),6,14
2.0,7:44,Rams,Blake Countess blocked punt recovery in end zone (Sam Ficken kick),6,21
,3:12,Chargers,Melvin Gordon 11 yard rush (Caleb Sturgis kick),13,21
3.0,12:38,Rams,Cooper Kupp 53 yard pass from Jared Goff (Sam Ficken kick),13,28
,8:18,Chargers,Mike Williams 20 yard pass from Philip Rivers (Caleb Sturgis kick),20,28
,3:19,Rams,Robert Woods 6 yard pass from Jared Goff (Sam Ficken kick),20,35
4.0,11:49,Chargers,Caleb Sturgis 26 yard field goal,23,35
