Quarter,Time,Down,ToGo,Location,BAL,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,TEN 25,0,0,Marcus Mariota pass complete deep left to Rishard Matthews for 29 yards (tackle by Jimmy Smith),0.610,2.520
1,14:33,1,10,BAL 46,0,0,DeMarco Murray right guard for 2 yards (tackle by C.J. Mosley),2.520,2.250
1,13:56,2,8,BAL 44,0,0,Adoree' Jackson left guard for 20 yards (tackle by Eric Weddle),2.250,3.970
1,13:11,1,10,BAL 24,0,0,Derrick Henry left guard for no gain (tackle by C.J. Mosley),3.970,3.430
1,12:33,2,10,BAL 24,0,0,DeMarco Murray left tackle for 4 yards (tackle by Matt Judon),3.430,3.270
1,11:49,3,6,BAL 20,0,0,Marcus Mariota sacked by Matt Judon for -10 yards,3.270,1.410
1,11:04,4,16,BAL 30,0,3,Ryan Succop 48 yard field goal good,1.410,3.000
1,10:58,,,TEN 35,0,3,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
1,10:58,1,10,BAL 25,0,3,Joe Flacco pass complete short left to Ben Watson for 2 yards (tackle by Brian Orakpo),0.610,0.330
1,10:29,2,8,BAL 27,0,3,Joe Flacco pass incomplete short right intended for Mike Wallace,0.330,-0.360
1,10:25,3,8,BAL 27,0,3,Joe Flacco pass complete short middle to Ben Watson for 13 yards (tackle by Jayon Brown),-0.360,1.600
1,9:48,1,10,BAL 40,0,3,Alex Collins right tackle for 14 yards (tackle by Adoree' Jackson),1.600,2.520
1,9:12,1,10,TEN 46,0,3,Joe Flacco pass incomplete deep middle intended for Breshad Perriman (defended by Logan Ryan),2.520,1.980
1,9:04,2,10,TEN 46,0,3,Joe Flacco pass complete short middle to Alex Collins for 3 yards (tackle by Wesley Woodyard),1.980,1.680
1,8:17,3,7,TEN 43,0,3,Joe Flacco pass incomplete short left intended for Ben Watson,1.680,0.400
1,8:13,4,7,TEN 43,0,3,"Sam Koch pass complete short left to Chris Moore for 16 yards (tackle by Brice McCain). Penalty on Brice McCain: Face Mask (15 Yards), 14 yards",0.400,4.710
1,7:25,1,10,TEN 13,0,3,Alex Collins right guard for 1 yard (tackle by Austin Johnson),4.710,4.220
1,7:25,2,9,TEN 12,0,3,Alex Collins left end for -1 yards (tackle by Jurrell Casey),4.220,3.120
1,6:46,3,10,TEN 13,0,3,Joe Flacco pass complete short right to Ben Watson for 1 yard (tackle by Adoree' Jackson),3.120,2.630
1,6:03,4,9,TEN 12,3,3,Justin Tucker 30 yard field goal good,2.630,3.000
1,5:59,,,BAL 35,3,3,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
1,5:59,1,10,TEN 25,3,3,"Marcus Mariota pass complete short left to Delanie Walker for 1 yard (tackle by Matt Judon). Penalty on Eric Decker: Illegal Block Above the Waist, 10 yards",0.610,-0.280
1,5:35,1,19,TEN 16,3,3,Marcus Mariota pass complete short right to Taywan Taylor for -4 yards (tackle by Brandon Carr),-0.280,-1.730
1,4:51,2,23,TEN 12,3,3,Marcus Mariota pass complete short left to Rishard Matthews for 15 yards (tackle by Eric Weddle),-1.730,-0.360
1,4:09,3,8,TEN 27,3,3,Marcus Mariota pass incomplete short right intended for Taywan Taylor,-0.360,-1.570
1,4:01,4,8,TEN 27,3,3,"Brett Kern punts 53 yards, out of bounds",-1.570,-0.280
1,3:53,1,10,BAL 20,3,3,Bobby Rainey middle for 2 yards (tackle by Avery Williamson),0.280,0.000
1,3:18,2,8,BAL 22,3,3,Joe Flacco pass complete short right to Breshad Perriman for 8 yards (tackle by Adoree' Jackson),0.000,0.940
1,2:41,1,10,BAL 30,3,3,Joe Flacco pass incomplete deep middle intended for Breshad Perriman is intercepted by Kevin Byard at TEN-21 and returned for 33 yards,0.940,-2.520
1,2:25,1,10,BAL 46,3,3,Marcus Mariota right end for 7 yards (tackle by Brandon Carr),2.520,2.920
1,1:45,2,3,BAL 39,3,3,Marcus Mariota pass complete deep right to Corey Davis for 23 yards,2.920,4.510
1,1:10,1,10,BAL 16,3,9,"Marcus Mariota pass complete deep middle to Rishard Matthews for 16 yards, touchdown",4.510,7.000
