Unnamed: 0,BAL,TEN
First Downs,24,14
Rush-Yds-TDs,22-73-0,21-71-1
Cmp-Att-Yd-TD-INT,35-53-277-2-2,19-28-218-2-1
Sacked-Yards,2-9,3-32
Net Pass Yards,268,186
Total Yards,341,257
Fumbles-Lost,1-0,0-0
Turnovers,2,1
Penalties-Yards,6-39,3-39
Third Down Conv.,6-16,3-11
Fourth Down Conv.,3-4,0-0
Time of Possession,32:22,27:38
