Quarter,Time,Tm,Detail,ARI,ATL
1,7:12,Falcons,Jay Feely 25 yard field goal,0,3
2,12:01,Falcons,Jay Feely 23 yard field goal,0,6
4,9:24,Cardinals,Neil Rackers 30 yard field goal,3,6
