Quarter,Time,Down,ToGo,Location,ARI,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,ATL 30,0,0,"Jay Feely kicks off 62 yards, returned by Josh Scobey for 19 yards (tackle by Siddeeq Shabazz)",0.000,0.740
1,14:54,1,10,ARI 27,0,0,Josh McCown pass complete to Bryant Johnson for 4 yards (tackle by Jason Webster),0.740,0.740
1,14:18,2,6,ARI 31,0,0,"Penalty on Roderick Coleman: Defensive Offside (Offsetting), Penalty on Reggie Wells: Offensive Holding (Offsetting) (no play)",0.740,0.740
1,14:12,2,6,ARI 31,0,0,Emmitt Smith up the middle for -1 yards (tackle by Roderick Coleman),0.740,-0.100
1,13:40,3,7,ARI 30,0,0,"Penalty on Anthony Clement: False Start, 5 yards (no play)",-0.100,-0.760
1,12:48,3,12,ARI 25,0,0,Josh McCown left end for 12 yards (tackle by Roderick Coleman),-0.760,1.400
1,12:12,1,10,ARI 37,0,0,Emmitt Smith up the middle for 3 yards (tackle by Cory Hall),1.400,1.260
1,11:29,2,7,ARI 40,0,0,Josh McCown pass incomplete intended for Bryant Johnson,1.260,0.560
1,11:23,3,7,ARI 40,0,0,Josh McCown pass complete to Freddie Jones for 4 yards (tackle by Bryan Scott),0.560,-0.460
1,10:51,4,3,ARI 44,0,0,Scott Player punts 36 yards,-0.460,-0.280
1,10:40,1,10,ATL 20,0,0,Michael Vick pass complete to Alge Crumpler for 12 yards (tackle by Ronald McKinnon),0.280,1.070
1,10:09,1,10,ATL 32,0,0,Michael Vick pass incomplete intended for Dez White,1.070,0.530
1,10:04,2,10,ATL 32,0,0,Warrick Dunn right tackle for 60 yards (tackle by Karlos Dansby),0.530,5.370
1,9:10,1,8,ARI 8,0,0,Michael Vick left end for 3 yards (tackle by Russell Davis),5.370,5.150
1,8:44,2,5,ARI 5,0,0,Warrick Dunn left tackle for 1 yard (tackle by Ross Kolodziej),5.150,4.490
1,8:08,3,4,ARI 4,0,0,Michael Vick sacked by Peppi Zellner for -3 yards,4.490,2.970
1,7:17,4,7,ARI 7,0,3,Jay Feely 25 yard field goal good,2.970,3.000
1,,,,ATL 30,0,3,"Jay Feely kicks off 64 yards, returned by Josh Scobey for 18 yards (tackle by Artie Ulmer)",0.000,0.540
1,7:06,1,10,ARI 24,0,3,Josh McCown pass complete to Bryant Johnson for 8 yards (tackle by Kevin Mathis),0.540,1.080
1,6:40,2,2,ARI 32,0,3,Emmitt Smith left end for -1 yards (tackle by Patrick Kerney),1.080,0.230
1,5:59,3,3,ARI 31,0,3,Josh McCown pass complete to Larry Fitzgerald for 6 yards (tackle by Keith Brooking),0.230,1.400
1,5:20,1,10,ARI 37,0,3,Josh McCown pass complete to Karl Williams for 9 yards (tackle by Jason Webster). Penalty on Travis Hall: Defensive Offside (Declined),1.400,2.070
1,5:04,2,1,ARI 46,0,3,"Emmitt Smith right tackle for 3 yards (tackle by Chris Draft). Penalty on Travis Hall: Defensive Offside, 5 yards (no play)",2.070,2.320
1,4:39,1,10,ATL 49,0,3,Josh McCown pass incomplete intended for Karl Williams,2.320,1.780
1,4:34,2,10,ATL 49,0,3,Emmitt Smith left tackle for 4 yards (tackle by Keith Brooking),1.780,1.620
1,3:48,,,,0,3,Timeout #1 by Arizona Cardinals,0.000,1.620
1,3:48,3,6,ATL 45,0,3,Josh McCown pass incomplete intended for Bryant Johnson,1.620,0.270
,,,,,,,"ARI challenged the ruling, and the play was upheld.",,
1,3:40,4,6,ATL 45,0,3,"Scott Player punts 45 yards, touchback",0.270,-0.280
1,3:32,1,10,ATL 20,0,3,Michael Vick pass incomplete intended for Peerless Price,0.280,-0.270
1,3:28,2,10,ATL 20,0,3,Warrick Dunn up the middle for 4 yards (tackle by Adrian Wilson),-0.270,-0.430
1,2:51,3,6,ATL 24,0,3,"Michael Vick pass incomplete intended for Dez White. Penalty on David Macklin: Defensive Holding, 5 yards (no play)",-0.430,0.870
1,2:43,1,10,ATL 29,0,3,Michael Vick pass complete to Alge Crumpler for 22 yards (tackle by Ifeanyi Ohalete),0.870,2.320
1,2:03,1,10,ARI 49,0,3,Warrick Dunn up the middle for 5 yards (tackle by Duane Starks),2.320,2.460
1,1:28,2,5,ARI 44,0,3,Michael Vick sacked by Peppi Zellner for -11 yards,2.460,0.300
1,1:02,3,16,ATL 45,0,3,Michael Vick pass complete to Warrick Dunn for 6 yards (tackle by Duane Starks),0.300,0.000
1,0:24,4,10,ARI 49,0,3,"Chris Mohr punts 49 yards, touchback",0.000,-0.280
1,0:14,1,10,ARI 20,0,3,Josh McCown pass complete to Larry Fitzgerald for no gain,0.280,-0.270
Quarter,Time,Down,ToGo,Location,ARI,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
