Unnamed: 0,ARI,ATL
First Downs,13,15
Rush-Yds-TDs,26-61-0,29-194-0
Cmp-Att-Yd-TD-INT,25-32-238-0-0,10-20-115-0-1
Sacked-Yards,6-59,6-26
Net Pass Yards,179,89
Total Yards,240,283
Fumbles-Lost,4-4,5-3
Turnovers,4,4
Penalties-Yards,8-66,3-15
Third Down Conv.,7-16,2-10
Fourth Down Conv.,0-0,1-1
Time of Possession,34:37,25:23
