Unnamed: 0,TEN,GNB
First Downs,21,15
Rush-Yds-TDs,32-88-1,19-56-0
Cmp-Att-Yd-TD-INT,24-29-337-3-1,24-39-227-2-0
Sacked-Yards,3-17,1-12
Net Pass Yards,320,215
Total Yards,408,271
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,2-19,5-40
Third Down Conv.,7-13,7-14
Fourth Down Conv.,1-2,0-2
Time of Possession,32:28,27:32
