Quarter,Time,Down,ToGo,Location,TEN,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 56 yards, returned by Hassan Haskins for 18 yards (tackle by Rasul Douglas and Isaiah McDuffie). Penalty on Joseph Jones: Offensive Holding, 10 yards (accepted)",0.000,-0.060
1,14:53,1,10,TEN 17,0,0,Ryan Tannehill pass incomplete short middle intended for Chigoziem Okonkwo,-0.060,-0.580
1,14:49,2,10,TEN 17,0,0,Derrick Henry right tackle for 3 yards (tackle by Jarran Reed),-0.580,-0.870
1,14:06,3,7,TEN 20,0,0,Ryan Tannehill pass complete deep middle to Treylon Burks for 43 yards (tackle by Keisean Nixon),-0.870,3.120
1,13:25,1,10,GNB 37,0,0,Derrick Henry left guard for 9 yards (tackle by Adrian Amos and Krys Barnes),3.120,3.790
1,12:47,2,1,GNB 28,0,0,Ryan Tannehill pass complete short left to Derrick Henry for 3 yards (tackle by Adrian Amos),3.790,3.910
1,12:02,1,10,GNB 25,0,0,Derrick Henry right end for 3 yards (tackle by Rasul Douglas and Darnell Savage),3.910,3.770
1,11:23,2,7,GNB 22,0,0,Ryan Tannehill pass complete short left to Austin Hooper for 8 yards (tackle by Isaiah McDuffie and Jaire Alexander),3.770,4.650
1,10:36,1,10,GNB 14,6,0,"Ryan Tannehill pass complete short left to Dontrell Hilliard for 14 yards, touchdown",4.650,7.000
1,10:31,,,GNB 15,7,0,Josh Lambo kicks extra point good,0.000,0.000
1,10:31,,,TEN 35,7,0,"Josh Lambo kicks off 61 yards, returned by Keisean Nixon for 18 yards (tackle by Davontae Harris). Penalty on Johnathan Abram: Offensive Holding, 10 yards (accepted)",0.000,-0.350
1,10:27,1,10,GNB 12,7,0,Aaron Jones up the middle for -1 yards (tackle by David Long),-0.350,-0.850
1,9:53,2,11,GNB 11,7,0,Aaron Jones left end for 5 yards (tackle by Monty Rice),-0.850,-0.950
1,9:16,3,6,GNB 16,7,0,Aaron Rodgers pass incomplete short right intended for Robert Tonyan,-0.950,-2.390
1,9:11,4,6,GNB 16,7,0,"Pat O'Donnell punts 48 yards, returned by C.J. Board for 3 yards (tackle by Rudy Ford)",-2.390,-1.530
1,9:02,1,10,TEN 39,7,0,Derrick Henry right guard for 2 yards (tackle by Dean Lowry and Krys Barnes),1.530,1.260
1,8:23,2,8,TEN 41,7,0,Ryan Tannehill sacked by and Preston Smith for -9 yards and Quay Walker for -9 yards,1.260,-0.630
1,7:41,3,17,TEN 32,7,0,Dontrell Hilliard up the middle for 4 yards (tackle by Jarran Reed),-0.630,-0.980
1,7:10,4,13,TEN 36,7,0,"Ryan Stonehouse punts 47 yards, returned by Randall Cobb for 5 yards (tackle by Joseph Jones)",-0.980,-0.410
1,7:01,1,10,GNB 22,7,0,Aaron Jones up the middle for 9 yards (tackle by Kevin Byard),0.410,1.080
1,6:19,2,1,GNB 31,7,0,Aaron Jones up the middle for 4 yards (tackle by Teair Tart and Monty Rice),1.080,1.270
1,5:35,1,10,GNB 35,7,0,Aaron Rodgers pass complete short left to Aaron Jones for 1 yard (tackle by Monty Rice and Kristian Fulton),1.270,0.860
1,4:53,2,9,GNB 36,7,0,Aaron Rodgers pass complete deep right to Randall Cobb for 24 yards (tackle by Kevin Byard),0.860,2.920
1,4:05,1,10,TEN 40,7,0,AJ Dillon left tackle for -2 yards (tackle by David Long and Kevin Strong),2.920,2.100
1,3:27,2,12,TEN 42,7,0,Aaron Rodgers pass complete short left to AJ Dillon for 10 yards (tackle by David Long),2.100,2.740
1,2:46,3,2,TEN 32,7,0,"Aaron Jones right end for 4 yards. Aaron Jones fumbles (forced by Joshua Kalu), recovered by Randall Cobb at TEN-25",2.740,3.910
1,1:50,1,10,TEN 25,7,0,Aaron Rodgers pass complete short right to Robert Tonyan for 10 yards (tackle by Kevin Byard),3.910,4.580
1,1:05,1,10,TEN 15,7,0,Aaron Rodgers pass complete short right to Allen Lazard for 2 yards (tackle by Roger McCreary and David Long),4.580,4.280
1,0:27,2,8,TEN 13,7,0,Aaron Jones up the middle for -1 yards (tackle by David Long),4.280,3.240
1,0:05,3,9,TEN 14,7,6,"Aaron Rodgers pass complete short left to Christian Watson for 14 yards, touchdown Penalty on TEN: Defensive Too Many Men on Field, 5 yards (declined)",3.240,7.000
1,0:00,,,TEN 15,7,6,Mason Crosby kicks extra point blocked blocked by Denico Autry,0.000,-1.000
Quarter,Time,Down,ToGo,Location,TEN,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,,,GNB 35,7,6,"Mason Crosby kicks off 59 yards, returned by Hassan Haskins for 27 yards (tackle by Tariq Carpenter and Dallin Leavitt)",0.000,1.140
2,14:54,1,10,TEN 33,7,6,Derrick Henry right tackle for 2 yards (tackle by Krys Barnes and Devonte Wyatt),1.140,0.860
2,14:12,2,8,TEN 35,7,6,"Ryan Tannehill pass complete short middle to Nick Westbrook-Ikhine for 6 yards (tackle by Darnell Savage). Penalty on Darnell Savage: Defensive Pass Interference, 6 yards (accepted) (no play)",0.860,1.660
2,13:53,1,10,TEN 41,7,6,Ryan Tannehill pass complete short right to Treylon Burks for -1 yards (tackle by Rasul Douglas),1.660,0.990
2,13:18,2,11,TEN 40,7,6,Derrick Henry right tackle for 1 yard (tackle by Adrian Amos and Kenny Clark),0.990,0.430
2,12:23,3,10,TEN 41,7,6,"Ryan Tannehill pass complete short left to Austin Hooper for 10 yards (tackle by Rudy Ford) GNB challenged the short of the line to gain ruling, and the original play was overturned. Ryan Tannehill pass complete short left to Austin Hooper for 9 yards (tackle by Rudy Ford)",0.430,-0.060
2,12:06,4,1,TEN 50,7,6,Derrick Henry up the middle for 1 yard (tackle by Adrian Amos and Krys Barnes),-0.060,2.320
2,11:30,1,10,GNB 49,7,6,Derrick Henry right tackle for 4 yards (tackle by Quay Walker and Ladarius Hamilton),2.320,2.320
2,11:05,2,6,GNB 45,7,6,Derrick Henry right end for 5 yards (tackle by Tedarrell Slaton),2.320,2.280
2,10:24,3,1,GNB 40,7,6,Derrick Henry left end for 2 yards (tackle by Darnell Savage),2.280,3.050
2,9:32,,,,,,Timeout #1 by Tennessee Titans,,
2,9:32,1,10,GNB 38,7,6,Ryan Tannehill pass complete short left to Treylon Burks for 6 yards (tackle by Krys Barnes and Jaire Alexander),3.050,3.320
2,8:49,2,4,GNB 32,7,6,Derrick Henry right guard for 3 yards (tackle by Kenny Clark),3.320,3.010
2,8:19,3,1,GNB 29,7,6,Derrick Henry up the middle for 5 yards (tackle by Quay Walker),3.010,3.970
2,7:38,1,10,GNB 24,7,6,Ryan Tannehill pass complete short middle to Treylon Burks for 5 yards (tackle by Quay Walker),3.970,4.120
2,6:59,2,5,GNB 19,7,6,Ryan Tannehill pass complete short left to Geoff Swaim for 3 yards (tackle by Jarran Reed and Adrian Amos),4.120,3.950
2,6:28,3,2,GNB 16,7,6,Derrick Henry up the middle for 3 yards (tackle by Krys Barnes and Jarran Reed),3.950,4.710
2,5:48,1,10,GNB 13,7,6,Ryan Tannehill pass incomplete short left intended for Robert Woods,4.710,4.050
2,5:41,,,,,,Timeout #2 by Tennessee Titans,,
2,5:41,2,10,GNB 13,7,6,Ryan Tannehill pass incomplete short right,4.050,3.120
2,5:34,3,10,GNB 13,7,6,Ryan Tannehill pass complete short middle to Robert Woods for 9 yards (tackle by Krys Barnes),3.120,3.040
2,4:59,,,,,,Timeout #1 by Green Bay Packers,,
2,4:59,4,1,GNB 4,7,6,Derrick Henry up the middle for -2 yards (tackle by Quay Walker and Preston Smith),3.040,0.380
2,4:54,1,10,GNB 6,7,6,AJ Dillon up the middle for 1 yard (tackle by Sam Okuayinonu and Jeffery Simmons),-0.380,-0.710
2,4:19,2,9,GNB 7,7,6,AJ Dillon up the middle for 3 yards (tackle by Sam Okuayinonu and David Long),-0.710,-0.950
2,3:37,3,6,GNB 10,7,6,"Aaron Rodgers pass incomplete short right. Penalty on Aaron Rodgers: Intentional Grounding, 9 yards (accepted)",-0.950,-2.490
2,3:29,4,15,GNB 1,7,6,Pat O'Donnell punts 40 yards downed by Rudy Ford,-2.490,-2.850
2,3:21,1,10,GNB 41,7,6,"Ryan Tannehill pass incomplete deep right intended for Treylon Burks. Penalty on Kenny Clark: Defensive Offside, 5 yards (accepted) (no play)",2.850,3.580
2,3:15,1,5,GNB 36,7,6,Derrick Henry left end for 1 yard (tackle by Kenny Clark),3.580,3.120
2,2:37,2,4,GNB 35,7,6,Ryan Tannehill pass complete short left to Robert Woods for 6 yards (tackle by Adrian Amos),3.120,3.640
2,2:00,1,10,GNB 29,7,6,Derrick Henry pass complete short middle to Treylon Burks for 1 yard (tackle by Quay Walker),3.640,3.240
2,1:52,,,,,,Timeout #2 by Green Bay Packers,,
2,1:52,2,9,GNB 28,7,6,Derrick Henry left end for 2 yards (tackle by Quay Walker and Adrian Amos),3.240,2.810
2,1:45,,,,,,Timeout #3 by Green Bay Packers,,
2,1:45,3,7,GNB 26,7,6,Ryan Tannehill pass complete short left to Robert Woods for 9 yards (tackle by Quay Walker),2.810,4.370
