Quarter,Time,Tm,Detail,JAX,TEN
1.0,7:46,Titans,Rob Bironas 48 yard field goal,0,3
2.0,9:19,Titans,Nate Washington 6 yard pass from Vince Young (Rob Bironas kick),0,10
,5:50,Titans,Rob Bironas 25 yard field goal,0,13
,5:33,Jaguars,Maurice Jones-Drew 80 yard rush (Josh Scobee kick),7,13
3.0,14:37,Jaguars,Maurice Jones-Drew 79 yard rush (Josh Scobee kick failed),13,13
,11:00,Titans,Chris Johnson 52 yard rush (Rob Bironas kick),13,20
,5:00,Titans,Rob Bironas 45 yard field goal,13,23
4.0,14:46,Titans,Chris Johnson 89 yard rush (Rob Bironas kick),13,30
