Unnamed: 0,CIN,ARI
First Downs,27,15
Rush-Yds-TDs,30-93-0,22-142-1
Cmp-Att-Yd-TD-INT,36-46-317-3-1,15-32-166-2-2
Sacked-Yards,3-30,3-14
Net Pass Yards,287,152
Total Yards,380,294
Fumbles-Lost,1-0,1-1
Turnovers,1,3
Penalties-Yards,4-40,2-16
Third Down Conv.,5-14,4-11
Fourth Down Conv.,0-3,0-3
Time of Possession,38:10,21:50
