Unnamed: 0,PHI,ARI
First Downs,22,21
Rush-Yds-TDs,18-97-0,29-102-0
Cmp-Att-Yd-TD-INT,28-47-375-3-1,21-28-279-4-0
Sacked-Yards,2-18,2-12
Net Pass Yards,357,267
Total Yards,454,369
Fumbles-Lost,3-2,1-1
Turnovers,3,1
Penalties-Yards,7-64,3-15
Third Down Conv.,7-14,5-12
Fourth Down Conv.,0-1,1-1
Time of Possession,30:04,29:56
