Unnamed: 0,WAS,KAN
First Downs,15,29
Rush-Yds-TDs,26-111-0,31-168-1
Cmp-Att-Yd-TD-INT,14-24-220-2-0,27-37-293-1-0
Sacked-Yards,0-0,4-32
Net Pass Yards,220,261
Total Yards,331,429
Fumbles-Lost,3-1,2-0
Turnovers,1,0
Penalties-Yards,7-44,3-15
Third Down Conv.,4-11,8-13
Fourth Down Conv.,1-1,0-0
Time of Possession,22:51,37:09
