Quarter,Time,Down,ToGo,Location,WAS,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,WAS 25,0,0,Robert Kelley middle for 4 yards (tackle by Derrick Johnson),0.610,0.600
1,14:24,2,6,WAS 29,0,0,"Penalty on Chris Jones: Encroachment, 5 yards (no play)",0.600,1.280
1,14:11,2,1,WAS 34,0,0,Kirk Cousins pass incomplete short right intended for Robert Kelley,1.280,0.560
1,14:05,3,1,WAS 34,0,0,Robert Kelley middle for 12 yards (tackle by Ron Parker),0.560,1.990
1,13:23,1,10,WAS 46,0,0,Robert Kelley middle for 3 yards (tackle by Justin Houston),1.990,1.860
1,12:40,2,7,WAS 49,0,0,Kirk Cousins pass complete short left to Josh Doctson for 7 yards (tackle by Terrance Mitchell),1.860,2.650
1,12:00,1,10,KAN 44,6,0,"Kirk Cousins pass complete deep right to Terrelle Pryor for 44 yards, touchdown",2.650,7.000
1,11:52,,,KAN 15,7,0,Dustin Hopkins kicks extra point good,0.000,0.000
1,11:52,,,WAS 35,7,0,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
1,11:52,1,10,KAN 25,7,0,Alex Smith sacked by Preston Smith for -9 yards,0.610,-1.290
1,11:10,2,19,KAN 16,7,0,Kareem Hunt middle for 2 yards (tackle by Mason Foster and Jonathan Allen),-1.290,-1.720
1,10:39,3,17,KAN 18,7,0,Alex Smith pass incomplete short middle intended for Tyreek Hill,-1.720,-2.240
1,10:39,4,17,KAN 18,7,0,"Dustin Colquitt punts 33 yards, out of bounds",-2.240,-2.190
1,10:26,1,10,WAS 49,7,0,Robert Kelley left end for -4 yards (tackle by Justin Houston),2.190,1.110
1,9:46,2,14,WAS 45,7,0,Chris Thompson left end for 7 yards (tackle by Daniel Sorensen),1.110,1.360
1,9:02,3,7,KAN 48,7,0,Kirk Cousins pass complete short left to Terrelle Pryor for 10 yards (tackle by Terrance Mitchell),1.360,3.050
1,8:28,1,10,KAN 38,7,0,Kirk Cousins pass incomplete short left intended for Terrelle Pryor,3.050,2.510
1,8:22,2,10,KAN 38,7,0,Chris Thompson right end for 5 yards (tackle by Justin Houston),2.510,2.480
1,7:37,3,5,KAN 33,7,0,Kirk Cousins pass complete short right to Chris Thompson for 4 yards (tackle by Marcus Peters),2.480,1.620
1,6:52,4,1,KAN 29,7,0,Kirk Cousins middle for 5 yards (tackle by Terrance Mitchell),1.620,3.970
1,6:10,1,10,KAN 24,7,0,Robert Kelley middle for 3 yards (tackle by Frank Zombo and Reggie Ragland),3.970,3.840
1,5:32,2,7,KAN 21,7,0,Kirk Cousins pass incomplete short right intended for Chris Thompson,3.840,3.140
1,5:22,3,7,KAN 21,7,0,Kirk Cousins pass complete short middle to Jordan Reed for 14 yards (tackle by Eric Murray),3.140,5.600
1,5:00,1,7,KAN 7,7,0,Robert Kelley middle for 5 yards (tackle by Bennie Logan),5.600,5.720
1,4:20,2,2,KAN 2,7,0,Robert Kelley middle for no gain (tackle by Frank Zombo),5.720,4.950
1,3:34,3,2,KAN 2,7,0,Kirk Cousins left end for 1 yard (tackle by Frank Zombo),4.950,3.550
1,2:50,4,1,KAN 1,10,0,Dustin Hopkins 19 yard field goal good,3.550,3.000
1,2:47,,,WAS 35,10,0,"Dustin Hopkins kicks off 73 yards, returned by Akeem Hunt for 25 yards (tackle by Stefan McClure)",0.000,0.060
1,2:42,1,10,KAN 17,10,0,Kareem Hunt middle for no gain (tackle by Preston Smith and Ryan Kerrigan),-0.060,-0.580
1,2:08,2,10,KAN 17,10,0,Alex Smith pass complete short middle to Travis Kelce for 1 yard (tackle by Martrell Spaight),-0.580,-1.130
1,1:24,3,9,KAN 18,10,0,"Penalty on Bryan Witzmann: False Start, 5 yards (no play)",-1.130,-1.860
1,1:02,3,14,KAN 13,10,0,Alex Smith pass complete deep middle to Travis Kelce for 32 yards (tackle by Kendall Fuller),-1.860,1.930
1,0:13,1,10,KAN 45,10,0,Alex Smith pass complete short left to Tyreek Hill for 10 yards (tackle by Zach Brown),1.930,2.590
Quarter,Time,Down,ToGo,Location,WAS,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,WAS 45,10,0,Alex Smith right end for 11 yards (tackle by Terrell McClain),2.590,3.310
2,14:28,1,10,WAS 34,10,0,Kareem Hunt middle for 3 yards (tackle by Martrell Spaight and Matthew Ioannidis),3.310,3.180
2,13:42,2,7,WAS 31,10,0,Alex Smith pass incomplete short right intended for Demetrius Harris (defended by Bashaud Breeland),3.180,2.480
2,13:35,3,7,WAS 31,10,0,Alex Smith sacked by Matthew Ioannidis for -8 yards,2.480,0.660
2,12:53,4,15,WAS 39,10,0,"Dustin Colquitt punts 39 yards, touchback",0.660,-0.280
2,12:44,1,10,WAS 20,10,0,Kirk Cousins pass complete deep left to Vernon Davis for 20 yards (tackle by Eric Murray),0.280,1.600
2,12:08,1,10,WAS 40,10,0,"Samaje Perine left end for 5 yards (tackle by Derrick Johnson). Penalty on Jarvis Jenkins: Illegal Use of Hands, 5 yards",1.600,2.260
2,11:46,1,10,,10,0,Samaje Perine middle for 5 yards (tackle by Jarvis Jenkins),2.260,2.390
2,11:09,2,5,KAN 45,10,0,Samaje Perine middle for 3 yards (tackle by Bennie Logan),2.390,2.080
2,10:29,3,2,KAN 42,10,0,Kirk Cousins pass incomplete short left intended for Jordan Reed (defended by Terrance Mitchell),2.080,0.460
2,10:23,4,2,KAN 42,10,0,"Tress Way punts 28 yards, fair catch by Tyreek Hill",0.460,0.280
2,10:15,1,10,KAN 14,10,0,Kareem Hunt right tackle for 12 yards (tackle by Deshazor Everett),-0.280,0.670
2,9:29,1,10,KAN 26,10,0,Alex Smith middle for 1 yard (tackle by Martrell Spaight),0.670,0.270
2,9:29,2,9,KAN 27,10,0,Alex Smith pass complete short middle to Travis Kelce for 11 yards (tackle by Zach Brown),0.270,1.470
2,8:21,1,10,KAN 38,10,0,Alex Smith pass incomplete short right intended for Travis Kelce (defended by Josh Norman),1.470,0.920
2,8:15,2,10,KAN 38,10,0,Albert Wilson left end for 6 yards (tackle by Bashaud Breeland),0.920,1.020
