Quarter,Time,Down,ToGo,Location,OAK,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,PHI 25,0,0,Nick Foles pass incomplete deep right intended for Nelson Agholor,0.610,0.060
1,14:55,2,10,PHI 25,0,0,Nick Foles pass complete short left to Torrey Smith for 5 yards (tackle by Dexter McDonald),0.060,0.040
1,14:09,3,5,PHI 30,0,0,Nick Foles pass incomplete short right intended for Zach Ertz,0.040,-1.370
1,14:04,4,5,PHI 30,0,0,"Donnie Jones punts 30 yards, fair catch by T.J. Carrie",-1.370,-1.600
1,13:59,1,10,OAK 40,0,0,Marshawn Lynch middle for 3 yards (tackle by Nigel Bradham),1.600,1.460
1,13:20,2,7,OAK 43,0,0,Marshawn Lynch left end for 3 yards (tackle by Dannell Ellerbe and Ronald Darby),1.460,1.160
1,12:41,3,4,OAK 46,0,0,Derek Carr pass complete short right to Seth Roberts for 4 yards (tackle by Malcolm Jenkins),1.160,2.260
1,12:00,1,10,,0,0,Derek Carr pass complete short right to Lee Smith for 4 yards (tackle by Mychal Kendricks),2.260,2.250
1,11:17,2,6,PHI 46,0,0,Marshawn Lynch middle for 2 yards (tackle by Ronald Darby),2.250,1.820
1,10:28,3,4,PHI 44,0,0,"Penalty on Derek Carr: Delay of Game, 5 yards (no play)",1.820,1.160
1,10:07,3,9,PHI 49,0,0,"Penalty on Marshall Newhouse: False Start, 5 yards (no play)",1.160,0.500
1,9:51,3,14,OAK 46,0,0,Derek Carr pass complete short middle to Lee Smith for 12 yards (tackle by Nigel Bradham),0.500,0.000
1,9:12,,,,,,Timeout #1 by Philadelphia Eagles,0.000,-0.460
1,9:12,4,2,PHI 42,0,0,Derek Carr pass incomplete short right intended for Michael Crabtree,0.460,-1.730
1,9:07,1,10,PHI 42,0,0,Jay Ajayi left end for 11 yards (tackle by Reggie Nelson),1.730,2.460
1,8:26,1,10,OAK 47,0,0,Nick Foles pass complete short right to LeGarrette Blount for 3 yards (tackle by Marquel Lee),2.460,2.320
1,7:49,2,7,OAK 44,0,0,LeGarrette Blount middle for 2 yards (tackle by Khalil Mack),2.320,1.880
1,7:09,3,5,OAK 42,0,0,Corey Clement middle for 12 yards (tackle by Reggie Nelson),1.880,3.580
1,6:30,1,10,OAK 30,0,0,LeGarrette Blount middle for 6 yards (tackle by Dexter McDonald),3.580,3.840
1,5:55,2,4,OAK 24,0,0,Jay Ajayi left guard for 3 yards (tackle by NaVorro Bowman and Bruce Irvin),3.840,3.530
1,5:30,3,1,OAK 21,0,0,Jay Ajayi middle for no gain (tackle by NaVorro Bowman),3.530,2.210
1,4:41,4,1,OAK 21,0,0,Corey Clement middle for 2 yards (tackle by Khalil Mack),2.210,4.310
1,4:05,1,10,OAK 19,0,0,"Jay Ajayi right end for 3 yards (tackle by NaVorro Bowman). Penalty on Zach Ertz: Offensive Holding, 10 yards",4.310,3.840
1,3:40,1,17,OAK 26,0,0,Jay Ajayi middle for 9 yards (tackle by Karl Joseph),3.840,4.030
1,2:59,2,8,OAK 17,0,6,"Nick Foles pass complete short left to Jay Ajayi for 17 yards, touchdown",4.030,7.000
1,2:51,,,OAK 15,0,7,Jake Elliott kicks extra point good,0.000,0.000
1,2:51,,,PHI 35,0,7,"Jake Elliott kicks off 53 yards, returned by Jalen Richard for 17 yards (tackle by Kamu Grugier-Hill)",0.000,-0.870
1,2:46,1,10,OAK 29,0,7,Marshawn Lynch left end for 8 yards (tackle by Malcolm Jenkins),0.870,1.410
1,2:31,2,2,OAK 37,0,7,Marshawn Lynch middle for -1 yards (tackle by Brandon Graham),1.410,0.560
1,1:50,3,3,OAK 36,0,7,Derek Carr pass incomplete deep middle intended for Seth Roberts,0.560,-0.980
1,1:45,4,3,OAK 36,0,7,Marquette King punts 44 yards,-0.980,-0.280
1,1:34,1,10,PHI 20,0,7,LeGarrette Blount middle for 2 yards (tackle by Reggie Nelson),0.280,0.000
1,0:56,2,8,PHI 22,0,7,Jay Ajayi middle for 1 yard (tackle by NaVorro Bowman),0.000,-0.560
1,0:16,3,7,PHI 23,0,7,"Nick Foles pass incomplete short left intended for Nelson Agholor (defended by T.J. Carrie). Penalty on T.J. Carrie: Defensive Holding, 5 yards (no play)",-0.560,0.810
1,0:11,1,10,PHI 28,0,7,Jay Ajayi right end for 2 yards (tackle by Nicholas Morrow),0.810,0.530
Quarter,Time,Down,ToGo,Location,OAK,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,PHI 30,0,7,Nick Foles pass complete short left to Jay Ajayi for 4 yards (tackle by Eddie Vanderdoes),0.530,0.000
2,14:17,,,,,,Timeout #1 by Oakland Raiders,0.000,-0.370
2,14:17,3,4,PHI 34,0,7,Nick Foles pass incomplete short left intended for Zach Ertz (defended by Reggie Nelson),0.370,-1.110
2,14:11,4,4,PHI 34,0,7,"Donnie Jones punts 48 yards, returned by Jalen Richard for 8 yards (tackle by Rasul Douglas)",-1.110,-0.670
2,14:00,1,10,OAK 26,0,7,Derek Carr pass complete short left to Cordarrelle Patterson for 7 yards (tackle by Ronald Darby),0.670,1.070
2,13:27,2,3,OAK 33,0,7,Marshawn Lynch middle for 4 yards (tackle by Dannell Ellerbe),1.070,1.400
2,12:46,1,10,OAK 37,6,7,"Derek Carr pass complete deep right to Amari Cooper for 63 yards, touchdown",1.400,7.000
2,12:36,,,PHI 15,7,7,Giorgio Tavecchio kicks extra point good,0.000,0.000
2,12:36,,,OAK 35,7,7,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
2,12:36,1,10,PHI 25,7,7,Nick Foles pass complete short right to Zach Ertz for 11 yards (tackle by Karl Joseph),0.610,1.330
2,12:03,1,10,PHI 36,7,7,Nick Foles pass incomplete short left intended for Brent Celek (defended by Reggie Nelson),1.330,0.790
2,11:58,2,10,PHI 36,7,7,"LeGarrette Blount middle for no gain (tackle by Marquel Lee and Reggie Nelson). Penalty on Chance Warmack: Offensive Holding, 10 yards (no play)",0.790,-0.560
2,11:32,2,20,PHI 26,7,7,Nick Foles pass complete short middle to Zach Ertz for 15 yards (tackle by Dexter McDonald),-0.560,0.760
2,10:51,3,5,PHI 41,7,7,Nick Foles pass incomplete deep left intended for Nelson Agholor,0.760,-0.650
2,10:44,4,5,PHI 41,7,7,"Donnie Jones punts 46 yards, out of bounds",-0.650,0.320
2,10:33,1,10,OAK 13,7,7,Marshawn Lynch middle for 4 yards (tackle by Jalen Mills),-0.320,-0.300
2,9:56,2,6,OAK 17,7,7,Derek Carr middle for 1 yard (tackle by Nigel Bradham),-0.300,-0.830
2,9:11,3,5,OAK 18,7,7,"Derek Carr sacked by Chris Long for -7 yards. Penalty on Chris Long: Defensive Offside, 5 yards (no play)",-0.830,0.480
2,8:48,1,10,OAK 23,7,7,Marshawn Lynch left end for 4 yards (tackle by Brandon Graham),0.480,0.470
2,8:05,2,6,OAK 27,7,7,Derek Carr pass complete short middle to Seth Roberts for 11 yards (tackle by Patrick Robinson),0.470,1.470
2,7:09,1,10,OAK 38,7,7,Marshawn Lynch right end for 5 yards (tackle by Fletcher Cox and Timmy Jernigan),1.470,1.600
2,6:31,2,5,OAK 43,7,7,Marshawn Lynch left guard for 3 yards (tackle by Rodney McLeod and Ronald Darby),1.600,1.290
2,5:48,3,2,OAK 46,7,7,Marshawn Lynch middle for 7 yards (tackle by Dannell Ellerbe and Nigel Bradham),1.290,2.460
2,5:05,1,10,PHI 47,7,7,Derek Carr pass incomplete short left intended for DeAndre Washington,2.460,1.910
2,4:57,2,10,PHI 47,7,7,Derek Carr pass incomplete short middle intended for Seth Roberts (defended by Patrick Robinson),1.910,1.220
2,4:54,3,10,PHI 47,7,7,"Derek Carr pass complete deep right to Amari Cooper for 45 yards (tackle by Jalen Mills and Corey Graham). Penalty on Gabe Jackson: Offensive Holding, 10 yards (no play)",1.220,-0.100
2,4:23,3,20,OAK 43,7,7,"Derek Carr pass complete short left to DeAndre Washington for 2 yards (tackle by Malcolm Jenkins). Penalty on Rodney Hudson: Illegal Block Above the Waist, 10 yards",-0.100,-1.150
2,4:02,3,28,OAK 35,7,7,Derek Carr pass complete short right to Jared Cook for 15 yards (tackle by Patrick Robinson and Mychal Kendricks),-1.150,-0.060
2,3:16,4,13,,7,7,"Marquette King punts 33 yards, returned by Kenjon Barner for 7 yards (tackle by Johnny Holton)",-0.060,-0.540
2,3:08,1,10,PHI 24,7,7,Nick Foles pass complete short left to Zach Ertz for 25 yards (tackle by Reggie Nelson),0.540,2.190
,,,,,,,"OAK challenged the runner was down by contact ruling, and the play was upheld.",,
2,2:37,1,10,PHI 49,7,7,"Penalty on Lane Johnson: False Start, 5 yards (no play)",2.190,1.860
2,2:37,1,15,PHI 44,7,7,Nick Foles pass incomplete (defended by Bruce Irvin),1.860,0.970
2,2:31,2,15,PHI 44,7,7,Jay Ajayi middle for 7 yards (tackle by Shilique Calhoun),0.970,1.220
