Unnamed: 0,OAK,PHI
First Downs,13,12
Rush-Yds-TDs,33-137-0,21-78-0
Cmp-Att-Yd-TD-INT,15-29-140-1-2,19-38-163-1-1
Sacked-Yards,1-3,2-25
Net Pass Yards,137,138
Total Yards,274,216
Fumbles-Lost,4-3,3-1
Turnovers,5,2
Penalties-Yards,7-50,8-60
Third Down Conv.,3-13,1-14
Fourth Down Conv.,0-2,2-2
Time of Possession,34:21,25:39
