Unnamed: 0,WAS,IND
First Downs,19,25
Rush-Yds-TDs,24-114-0,25-110-0
Cmp-Att-Yd-TD-INT,27-37-226-2-0,25-35-342-4-0
Sacked-Yards,2-15,0-0
Net Pass Yards,211,342
Total Yards,325,452
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,10-91,3-27
Third Down Conv.,6-14,5-10
Fourth Down Conv.,2-2,0-0
Time of Possession,30:54,29:06
