Unnamed: 0,TEN,NWE
First Downs,23,21
Rush-Yds-TDs,27-70-2,27-161-3
Cmp-Att-Yd-TD-INT,23-45-360-0-1,17-31-219-1-0
Sacked-Yards,2-19,3-26
Net Pass Yards,341,193
Total Yards,411,354
Fumbles-Lost,2-0,1-0
Turnovers,1,0
Penalties-Yards,8-66,9-55
Third Down Conv.,6-15,6-12
Fourth Down Conv.,1-1,0-1
Time of Possession,31:55,28:05
