Quarter,Time,Down,ToGo,Location,BUF,CHI,Detail,EPB,EPA
1,,,,CHI 30,0,3,"Robbie Gould kicks off 68 yards, returned by Terrence McGee for 24 yards (tackle by Danieal Manning)",0.000,0.670
1,8:58,1,10,BUF 26,0,3,J.P. Losman pass complete short left to Lee Evans for 7 yards (tackle by Brian Urlacher and Hunter Hillenmeyer),0.670,1.070
1,8:20,2,3,BUF 33,0,3,Willis McGahee left guard for 1 yard (tackle by Antonio Garay),1.070,0.500
1,7:42,3,2,BUF 34,0,3,J.P. Losman pass incomplete short right intended for Josh Reed (defended by Brian Urlacher),0.500,-1.110
1,7:37,4,2,BUF 34,0,3,"Brian Moorman punts 66 yards, touchback",-1.110,-0.280
1,7:29,1,10,CHI 20,0,3,Rex Grossman pass incomplete deep right intended for Muhsin Muhammad,0.280,-0.270
1,7:23,2,10,CHI 20,0,3,"Rex Grossman pass incomplete short middle intended for Bernard Berrian. Penalty on Terrence McGee: Defensive Pass Interfere, 19 yards (no play)",-0.270,1.530
1,7:19,1,10,CHI 39,0,3,Rex Grossman pass complete short right to John Gilmore for 7 yards,1.530,1.930
1,6:42,2,3,CHI 46,0,3,Thomas Jones left guard for 2 yards (tackle by Ryan Denney),1.930,1.490
1,6:01,3,1,CHI 48,0,3,Rex Grossman pass complete short middle to Desmond Clark for 12 yards (tackle by Ko Simpson),1.490,2.920
1,5:19,1,10,BUF 40,0,3,Thomas Jones left end for 5 yards (tackle by Ko Simpson and Nate Clements),2.920,3.050
1,4:41,2,5,BUF 35,0,3,Thomas Jones left end for 10 yards (tackle by Kiwaukee Thomas),3.050,3.910
1,4:01,1,10,BUF 25,0,3,Rex Grossman pass incomplete short left intended for Bernard Berrian (defended by Nate Clements),3.910,3.360
1,3:56,2,10,BUF 25,0,3,Rex Grossman pass incomplete short left intended for Bernard Berrian,3.360,2.680
1,3:53,3,10,BUF 25,0,3,Rex Grossman pass incomplete short middle intended for Muhsin Muhammad,2.680,1.800
1,3:48,4,10,BUF 25,0,6,Robbie Gould 43 yard field goal good,1.800,3.000
1,,,,CHI 30,0,6,"Robbie Gould kicks off 70 yards, touchback",0.000,0.280
1,3:43,1,10,BUF 20,0,6,Willis McGahee right guard for 6 yards (tackle by Alex Brown),0.280,0.540
1,3:07,2,4,BUF 26,0,6,"Penalty on Jason Peters: False Start, 5 yards (no play)",0.540,-0.130
1,2:53,2,9,BUF 21,0,6,J.P. Losman pass incomplete short left intended for Peerless Price,-0.130,-0.820
1,2:48,3,9,BUF 21,0,6,J.P. Losman sacked by Alex Brown for -8 yards,-0.820,-2.490
1,2:23,4,17,BUF 13,0,6,"Brian Moorman punts 57 yards, returned by Devin Hester for 21 yards (tackle by John DiGiorgio)",-2.490,-2.320
1,2:11,1,10,BUF 49,0,6,Thomas Jones left tackle for 11 yards (tackle by Ko Simpson),2.320,3.050
1,1:37,1,10,BUF 38,0,6,Thomas Jones right guard for 8 yards (tackle by Ko Simpson),3.050,3.590
1,0:54,2,2,BUF 30,0,6,"Thomas Jones right guard for 2 yards (tackle by Tim Anderson). Penalty on Larry Tripplett: Defensive Offside, 5 yards (no play)",3.590,3.910
1,0:35,1,10,BUF 25,0,6,Thomas Jones left guard for 7 yards (tackle by Donte Whitner),3.910,4.370
Quarter,Time,Down,ToGo,Location,BUF,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,BUF 18,0,6,Rex Grossman pass complete short left to Thomas Jones for 7 yards (tackle by Keith Ellison),4.370,4.840
2,14:19,1,10,BUF 11,0,6,Thomas Jones right guard for 4 yards (tackle by Coy Wire),4.840,4.890
2,13:38,2,6,BUF 7,0,6,Thomas Jones sacked by Keith Ellison for -1 yards,4.890,3.760
2,13:06,3,7,BUF 8,0,12,"Rex Grossman pass complete short middle to Bernard Berrian for 8 yards, touchdown",3.760,7.000
2,,,,BUF 2,0,13,Robbie Gould kicks extra point good,0.000,0.000
2,,,,CHI 30,0,13,"Robbie Gould kicks off 70 yards, returned by Terrence McGee for 24 yards (tackle by Danieal Manning)",0.000,0.540
2,12:55,1,10,BUF 24,0,13,J.P. Losman pass incomplete short middle intended for Peerless Price,0.540,0.000
2,12:50,2,10,BUF 24,0,13,J.P. Losman pass incomplete intended for Peerless Price (defended by Mark Anderson),0.000,-0.690
2,12:44,3,10,BUF 24,0,13,J.P. Losman pass complete short left to Lee Evans for 15 yards (tackle by Mike Brown),-0.690,1.530
2,12:04,1,10,BUF 39,0,13,Willis McGahee right end for 1 yard (tackle by Charles Tillman),1.530,1.120
2,11:28,2,9,BUF 40,0,13,J.P. Losman pass incomplete short right intended for Lee Evans,1.120,0.430
2,11:24,3,9,BUF 40,0,13,J.P. Losman pass incomplete intended for Lee Evans is intercepted by Lance Briggs at 50 and returned for 18 yards,0.430,-3.450
2,11:13,1,10,BUF 32,0,13,Rex Grossman pass complete short left to Cedric Benson for 9 yards (tackle by Nate Clements),3.450,4.120
2,10:44,2,1,BUF 23,0,13,--,4.120,4.170
2,10:05,1,10,BUF 21,0,13,Cedric Benson left guard for 11 yards (tackle by Chris Kelsay),4.170,4.910
2,9:23,1,10,BUF 10,0,13,Cedric Benson left guard for 9 yards (tackle by Chris Kelsay and Ko Simpson),4.910,5.910
2,8:40,2,1,BUF 1,0,13,Penalty on Chris Kelsay: Encroachment (no play),5.910,5.910
2,8:33,2,1,BUF 1,0,19,"Cedric Benson right tackle for 1 yard, touchdown",5.910,7.000
2,,,,BUF 2,0,20,Robbie Gould kicks extra point good,0.000,0.000
2,,,,CHI 30,0,20,"Robbie Gould kicks off 66 yards, returned by Terrence McGee for 19 yards (tackle by Brendon Ayanbadejo)",0.000,0.480
2,8:24,1,10,BUF 23,0,20,J.P. Losman sacked by Mark Anderson for -8 yards,0.480,-1.280
2,7:54,2,18,BUF 15,0,20,"Penalty on Tommie Harris: Neutral Zone Infraction, 5 yards (no play)",-1.280,-0.470
2,7:40,2,13,BUF 20,0,20,J.P. Losman right end for -2 yards (tackle by Charles Tillman),-0.470,-1.560
2,7:04,3,15,BUF 18,0,20,J.P. Losman pass complete short middle to Willis McGahee for -1 yards (tackle by Ricky Manning),-1.560,-2.320
2,6:25,4,16,BUF 17,0,20,"Brian Moorman punts 60 yards, returned by Devin Hester for 7 yards (tackle by Mario Haggan)",-2.320,-0.940
2,6:14,1,10,CHI 30,0,20,Rex Grossman pass complete short right to Bernard Berrian for 62 yards (tackle by Ko Simpson),0.940,5.370
2,5:48,1,8,BUF 8,0,20,"Penalty on Rex Grossman: Delay of Game, 5 yards (no play)",5.370,4.530
2,5:36,1,13,BUF 13,0,20,Cedric Benson right tackle for 5 yards (tackle by Donte Whitner),4.530,4.570
2,5:03,2,8,BUF 8,0,20,Rex Grossman sacked by Angelo Crowell for -7 yards,4.570,2.930
2,4:29,3,15,BUF 15,0,26,"Rex Grossman pass complete short middle to Rashied Davis for 15 yards, touchdown",2.930,7.000
2,,,,BUF 2,0,27,Robbie Gould kicks extra point good,0.000,0.000
2,,,,CHI 30,0,27,"Robbie Gould kicks off 62 yards, returned by Terrence McGee for 22 yards (tackle by Adrian Peterson)",0.000,0.940
2,4:17,1,10,BUF 30,0,27,Willis McGahee left guard for 5 yards (tackle by Brian Urlacher),0.940,1.070
2,3:41,2,5,BUF 35,0,27,J.P. Losman pass complete short right to Lee Evans for 12 yards (tackle by Charles Tillman),1.070,2.060
2,3:09,1,10,BUF 47,0,27,Willis McGahee right tackle for 5 yards (tackle by Brian Urlacher),2.060,2.190
2,2:32,2,5,CHI 48,0,27,Willis McGahee right tackle for -1 yards (tackle by Alfonso Boone),2.190,1.360
2,2:00,3,6,CHI 49,0,27,J.P. Losman pass incomplete intended for Roscoe Parrish is intercepted by Ricky Manning at CHI-44 and returned for 7 yards,1.360,-2.320
2,1:55,1,10,BUF 49,0,27,Rex Grossman pass complete short right to Thomas Jones for 2 yards (tackle by Donte Whitner),2.320,2.050
2,1:49,2,8,BUF 47,0,27,Rex Grossman pass complete short middle to Muhsin Muhammad for 5 yards,2.050,2.020
2,1:12,3,3,BUF 42,0,27,Rex Grossman pass complete short left to Thomas Jones for 2 yards (tackle by Donte Whitner and Chris Kelsay),2.020,0.590
2,0:21,,,,0,27,Timeout #1 by Chicago Bears,0.000,0.590
2,0:21,4,1,BUF 40,0,27,"Brad Maynard punts 27 yards, fair catch by Roscoe Parrish",0.590,0.320
2,0:15,1,10,BUF 13,0,27,Willis McGahee right guard for -1 yards (tackle by Alfonso Boone),-0.320,-0.850
Quarter,Time,Down,ToGo,Location,BUF,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 30,0,27,"Rian Lindell kicks off 58 yards, returned by Rashied Davis for 17 yards (tackle by Jabari Greer)",0.000,0.870
3,14:56,1,10,CHI 29,0,27,Thomas Jones right guard for 5 yards (tackle by Ko Simpson),0.870,1.000
3,14:24,2,5,CHI 34,0,27,Rex Grossman pass incomplete,1.000,0.300
3,14:18,3,5,CHI 34,0,27,Rex Grossman pass incomplete intended for Rashied Davis (defended by John McCargo),0.300,-1.110
3,14:12,4,5,CHI 34,0,27,Brad Maynard punts 37 yards,-1.110,-0.870
3,14:03,1,10,BUF 29,0,27,J.P. Losman pass complete short middle to Willis McGahee for 12 yards (tackle by Lance Briggs and Mike Brown),0.870,1.660
3,13:29,1,10,BUF 41,0,27,Willis McGahee right tackle for 7 yards (tackle by Mike Brown),1.660,2.070
3,12:54,2,3,BUF 48,0,27,Willis McGahee left tackle for 11 yards (tackle by Ricky Manning and Danieal Manning),2.070,2.850
3,12:18,1,10,CHI 41,0,27,J.P. Losman pass complete short left to Lee Evans for 17 yards (tackle by Lance Briggs),2.850,3.970
3,11:35,1,10,CHI 24,0,27,J.P. Losman pass incomplete short left intended for Willis McGahee is intercepted by Alex Brown at CHI-25 and returned for 18 yards,3.970,-1.800
3,11:23,1,10,CHI 43,0,27,Thomas Jones right tackle for 4 yards (tackle by Terrence McGee),1.800,1.790
3,10:49,2,6,CHI 47,0,27,Rex Grossman pass incomplete deep middle intended for Muhsin Muhammad,1.790,1.090
3,10:44,3,6,CHI 47,0,27,Rex Grossman pass complete short left to Rashied Davis for 19 yards (tackle by Ko Simpson),1.090,3.310
3,10:05,1,10,BUF 34,0,27,Rex Grossman pass incomplete deep left intended for Bernard Berrian,3.310,2.770
3,9:57,2,10,BUF 34,0,27,Thomas Jones right guard for 14 yards (tackle by Ko Simpson),2.770,4.240
3,9:18,1,10,BUF 20,0,27,Thomas Jones left guard for 5 yards (tackle by Ryan Denney),4.240,4.450
3,8:33,2,5,BUF 15,0,27,Rex Grossman pass complete short right to Thomas Jones for 2 yards (tackle by Ryan Denney and Mario Haggan),4.450,4.100
3,7:49,3,3,BUF 13,0,27,Thomas Jones right end for -1 yards (tackle by Keith Ellison),4.100,2.580
3,7:11,4,4,BUF 14,0,30,Robbie Gould 32 yard field goal good,2.580,3.000
3,,,,CHI 30,0,30,"Robbie Gould kicks off 64 yards, returned by Terrence McGee for 33 yards (tackle by Robbie Gould)",0.000,1.530
3,6:59,1,10,BUF 39,0,30,Willis McGahee left guard for 6 yards (tackle by Tank Johnson and Ricky Manning),1.530,1.800
3,6:28,2,4,BUF 45,0,30,"Penalty on Melvin Fowler: False Start, 5 yards (no play)",1.800,1.120
3,6:19,2,9,BUF 40,0,30,J.P. Losman pass complete short right to Willis McGahee for 1 yard (tackle by Brian Urlacher),1.120,0.560
3,5:42,3,8,BUF 41,0,30,J.P. Losman pass incomplete deep right intended for Lee Evans,0.560,-0.650
3,5:37,4,8,BUF 41,0,30,Brian Moorman punts 55 yards,-0.650,0.380
3,5:26,1,10,CHI 4,0,30,Thomas Jones right tackle for 3 yards (tackle by Kyle Williams),-0.380,-0.560
3,4:56,2,7,CHI 7,0,30,Rex Grossman pass incomplete short right intended for Muhsin Muhammad (defended by Terrence McGee),-0.560,-1.070
3,4:49,3,7,CHI 7,0,30,Rex Grossman pass complete short left to Bernard Berrian for 19 yards (tackle by Ko Simpson and Kiwaukee Thomas),-1.070,0.670
3,4:09,1,10,CHI 26,0,30,Rex Grossman pass complete short right to Muhsin Muhammad for 5 yards (tackle by Terrence McGee),0.670,0.810
3,3:32,2,5,CHI 31,0,30,Thomas Jones right guard for 4 yards (tackle by Nate Clements),0.810,0.630
3,2:53,3,1,CHI 35,0,30,--,0.630,1.470
3,2:17,1,10,CHI 38,0,30,Thomas Jones right guard for 2 yards (tackle by Larry Tripplett),1.470,1.190
3,1:40,2,8,CHI 40,0,30,Thomas Jones left end for 3 yards (tackle by Angelo Crowell),1.190,0.890
3,1:02,3,5,CHI 43,0,30,Rex Grossman pass incomplete short right intended for Rashied Davis,0.890,-0.520
3,0:57,4,5,CHI 43,0,30,"Brad Maynard punts 55 yards, returned by Roscoe Parrish for 15 yards (tackle by Adrian Peterson)",-0.520,0.060
3,0:45,1,10,BUF 17,0,30,J.P. Losman pass incomplete deep left intended for Peerless Price,-0.060,-0.580
3,0:39,2,10,BUF 17,0,30,Willis McGahee left end for 2 yards (tackle by Alfonso Boone and Brian Urlacher),-0.580,-1.000
Quarter,Time,Down,ToGo,Location,BUF,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,8,BUF 19,0,30,J.P. Losman pass incomplete short right intended for Lee Evans (defended by Tank Johnson),-1.000,-2.140
4,14:55,4,8,BUF 19,0,30,"Brian Moorman punts 50 yards, returned by Devin Hester for 1 yard (tackle by Josh Stamer)",-2.140,-1.070
4,14:44,1,10,CHI 32,0,30,Cedric Benson right guard for no gain,1.070,0.530
4,14:08,2,10,CHI 32,0,30,Brian Griese pass complete short right to Justin Gage for 13 yards (tackle by Terrence McGee),0.530,1.930
4,13:26,1,10,CHI 45,0,30,"Cedric Benson left end for -2 yards (tackle by Donte Whitner). Penalty on Ryan Denney: Face Mask (5 Yards), 5 yards",1.930,2.370
4,13:07,1,7,CHI 48,0,30,Thomas Jones right tackle for 2 yards (tackle by Donte Whitner),2.370,2.060
4,12:27,2,5,CHI 50,0,30,Thomas Jones right guard for 12 yards (tackle by John McCargo),2.060,3.050
4,11:44,1,10,BUF 38,0,30,--,3.050,2.910
4,11:06,2,7,BUF 35,0,30,Brian Griese pass complete short left to Justin Gage for 4 yards,2.910,2.740
4,10:22,3,3,BUF 31,0,30,Brian Griese pass complete short left to Cedric Benson for 5 yards,2.740,3.840
4,9:36,1,10,BUF 26,0,30,Cedric Benson left guard for 4 yards (tackle by Donte Whitner),3.840,3.840
4,8:51,2,6,BUF 22,0,30,Brian Griese pass complete short right to Rashied Davis for 7 yards (tackle by Terrence McGee),3.840,4.580
4,8:09,1,10,BUF 15,0,30,Cedric Benson left end for -1 yards (tackle by Donte Whitner),4.580,3.810
4,7:28,2,11,BUF 16,0,30,Cedric Benson left guard for 1 yard (tackle by Chris Kelsay),3.810,3.100
4,6:45,3,10,BUF 15,0,30,Brian Griese sacked by Aaron Schobel for -8 yards,3.100,1.930
4,6:10,4,18,BUF 23,0,33,Robbie Gould 41 yard field goal good,1.930,3.000
4,,,,CHI 30,0,33,"Robbie Gould kicks off 67 yards, returned by Terrence McGee for 20 yards (tackle by Adrian Peterson). Terrence McGee fumbles (forced by Adrian Peterson), recovered by Israel Idonije at BUF-15 (tackle by Daimon Shelton)",0.000,-4.580
4,5:55,1,10,BUF 15,0,33,Cedric Benson left guard for 3 yards (tackle by Chris Kelsay),4.580,4.450
4,5:21,2,7,BUF 12,0,33,Cedric Benson left tackle for 11 yards (tackle by Ko Simpson),4.450,6.970
4,4:39,1,1,BUF 1,0,39,"Cedric Benson left guard for 1 yard, touchdown",6.970,7.000
4,,,,BUF 2,0,40,Robbie Gould kicks extra point good,0.000,0.000
4,,,,CHI 30,0,40,"Robbie Gould kicks off 70 yards, touchback",0.000,0.280
4,4:36,1,10,BUF 20,0,40,J.P. Losman pass complete short left to Lee Evans for 6 yards (tackle by Lance Briggs),0.280,0.540
4,4:00,2,4,BUF 26,0,40,J.P. Losman pass incomplete deep right intended for Peerless Price,0.540,-0.160
4,3:51,3,4,BUF 26,0,40,"J.P. Losman sacked by Mark Anderson for -11 yards. J.P. Losman fumbles (forced by Mark Anderson), recovered by Jason Peters at BUF-14",-0.160,-2.470
4,3:06,4,16,BUF 14,0,40,"Brian Moorman punts 59 yards, returned by Devin Hester for 13 yards (tackle by Mike Schneck)",-2.470,-1.600
4,2:54,1,10,CHI 40,0,40,"Brian Griese for no gain. Brian Griese fumbles, recovered by Keith Ellison at CHI-42 (tackle by Justin Gage)",1.600,-2.790
4,2:44,1,10,CHI 42,0,40,J.P. Losman pass complete short right to Peerless Price for 6 yards (tackle by Charles Tillman),2.790,3.050
4,2:39,2,4,CHI 36,0,40,Willis McGahee right guard for 6 yards (tackle by Danieal Manning),3.050,3.580
4,2:00,1,10,CHI 30,0,40,J.P. Losman pass complete short left to Lee Evans for 9 yards (tackle by Danieal Manning),3.580,4.250
4,1:40,2,1,CHI 21,0,40,J.P. Losman left guard for 3 yards (tackle by Alex Brown),4.250,4.370
4,1:20,1,10,CHI 18,0,40,J.P. Losman left end for 7 yards (tackle by Lance Briggs),4.370,5.010
4,1:13,2,3,CHI 11,0,40,"J.P. Losman pass incomplete short middle intended for Josh Reed. Penalty on Brian Urlacher: Roughing the Passer, 6 yards (no play)",5.010,6.060
4,1:10,,,,0,40,Timeout #1 by Buffalo Bills,0.000,6.060
4,1:10,1,5,CHI 5,6,40,"J.P. Losman pass complete short left to Lee Evans for 5 yards, touchdown",6.060,7.000
4,,,,CHI 2,7,40,Rian Lindell kicks extra point good,0.000,0.000
4,,,,BUF 30,,,"Rian Lindell kicks off 68 yards, returned by Rashied Davis for 11 yards (tackle by Coy Wire)",,
4,1:02,1,10,CHI 13,7,40,Brian Griese kneels for -1 yards,-0.320,-0.850
4,0:37,2,11,CHI 12,7,40,Brian Griese kneels for -1 yards,-0.850,-1.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
