Unnamed: 0,BUF,CHI
First Downs,10,23
Rush-Yds-TDs,18-58-0,38-156-2
Cmp-Att-Yd-TD-INT,14-27-115-1-3,19-31-211-2-0
Sacked-Yards,3-28,3-16
Net Pass Yards,87,195
Total Yards,145,351
Fumbles-Lost,3-2,1-1
Turnovers,5,1
Penalties-Yards,7-44,4-21
Third Down Conv.,2-11,7-14
Fourth Down Conv.,0-1,0-0
Time of Possession,22:29,37:31
