Quarter,Time,Down,ToGo,Location,JAX,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 64 yards, returned by Tim Dwight for 28 yards (tackle by Cortez Hankton)",0.000,1.200
1,14:55,1,10,SDG 34,0,0,Drew Brees pass incomplete intended for Kassim Osgood,1.200,0.660
1,14:49,2,10,SDG 34,0,0,Drew Brees pass complete to Antonio Gates for 5 yards (tackle by Akin Ayodele),0.660,0.630
1,14:05,3,5,SDG 39,0,0,Drew Brees pass complete to LaDainian Tomlinson for 15 yards (tackle by Akin Ayodele),0.630,2.520
1,13:40,1,10,JAX 46,0,0,Drew Brees pass complete to LaDainian Tomlinson for 3 yards (tackle by Juran Bolden),2.520,2.380
1,12:58,2,7,JAX 43,0,0,Drew Brees pass complete to Reche Caldwell for 9 yards (tackle by Rashean Mathis),2.380,3.310
1,12:29,1,10,JAX 34,0,0,Drew Brees pass incomplete intended for Kassim Osgood,3.310,2.770
1,12:24,2,10,JAX 34,0,0,LaDainian Tomlinson left tackle for 7 yards (tackle by Rashean Mathis),2.770,3.010
1,11:42,3,3,JAX 27,0,0,Drew Brees pass complete to Antonio Gates for 26 yards (tackle by Deon Grant),3.010,6.970
,,,,,,,"SDG challenged the ruling, and the original play was overturned.",,
1,11:22,1,1,JAX 1,0,0,LaDainian Tomlinson up the middle for -3 yards (tackle by Brandon Green),6.970,5.340
1,10:43,,,,0,0,Timeout #1 by San Diego Chargers,0.000,5.340
1,10:43,2,4,JAX 4,0,0,Drew Brees pass complete to Lorenzo Neal for 3 yards (tackle by Akin Ayodele),5.340,5.170
1,10:17,3,1,JAX 1,0,6,"Drew Brees pass complete to Antonio Gates for 1 yard, touchdown",5.170,7.000
1,,,,JAX 2,0,7,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,7,"Nate Kaeding kicks off 62 yards, returned by Jermaine Lewis for 13 yards (tackle by Kassim Osgood)",0.000,0.340
1,10:10,1,10,JAX 21,0,7,Fred Taylor up the middle for 5 yards (tackle by Igor Olshansky and Donnie Edwards),0.340,0.480
1,9:36,2,5,JAX 26,0,7,Byron Leftwich sacked by Steve Foley for -4 yards,0.480,-0.760
1,9:04,3,9,JAX 22,0,7,Byron Leftwich pass complete to Todd Yoder for 7 yards (tackle by Drayton Florence),-0.760,-1.440
1,8:24,4,2,JAX 29,0,7,"Chris Hanson punts 47 yards, fair catch by Tim Dwight",-1.440,-0.540
1,8:16,1,10,SDG 24,0,7,LaDainian Tomlinson right tackle for 3 yards (tackle by Mike Peterson),0.540,0.400
1,7:38,2,7,SDG 27,0,7,Drew Brees pass incomplete intended for Antonio Gates (defended by Greg Favors),0.400,-0.300
1,7:34,3,7,SDG 27,0,7,Drew Brees pass complete to LaDainian Tomlinson for 54 yards (tackle by Deon Grant),-0.300,4.310
1,7:00,1,10,JAX 19,0,7,Reche Caldwell left end for 4 yards (tackle by Akin Ayodele),4.310,4.350
1,6:20,2,6,JAX 15,0,7,Jesse Chatman up the middle for 11 yards (tackle by Daryl Smith and Deon Grant),4.350,6.280
1,5:33,1,4,JAX 4,0,7,Drew Brees pass complete to Antonio Gates for 2 yards (tackle by Donovin Darius),6.280,5.720
1,4:51,2,2,JAX 2,0,7,LaDainian Tomlinson right guard for 1 yard (tackle by Marcus Stroud and Mike Peterson),5.720,5.170
1,4:06,3,1,JAX 1,0,13,"LaDainian Tomlinson up the middle for 1 yard, touchdown",5.170,7.000
1,,,,JAX 2,0,14,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,14,"Nate Kaeding kicks off 56 yards, returned by Jermaine Lewis for 19 yards (tackle by Zeke Moreno)",0.000,1.140
1,3:57,1,10,JAX 33,0,14,Fred Taylor right tackle for 4 yards (tackle by Randall Godfrey),1.140,1.130
1,3:19,2,6,JAX 37,0,14,Byron Leftwich pass complete to Greg Jones for 1 yard (tackle by Steve Foley),1.130,0.560
1,2:33,3,5,JAX 38,0,14,Byron Leftwich pass complete to Jimmy Smith for 7 yards (tackle by Sammy Davis),0.560,1.930
1,1:57,1,10,JAX 45,0,14,Byron Leftwich pass complete to Troy Edwards for 11 yards (tackle by Quentin Jammer),1.930,2.650
1,1:33,1,10,SDG 44,0,14,"Byron Leftwich pass complete to Reggie Williams for 6 yards (tackle by Steve Foley). Reggie Williams fumbles (forced by Steve Foley), recovered by Steve Foley at SDG-37",2.650,-1.400
1,1:23,1,10,SDG 37,0,14,LaDainian Tomlinson left tackle for 3 yards (tackle by Marcus Stroud),1.400,1.260
1,0:46,2,7,SDG 40,0,14,LaDainian Tomlinson left guard for 1 yard (tackle by Mike Peterson and Greg Favors),1.260,0.700
1,0:09,3,6,SDG 41,0,14,Drew Brees pass complete to LaDainian Tomlinson for 6 yards (tackle by Dewayne Washington),0.700,2.060
Quarter,Time,Down,ToGo,Location,JAX,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 47,0,14,Drew Brees pass incomplete intended for Reche Caldwell,2.060,1.520
2,14:57,2,10,SDG 47,0,14,LaDainian Tomlinson up the middle for 1 yard (tackle by Mike Peterson and Rob Meier),1.520,0.960
2,14:15,3,9,SDG 48,0,14,Drew Brees pass incomplete intended for Antonio Gates,0.960,-0.190
2,14:11,4,9,SDG 48,0,14,"Mike Scifres punts 43 yards, fair catch by Jermaine Lewis",-0.190,0.380
2,14:02,1,10,JAX 9,0,14,Fred Taylor left guard for 4 yards (tackle by Randall Godfrey and Jerry Wilson),-0.380,-0.480
2,13:22,2,6,JAX 13,0,14,Byron Leftwich pass incomplete intended for Todd Yoder,-0.480,-0.950
2,13:19,3,6,JAX 13,0,14,Byron Leftwich pass complete to Jimmy Smith for 21 yards (tackle by Jerry Wilson). Penalty on Sammy Davis: Illegal Contact (Declined),-0.950,1.200
2,12:53,1,10,JAX 34,0,14,Fred Taylor up the middle for 2 yards (tackle by Randall Godfrey),1.200,0.930
2,12:12,2,8,JAX 36,0,14,Byron Leftwich pass incomplete intended for Reggie Williams,0.930,0.230
2,12:06,3,8,JAX 36,0,14,"Byron Leftwich pass complete to Troy Edwards for 9 yards (tackle by Sammy Davis). Penalty on Troy Edwards: Offensive Pass Interference (Offsetting), Penalty on Quentin Jammer: Face Mask (15 Yards) (Offsetting) (no play)",0.230,0.230
2,11:39,3,8,JAX 36,0,14,Byron Leftwich pass incomplete intended for Ernest Wilford is intercepted by Drayton Florence at SDG-39 and returned for 40 yards (tackle by Byron Leftwich),0.230,-4.170
2,11:26,1,10,JAX 21,0,14,Reche Caldwell left end for 9 yards (tackle by Dewayne Washington),4.170,5.160
2,11:03,2,1,JAX 12,0,14,LaDainian Tomlinson up the middle for 3 yards (tackle by Mike Peterson and Donovin Darius),5.160,5.140
2,10:25,1,9,JAX 9,0,14,LaDainian Tomlinson left end for -2 yards (tackle by Dewayne Washington),5.140,4.020
2,10:00,2,11,JAX 11,0,14,LaDainian Tomlinson right end for no gain (tackle by Akin Ayodele),4.020,3.120
2,9:29,3,11,JAX 11,0,20,"Drew Brees pass complete to Antonio Gates for 11 yards, touchdown",3.120,7.000
2,,,,JAX 2,0,21,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,0,21,"Nate Kaeding kicks off 66 yards, returned by Jermaine Lewis for 19 yards (tackle by Drayton Florence)",0.000,0.480
2,9:17,1,10,JAX 23,0,21,Fred Taylor right tackle for 2 yards (tackle by Jason Fisk and Donnie Edwards),0.480,0.200
2,8:36,2,8,JAX 25,0,21,Byron Leftwich pass incomplete intended for Jimmy Smith,0.200,-0.490
2,8:29,3,8,JAX 25,0,21,Byron Leftwich pass complete to Fred Taylor for 14 yards (tackle by Jamar Fletcher),-0.490,1.530
2,7:57,1,10,JAX 39,0,21,Byron Leftwich sacked by Jamal Williams for -1 yards,1.530,0.850
2,7:21,2,11,JAX 38,0,21,Byron Leftwich pass complete to Jimmy Smith for 6 yards (tackle by Jamar Fletcher),0.850,0.960
2,6:41,3,5,JAX 44,0,21,Byron Leftwich pass complete to LaBrandon Toefield for 6 yards (tackle by Terrence Kiel),0.960,2.260
