Unnamed: 0,IND,HOU
First Downs,24,25
Rush-Yds-TDs,23-50-1,25-89-2
Cmp-Att-Yd-TD-INT,27-41-399-2-1,27-38-267-1-0
Sacked-Yards,2-13,5-41
Net Pass Yards,386,226
Total Yards,436,315
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,9-59,7-35
Third Down Conv.,4-12,5-15
Fourth Down Conv.,0-0,2-2
Time of Possession,28:03,31:57
