Quarter,Time,Down,ToGo,Location,NYJ,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"Jay Feely kicks off 62 yards, returned by Bernard Scott for 56 yards (tackle by Wallace Wright)",0.000,3.180
1,14:51,1,10,NYJ 36,0,0,Cedric Benson right guard for 6 yards (tackle by Shaun Ellis),3.180,3.450
1,14:13,2,4,NYJ 30,0,0,Carson Palmer pass incomplete short right intended for Laveranues Coles,3.450,2.740
1,14:08,3,4,NYJ 30,0,0,"Carson Palmer pass complete short middle to Laveranues Coles for 4 yards (tackle by Bryan Thomas). Laveranues Coles fumbles (forced by Bryan Thomas), recovered by Shaun Ellis at NYJ-26 (tackle by Dennis Roland)",2.740,-0.670
,,,,,,,"CIN challenged the fumble ruling, and the play was upheld.",,
1,14:01,1,10,NYJ 26,0,0,Thomas Jones right tackle for no gain (tackle by Jonathan Fanene),0.670,0.130
1,13:23,2,10,NYJ 26,0,0,Mark Sanchez pass complete short middle to Dustin Keller for 11 yards (tackle by Keith Rivers),0.130,1.400
1,12:43,1,10,NYJ 37,0,0,Thomas Jones right tackle for 3 yards (tackle by Dhani Jones),1.400,1.260
1,12:06,2,7,NYJ 40,0,0,Thomas Jones left guard for -1 yards (tackle by Domata Peko),1.260,0.430
1,11:18,3,8,NYJ 39,0,0,"Penalty on Brad Smith: Delay of Game, 5 yards (no play)",0.430,-0.230
1,10:53,3,13,NYJ 34,0,0,Mark Sanchez pass complete short right to Brad Smith for 1 yard (tackle by Dhani Jones and Morgan Trent),-0.230,-1.040
1,10:22,4,12,NYJ 35,0,0,"Jay Feely punts 33 yards, returned by Rico Murray for 23 yards (tackle by Eric Smith)",-1.040,-2.590
1,10:10,1,10,NYJ 45,0,0,Cedric Benson left tackle for 19 yards (tackle by Darrelle Revis and Jim Leonhard),2.590,3.840
1,9:31,1,10,NYJ 26,0,0,Carson Palmer pass incomplete short left intended for Chad Johnson,3.840,3.300
1,9:27,2,10,NYJ 26,0,0,Cedric Benson right tackle for 6 yards (tackle by Lito Sheppard),3.300,3.400
1,8:45,3,4,NYJ 20,0,0,Carson Palmer pass complete short right to Laveranues Coles for 5 yards (tackle by Calvin Pace),3.400,4.580
1,7:59,1,10,NYJ 15,0,0,Carson Palmer pass incomplete short middle intended for Andre Caldwell,4.580,3.950
,,,,,,,"NYJ challenged the pass completion ruling, and the original play was overturned.",,
1,7:55,2,10,NYJ 15,0,0,Cedric Benson right tackle for 4 yards (tackle by Shaun Ellis),3.950,3.780
1,7:13,3,6,NYJ 11,0,6,"Carson Palmer pass complete short left to Laveranues Coles for 11 yards, touchdown",3.780,7.000
1,,,,NYJ 2,0,7,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,0,7,"Shayne Graham kicks off 61 yards, returned by Brad Smith for 23 yards (tackle by Brian Leonard)",0.000,1.070
1,7:02,1,10,NYJ 32,0,7,Mark Sanchez pass complete short right to Jerricho Cotchery for 9 yards (tackle by Johnathan Joseph),1.070,1.740
1,6:25,2,1,NYJ 41,0,7,Shonn Greene left guard for 12 yards (tackle by Nedu Ndukwe),1.740,2.460
1,5:39,1,10,CIN 47,0,7,Mark Sanchez pass complete short left to Braylon Edwards for -1 yards (tackle by Leon Hall),2.460,1.780
1,4:57,2,11,CIN 48,0,7,Shonn Greene right end for no gain (tackle by Chris Crocker and Nedu Ndukwe),1.780,1.090
1,4:07,3,11,CIN 48,0,7,Mark Sanchez pass incomplete deep middle intended for Dustin Keller (defended by Brandon Johnson),1.090,0.070
1,4:02,4,11,CIN 48,0,7,"Jay Feely punts 37 yards, fair catch by Quan Cosby",0.070,0.370
1,3:54,1,10,CIN 11,0,7,Cedric Benson right end for 6 yards (tackle by Bryan Thomas),-0.370,-0.160
1,3:09,2,4,CIN 17,0,7,Carson Palmer pass complete short left to Brian Leonard for 1 yard (tackle by Lito Sheppard),-0.160,-0.600
1,2:28,3,3,CIN 18,0,7,Carson Palmer pass incomplete short middle intended for Andre Caldwell (defended by Dwight Lowery),-0.600,-2.240
1,2:23,4,3,CIN 18,0,7,"Kevin Huber punts 39 yards, fair catch by Jerricho Cotchery",-2.240,-1.800
1,2:15,1,10,NYJ 43,0,7,"Penalty on Alan Faneca: False Start, 5 yards (no play)",1.800,1.470
1,2:15,1,15,NYJ 38,0,7,Shonn Greene right guard for 3 yards (tackle by Domata Peko and Tank Johnson),1.470,0.980
1,1:38,2,12,NYJ 41,0,7,Shonn Greene right guard for 3 yards (tackle by Jonathan Fanene),0.980,0.690
1,0:57,3,9,NYJ 44,0,7,Mark Sanchez pass complete short right to Jerricho Cotchery for 15 yards,0.690,2.850
,,,,,,,"CIN challenged the pass completion ruling, and the play was upheld.",,
1,0:47,1,10,CIN 41,0,7,Mark Sanchez pass incomplete deep left intended for Braylon Edwards,2.850,2.310
1,0:40,2,10,CIN 41,0,7,Shonn Greene left end for 5 yards (tackle by Brandon Johnson and Nedu Ndukwe),2.310,2.280
Quarter,Time,Down,ToGo,Location,NYJ,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,CIN 36,0,7,Mark Sanchez pass incomplete short right intended for Braylon Edwards (defended by Brandon Johnson),2.280,0.880
2,14:57,4,5,CIN 36,0,7,Jay Feely punts 30 yards,0.880,0.380
2,14:49,1,10,CIN 6,0,7,Cedric Benson right guard for 5 yards (tackle by David Harris and Shaun Ellis),-0.380,-0.420
2,14:10,2,5,CIN 11,0,7,Cedric Benson right end for 3 yards (tackle by Howard Green and Bart Scott),-0.420,-0.480
2,13:26,3,2,CIN 14,0,7,Cedric Benson middle for 1 yard (tackle by Bryan Thomas),-0.480,-2.440
2,12:54,4,1,CIN 15,0,7,"Kevin Huber punts 43 yards, returned by Jerricho Cotchery for 11 yards (tackle by Dan Skuta)",-2.440,-2.460
2,12:41,1,10,CIN 47,0,7,Thomas Jones left tackle for 8 yards (tackle by Robert Geathers),2.460,2.990
2,12:00,2,2,CIN 39,6,7,"Shonn Greene left end for 39 yards, touchdown",2.990,7.000
2,,,,CIN 2,7,7,Jay Feely kicks extra point good,0.000,0.000
2,,,,NYJ 30,7,7,"Jay Feely kicks off 59 yards, muffed catch by Bernard Scott, recovered by Bernard Scott at CIN-11, and returned for 18 yards",0.000,0.870
2,11:45,1,10,CIN 29,7,7,Carson Palmer pass incomplete short middle intended for Laveranues Coles,0.870,0.330
2,11:41,2,10,CIN 29,7,7,"Carson Palmer pass incomplete deep left intended for Andre Caldwell. Penalty on Darrelle Revis: Illegal Contact, 5 yards (no play)",0.330,1.200
