Unnamed: 0,PIT,MIA
First Downs,15,15
Rush-Yds-TDs,27-58-0,21-64-0
Cmp-Att-Yd-TD-INT,19-27-302-2-0,23-36-257-1-1
Sacked-Yards,3-12,1-8
Net Pass Yards,290,249
Total Yards,348,313
Fumbles-Lost,4-2,1-1
Turnovers,2,2
Penalties-Yards,5-34,3-35
Third Down Conv.,6-15,3-12
Fourth Down Conv.,0-0,0-1
Time of Possession,30:49,29:11
