Quarter,Time,Down,ToGo,Location,PIT,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Dan Carpenter kicks off 65 yards, returned by Emmanuel Sanders for 17 yards (tackle by Lex Hilliard). Emmanuel Sanders fumbles (forced by Lex Hilliard), recovered by Reshad Jones at PIT-22",0.000,-4.110
1,14:53,1,10,PIT 22,0,0,Ronnie Brown right tackle for 1 yard (tackle by LaMarr Woodley),4.110,3.700
1,14:53,2,9,PIT 21,0,0,Chad Henne pass incomplete,3.700,3.010
1,14:07,3,9,PIT 21,0,0,Chad Henne pass incomplete short right intended for Ronnie Brown,3.010,2.060
1,14:07,4,9,PIT 21,0,3,Dan Carpenter 39 yard field goal good,2.060,3.000
1,,,,MIA 30,0,3,"Dan Carpenter kicks off 76 yards, touchback",0.000,0.280
1,14:02,1,10,PIT 20,0,3,Rashard Mendenhall left tackle for 1 yard (tackle by Paul Soliai),0.280,-0.130
1,13:26,2,9,PIT 21,0,3,Ben Roethlisberger pass incomplete deep left intended for Mike Wallace,-0.130,-0.820
1,13:18,3,9,PIT 21,0,3,"Ben Roethlisberger sacked by Yeremiah Bell and Cameron Wake for -8 yards. Ben Roethlisberger fumbles (forced by Yeremiah Bell), recovered by Koa Misi at PIT-13",-0.820,-4.710
1,13:08,1,10,PIT 13,0,3,Ricky Williams left tackle for no gain (tackle by Bryant McFadden and James Farrior),4.710,4.050
1,12:33,2,10,PIT 13,0,3,Ricky Williams right tackle for 8 yards (tackle by Troy Polamalu),4.050,4.780
1,11:57,3,2,PIT 5,0,3,Ricky Williams right tackle for no gain (tackle by LaMarr Woodley),4.780,3.030
1,11:42,4,2,PIT 5,0,6,Dan Carpenter 23 yard field goal good,3.030,3.000
1,,,,MIA 30,0,6,"Dan Carpenter kicks off 66 yards, returned by Emmanuel Sanders for 15 yards (tackle by Austin Spitler)",0.000,0.150
1,11:09,1,10,PIT 19,0,6,Ben Roethlisberger pass complete short middle to Heath Miller for 14 yards (tackle by Chris Clemons),0.150,1.140
1,10:34,1,10,PIT 33,0,6,Rashard Mendenhall left tackle for 4 yards (tackle by Karlos Dansby),1.140,1.130
1,9:59,2,6,PIT 37,0,6,Rashard Mendenhall middle for 4 yards (tackle by Randy Starks and Karlos Dansby),1.130,0.960
1,9:18,3,2,PIT 41,0,6,Isaac Redman middle for 1 yard (tackle by Yeremiah Bell),0.960,-0.590
1,8:52,4,1,PIT 42,0,6,"Daniel Sepulveda punts 42 yards, fair catch by Davone Bess",-0.590,0.140
1,8:41,1,10,MIA 16,0,6,Chad Henne pass incomplete short right intended for Anthony Fasano (defended by Lawrence Timmons),-0.140,-0.660
1,8:34,2,10,MIA 16,0,6,Ronnie Brown middle for -2 yards (tackle by Aaron Smith),-0.660,-1.610
1,7:57,3,12,MIA 14,0,6,Chad Henne pass incomplete short right intended for Davone Bess,-1.610,-2.470
1,7:48,4,12,MIA 14,0,6,"Brandon Fields punts 66 yards, returned by Antwaan Randle El for -1 yards (tackle by Roberto Wallace). Penalty on Matt Spaeth: Offensive Holding, 9 yards",-2.470,0.380
1,7:34,1,10,PIT 10,0,6,Ben Roethlisberger pass complete deep right to Hines Ward for 3 yards (tackle by Yeremiah Bell),-0.380,-0.560
1,6:53,2,7,PIT 13,0,6,"Mewelde Moore left tackle for 6 yards (tackle by Yeremiah Bell). Penalty on Doug Legursky: Offensive Holding, 6 yards (no play)",-0.560,-1.000
1,6:31,2,13,PIT 7,0,6,Ben Roethlisberger pass complete short left to Mewelde Moore for 6 yards (tackle by Sean Smith),-1.000,-1.070
1,5:49,3,7,PIT 13,0,6,Ben Roethlisberger pass complete short left to Mewelde Moore for 7 yards (tackle by Karlos Dansby),-1.070,0.280
1,5:18,1,10,PIT 20,0,6,Mewelde Moore right tackle for 3 yards (tackle by Benny Sapp),0.280,0.140
1,4:36,2,7,PIT 23,0,6,Mewelde Moore left guard for 16 yards (tackle by Chris Clemons),0.140,1.530
1,3:53,1,10,PIT 39,0,6,Ben Roethlisberger pass complete short right to Antwaan Randle El for 13 yards (tackle by Chris Clemons),1.530,2.390
1,3:22,1,10,MIA 48,0,6,Rashard Mendenhall right tackle for 4 yards (tackle by Karlos Dansby),2.390,2.390
1,2:43,2,6,MIA 44,0,6,"Ben Roethlisberger pass complete short left to Heath Miller for 9 yards (tackle by Tyrone Culver). Penalty on Doug Legursky: Offensive Holding, 10 yards (no play)",2.390,1.040
1,2:16,2,16,PIT 46,0,6,Ben Roethlisberger pass incomplete short right intended for Hines Ward,1.040,0.370
1,2:10,3,16,PIT 46,0,6,Ben Roethlisberger pass complete deep right to Hines Ward for 43 yards (tackle by Sean Smith and Karlos Dansby),0.370,4.840
1,1:24,1,10,MIA 11,0,6,Rashard Mendenhall right guard for 4 yards (tackle by Cameron Wake),4.840,4.890
1,0:46,2,6,MIA 7,0,6,Ben Roethlisberger pass complete short left to Mike Wallace for no gain,4.890,3.980
Quarter,Time,Down,ToGo,Location,PIT,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,MIA 7,0,6,Ben Roethlisberger pass complete short middle to Heath Miller for 3 yards (tackle by Chris Clemons),3.980,3.030
2,14:19,4,3,MIA 4,3,6,Jeff Reed 22 yard field goal good,3.030,3.000
2,,,,PIT 30,3,6,"Jeff Reed kicks off 61 yards, returned by Nolan Carroll for 12 yards (tackle by Emmanuel Sanders)",0.000,0.340
2,14:09,1,10,MIA 21,3,6,Chad Henne pass complete short middle to Brandon Marshall for 15 yards (tackle by Ike Taylor),0.340,1.330
2,13:33,1,10,MIA 36,3,6,Ricky Williams middle for 2 yards (tackle by James Farrior),1.330,1.060
2,13:02,2,8,MIA 38,3,6,"Chad Henne pass complete short right to Brian Hartline for 2 yards (tackle by Bryant McFadden and LaMarr Woodley). Brian Hartline fumbles (forced by Bryant McFadden), recovered by James Farrior at MIA-42 and returned for 8 yards (tackle by Brian Hartline)",1.060,-3.310
2,12:55,1,10,MIA 34,3,6,Rashard Mendenhall middle for 4 yards (tackle by Cameron Wake),3.310,3.310
2,12:14,2,6,MIA 30,3,6,Rashard Mendenhall left tackle for 9 yards (tackle by Channing Crowder),3.310,4.170
2,11:27,1,10,MIA 21,3,6,Ben Roethlisberger pass incomplete deep middle intended for Matt Spaeth,4.170,3.630
2,11:25,2,10,MIA 21,3,6,Ben Roethlisberger pass incomplete deep right intended for Mike Wallace,3.630,2.940
2,11:20,3,10,MIA 21,9,6,"Ben Roethlisberger pass complete short right to Hines Ward for 21 yards, touchdown",2.940,7.000
2,,,,MIA 2,10,6,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,10,6,"Jeff Reed kicks off 65 yards, returned by Nolan Carroll for 22 yards (tackle by Ike Taylor)",0.000,0.740
2,11:04,1,10,MIA 27,10,6,Chad Henne pass complete short left to Brian Hartline for 8 yards (tackle by Bryant McFadden),0.740,1.280
2,10:25,2,2,MIA 35,10,6,Chad Henne pass complete short right to Davone Bess for 15 yards (tackle by Ryan Clark),1.280,2.260
2,10:00,1,10,PIT 50,10,6,Ronnie Brown right guard for no gain (tackle by Lawrence Timmons and James Harrison),2.260,1.710
2,9:22,2,10,PIT 50,10,6,Chad Henne pass complete deep middle to Brandon Marshall for 19 yards (tackle by Troy Polamalu),1.710,3.510
2,8:42,1,10,PIT 31,10,6,Chad Henne pass complete short right to Brandon Marshall for 9 yards (tackle by Ike Taylor),3.510,4.180
2,8:09,2,1,PIT 22,10,6,Ronnie Brown left guard for 2 yards (tackle by James Harrison),4.180,4.240
2,7:29,,,,10,6,Timeout #1 by Miami Dolphins,0.000,4.240
2,7:29,1,10,PIT 20,10,6,Chad Henne pass complete short left to Ronnie Brown for 15 yards (tackle by James Farrior),4.240,6.060
2,6:52,1,5,PIT 5,10,6,Ronnie Brown middle for 1 yard (tackle by Ike Taylor),6.060,5.340
2,6:17,2,4,PIT 4,10,6,Chad Henne pass incomplete short right intended for Brandon Marshall,5.340,4.490
2,6:12,3,4,PIT 4,10,6,Chad Henne pass incomplete short left intended for Brandon Marshall,4.490,3.030
2,6:07,4,4,PIT 4,10,9,Dan Carpenter 22 yard field goal good,3.030,3.000
2,,,,MIA 30,10,9,"Dan Carpenter kicks off 60 yards, returned by Emmanuel Sanders for 37 yards (tackle by Lex Hilliard)",0.000,2.060
2,5:47,1,10,PIT 47,16,9,"Ben Roethlisberger pass complete deep left to Mike Wallace for 53 yards, touchdown",2.060,7.000
2,,,,MIA 2,17,9,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,17,9,"Jeff Reed kicks off 79 yards, touchback",0.000,0.280
2,5:47,1,10,MIA 20,17,9,Chad Henne pass incomplete short left intended for Ricky Williams,0.280,-0.270
2,5:41,2,10,MIA 20,17,9,Chad Henne pass incomplete short right intended for Lousaka Polite,-0.270,-0.960
2,5:34,3,10,MIA 20,17,9,Chad Henne pass complete short left to Brian Hartline for 17 yards (tackle by Bryant McFadden),-0.960,1.400
2,4:51,1,10,MIA 37,17,9,Ricky Williams right tackle for 6 yards (tackle by Troy Polamalu),1.400,1.670
2,4:16,2,4,MIA 43,17,9,Chad Henne pass complete short left to Brian Hartline for 6 yards (tackle by Bryant McFadden),1.670,2.190
2,3:40,1,10,MIA 49,17,9,Ricky Williams left guard for 4 yards (tackle by Nick Eason),2.190,2.190
2,3:05,2,6,PIT 47,17,9,Chad Henne pass complete short middle to Davone Bess for 15 yards (tackle by Lawrence Timmons),2.190,3.450
2,2:24,1,10,PIT 32,17,9,Chad Henne pass complete short left to Roberto Wallace for 6 yards (tackle by Troy Polamalu),3.450,3.710
2,2:00,2,4,PIT 26,17,15,"Chad Henne pass complete short right to Davone Bess for 26 yards, touchdown",3.710,7.000
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
2,,,,PIT 2,17,16,Dan Carpenter kicks extra point good,0.000,0.000
2,,,,MIA 30,17,16,"Dan Carpenter kicks off 57 yards, returned by Emmanuel Sanders for 27 yards (tackle by Roberto Wallace)",0.000,1.600
2,1:43,1,10,PIT 40,17,16,Ben Roethlisberger pass complete deep left to Hines Ward for 26 yards (tackle by Jason Allen),1.600,3.310
2,1:12,1,10,MIA 34,17,16,Ben Roethlisberger pass complete short left to Mewelde Moore for 6 yards (tackle by Jason Allen),3.310,3.580
2,1:03,,,,17,16,Timeout #1 by Pittsburgh Steelers,0.000,3.580
2,1:03,2,4,MIA 28,17,16,Mewelde Moore right tackle for -8 yards (tackle by Karlos Dansby),3.580,1.820
2,0:19,3,12,MIA 36,17,16,Ben Roethlisberger sacked by Tony McDaniel for -3 yards,1.820,0.660
Quarter,Time,Down,ToGo,Location,PIT,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 30,17,16,"Jeff Reed kicks off 56 yards, returned by Patrick Cobbs for 46 yards (tackle by Ike Taylor). Penalty on Tim Dobbins: Offensive Holding, 10 yards, Penalty on Roberto Wallace: Illegal Block Above the (Declined)",0.000,-0.140
3,14:48,1,10,MIA 16,17,16,Ronnie Brown left guard for 6 yards (tackle by Aaron Smith),-0.140,0.280
3,14:15,2,4,MIA 22,17,16,Chad Henne pass complete short left to Brandon Marshall for 3 yards (tackle by Ike Taylor),0.280,-0.200
3,13:34,3,1,MIA 25,17,16,Lousaka Polite left guard for 2 yards (tackle by Aaron Smith),-0.200,0.740
3,12:53,1,10,MIA 27,17,16,Chad Henne sacked by Larry Foote for -8 yards,0.740,-0.940
3,12:42,2,18,MIA 19,17,16,Chad Henne pass complete short right to Davone Bess for 4 yards (tackle by Troy Polamalu),-0.940,-1.020
3,11:53,3,14,MIA 23,17,16,Chad Henne pass complete short right to Davone Bess for 4 yards,-1.020,-1.570
3,11:08,4,10,MIA 27,17,16,"Brandon Fields punts 43 yards, returned by Antwaan Randle El for 3 yards (tackle by Roberto Wallace)",-1.570,-1.140
3,11:04,1,10,PIT 33,17,16,Rashard Mendenhall left tackle for 2 yards (tackle by Sean Smith),1.140,0.860
3,10:28,2,8,PIT 35,17,16,Rashard Mendenhall left tackle for -3 yards (tackle by Cameron Wake),0.860,-0.230
3,9:47,3,11,PIT 32,17,16,Ben Roethlisberger pass complete short middle to Emmanuel Sanders for 18 yards (tackle by Jason Allen),-0.230,2.260
3,9:00,1,10,MIA 50,17,16,Ben Roethlisberger pass complete deep left to Hines Ward for 24 yards (tackle by Sean Smith and Chris Clemons),2.260,3.840
3,8:12,1,10,MIA 26,17,16,Rashard Mendenhall right tackle for -2 yards (tackle by Paul Soliai),3.840,3.030
3,7:29,2,12,MIA 28,17,16,Ben Roethlisberger pass complete short left to Hines Ward for 12 yards (tackle by Benny Sapp),3.030,4.510
3,6:43,1,10,MIA 16,17,16,Rashard Mendenhall right guard for -2 yards (tackle by Karlos Dansby),4.510,3.640
3,5:56,2,12,MIA 18,17,16,Ben Roethlisberger pass incomplete deep left intended for Hines Ward,3.640,2.940
3,5:50,3,12,MIA 18,17,16,"Ben Roethlisberger pass incomplete deep left intended for Hines Ward. Penalty on Ben Roethlisberger: Illegal Forward Pass, 5 yards",2.940,2.060
3,5:35,4,15,MIA 21,20,16,Jeff Reed 39 yard field goal good,2.060,3.000
3,,,,PIT 30,20,16,"Jeff Reed kicks off 59 yards, returned by Patrick Cobbs for 18 yards (tackle by Will Allen)",0.000,0.870
3,5:27,1,10,MIA 29,20,16,Chad Henne pass complete short right to Brandon Marshall for 11 yards (tackle by Bryant McFadden),0.870,1.600
3,4:53,1,10,MIA 40,20,16,"Chad Henne pass complete short right to Ricky Williams for no gain. Penalty on Jake Long: Offensive Holding, 10 yards (no play)",1.600,0.940
3,4:27,1,20,MIA 30,20,16,Ricky Williams middle for 5 yards (tackle by William Gay),0.940,0.380
3,4:08,2,15,MIA 35,20,16,Ricky Williams middle for 11 yards (tackle by William Gay),0.380,1.160
3,3:13,3,4,MIA 46,20,16,Chad Henne pass complete short left to Anthony Fasano for 10 yards (tackle by James Harrison),1.160,2.650
3,2:35,1,10,PIT 44,20,16,Chad Henne pass complete short left to Anthony Fasano for 17 yards (tackle by Ryan Clark),2.650,3.780
3,2:05,1,10,PIT 27,20,16,Chad Henne pass incomplete short left intended for Ricky Williams,3.780,3.230
3,1:58,2,10,PIT 27,20,16,Ricky Williams left tackle for 8 yards (tackle by Evander Hood),3.230,3.640
3,1:18,3,2,PIT 19,20,16,Chad Henne pass incomplete short right intended for Brandon Marshall (defended by Lawrence Timmons),3.640,2.310
3,1:13,4,2,PIT 19,20,19,Dan Carpenter 37 yard field goal good,2.310,3.000
3,,,,MIA 30,20,19,"Dan Carpenter kicks off 79 yards, touchback",0.000,0.280
3,1:08,1,10,PIT 20,20,19,Rashard Mendenhall middle for no gain (tackle by Ikaika Alama-Francis),0.280,-0.270
3,0:27,2,10,PIT 20,20,19,Ben Roethlisberger pass complete short right to Rashard Mendenhall for 6 yards (tackle by Channing Crowder),-0.270,-0.160
Quarter,Time,Down,ToGo,Location,PIT,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,PIT 26,20,19,Ben Roethlisberger pass incomplete short right intended for Antwaan Randle El. Penalty on Jonathan Scott: Offensive Holding (Declined),-0.160,-1.630
4,14:52,4,4,PIT 26,20,19,"Daniel Sepulveda punts 49 yards, returned by Davone Bess for 16 yards (tackle by Ryan Mundy)",-1.630,-1.660
4,14:39,1,10,MIA 41,20,19,Chad Henne pass complete short left to Ronnie Brown for 5 yards (tackle by Larry Foote),1.660,1.800
4,14:06,2,5,MIA 46,20,19,Ronnie Brown left guard for 4 yards (tackle by James Farrior),1.800,1.620
4,13:25,3,1,PIT 50,20,19,Ronnie Brown right tackle for no gain (tackle by Larry Foote),1.620,-0.060
4,12:38,4,1,PIT 50,20,19,"Brandon Fields punts 36 yards, fair catch by Antwaan Randle El",-0.060,0.280
4,12:30,1,10,PIT 14,20,19,Ben Roethlisberger pass incomplete deep right intended for Hines Ward,-0.280,-0.750
4,12:23,2,10,PIT 14,20,19,Rashard Mendenhall right guard for 5 yards (tackle by Kendall Langford),-0.750,-0.800
4,11:54,3,5,PIT 19,20,19,"Penalty on Max Starks: False Start, 4 yards (no play)",-0.800,-1.280
4,11:17,3,9,PIT 15,20,19,Ben Roethlisberger pass complete short middle to Heath Miller for 16 yards (tackle by Koa Misi),-1.280,1.000
4,10:38,1,10,PIT 31,20,19,Rashard Mendenhall right tackle for 4 yards (tackle by Karlos Dansby and Ikaika Alama-Francis),1.000,1.000
4,10:05,2,6,PIT 35,20,19,Ben Roethlisberger pass incomplete short right intended for Antwaan Randle El (defended by Vontae Davis),1.000,0.300
4,9:48,3,6,PIT 35,20,19,"Ben Roethlisberger sacked by Chris Clemons and Koa Misi for -5 yards. Ben Roethlisberger fumbles (forced by Chris Clemons), recovered by Maurkice Pouncey at PIT-31 and returned for 3 yards",0.300,-1.110
4,8:51,4,7,PIT 34,20,19,"Daniel Sepulveda punts 51 yards, returned by Davone Bess for 11 yards (tackle by Keenan Lewis)",-1.110,-0.670
4,8:44,1,10,MIA 26,20,19,Chad Henne pass complete deep left to Brian Hartline for 24 yards (tackle by Ryan Clark),0.670,2.260
4,8:05,1,10,PIT 50,20,19,Chad Henne pass incomplete short left intended for Brandon Marshall,2.260,1.710
4,8:01,2,10,PIT 50,20,19,Chad Henne pass complete short left to Anthony Fasano for 22 yards (tackle by Ryan Clark),1.710,3.710
4,7:20,1,10,PIT 28,20,19,Ricky Williams middle for 2 yards (tackle by Larry Foote),3.710,3.440
4,6:40,2,8,PIT 26,20,19,Ricky Williams right tackle for 2 yards (tackle by James Farrior),3.440,3.010
4,5:58,3,6,PIT 24,20,19,Chad Henne pass complete short right to Davone Bess for 2 yards (tackle by Lawrence Timmons),3.010,2.070
4,5:23,4,4,PIT 22,20,22,Dan Carpenter 40 yard field goal good,2.070,3.000
4,,,,MIA 30,20,22,"Dan Carpenter kicks off 66 yards, returned by Emmanuel Sanders for 48 yards (tackle by Lex Hilliard)",0.000,2.390
4,5:05,1,10,MIA 48,20,22,Rashard Mendenhall left guard for 3 yards (tackle by Channing Crowder),2.390,2.250
4,4:29,2,7,MIA 45,20,22,Ben Roethlisberger pass complete short right to Hines Ward for 2 yards (tackle by Benny Sapp),2.250,1.820
4,3:44,3,5,MIA 43,20,22,Ben Roethlisberger pass complete short right to Mewelde Moore for 29 yards (tackle by Chris Clemons),1.820,4.650
4,2:58,1,10,MIA 14,20,22,"Isaac Redman right end for 6 yards (tackle by Yeremiah Bell). Penalty on Tony McDaniel: Unnecessary Roughness, 4 yards",4.650,6.280
4,2:49,1,4,MIA 4,20,22,Mewelde Moore right end for no gain (tackle by Yeremiah Bell),6.280,5.340
4,2:43,,,,20,22,Timeout #1 by Miami Dolphins,0.000,5.340
4,2:43,2,4,MIA 4,20,22,Isaac Redman middle for 2 yards (tackle by Kendall Langford and Yeremiah Bell),5.340,4.950
4,2:37,,,,20,22,Timeout #2 by Miami Dolphins,0.000,4.950
4,2:37,3,2,MIA 2,20,22,Ben Roethlisberger middle for 1 yard (tackle by Chris Clemons). Ben Roethlisberger fumbles (forced by Chris Clemons),4.950,3.550
,,,,,,,"MIA challenged the runner broke the plane ruling, and the original play was overturned.",,
