Quarter,Time,Tm,Detail,WAS,DET
2.0,4:35,Redskins,Ola Kimrin 24 yard field goal,3,0
,0:03,Lions,Jason Hanson 40 yard field goal,3,3
3.0,10:25,Redskins,Laveranues Coles 15 yard pass from Clinton Portis (Ola Kimrin kick),10,3
,4:32,Redskins,Walt Harris 13 yard blocked punt return (Ola Kimrin kick),17,3
4.0,2:08,Lions,Cory Schlesinger 1 yard pass from Joey Harrington (Jason Hanson kick),17,10
