Quarter,Time,Down,ToGo,Location,ATL,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matt Bosher kicks off 64 yards, returned by Joe Lefeged for 19 yards (tackle by Kelvin Hayden)",0.000,0.280
1,14:53,1,10,IND 20,0,0,Delone Carter right end for 4 yards (tackle by William Moore),0.280,0.270
1,14:27,2,6,IND 24,0,0,"Delone Carter up the middle for 2 yards (tackle by Curtis Lofton). Delone Carter fumbles (forced by Curtis Lofton), recovered by Ray Edwards at IND-26 (tackle by Jeff Linkenbach)",0.270,-3.840
1,14:16,1,10,IND 26,0,0,Michael Turner up the middle for 8 yards (tackle by Antoine Bethea),3.840,4.450
1,13:39,2,2,IND 18,0,0,Michael Turner up the middle for 5 yards (tackle by David Caldwell),4.450,4.710
1,13:03,1,10,IND 13,0,0,Jacquizz Rodgers left end for 11 yards (tackle by Robert Mathis and Antoine Bethea),4.710,6.740
1,12:25,1,2,IND 2,0,0,Michael Turner up the middle for 1 yard (tackle by Pat Angerer),6.740,5.910
1,11:43,2,1,IND 1,6,0,"Michael Turner right guard for 1 yard, touchdown",5.910,7.000
1,,,,IND 2,7,0,Matt Bryant kicks extra point good,0.000,0.000
1,,,,ATL 35,7,0,"Matt Bosher kicks off 74 yards, touchback",0.000,0.280
1,11:38,1,10,IND 20,7,0,Donald Brown up the middle for 6 yards (tackle by Curtis Lofton and Stephen Nicholas),0.280,0.540
1,11:14,2,4,IND 26,7,0,Curtis Painter pass complete short left to Dallas Clark for 9 yards (tackle by Dunta Robinson and Stephen Nicholas),0.540,1.270
1,10:45,1,10,IND 35,7,0,Curtis Painter pass complete short right to Brody Eldridge for 6 yards (tackle by Curtis Lofton),1.270,1.530
1,9:59,2,4,IND 41,7,0,Curtis Painter pass complete short right to Pierre Garcon for 15 yards (tackle by Brent Grimes),1.530,2.650
1,9:29,1,10,ATL 44,7,0,Donald Brown up the middle for 9 yards (tackle by Ray Edwards and Sean Weatherspoon),2.650,3.330
1,9:03,2,1,ATL 35,7,0,Curtis Painter pass incomplete deep middle intended for Pierre Garcon,3.330,2.610
1,8:57,3,1,ATL 35,7,0,Donald Brown up the middle for 2 yards (tackle by Peria Jerry and Sean Weatherspoon),2.610,3.380
1,8:27,1,10,ATL 33,7,0,Curtis Painter pass incomplete short right intended for Jacob Tamme,3.380,2.840
1,8:21,2,10,ATL 33,7,0,Curtis Painter pass incomplete short middle intended for Dallas Clark,2.840,2.150
1,8:16,,,,7,0,Timeout #1 by Atlanta Falcons,0.000,2.150
1,8:16,3,10,ATL 33,7,0,Curtis Painter pass incomplete deep right intended for Reggie Wayne is intercepted by Kelvin Hayden at ATL-15 and returned for 1 yard (tackle by Reggie Wayne),2.150,0.140
1,8:05,1,10,ATL 16,7,0,Michael Turner right tackle for 1 yard (tackle by Philip Wheeler and Pat Angerer),-0.140,-0.510
1,7:25,2,9,ATL 17,7,0,Matt Ryan pass incomplete short left intended for Julio Jones,-0.510,-1.200
1,7:21,3,9,ATL 17,7,0,Matt Ryan pass complete short right to Roddy White for 13 yards (tackle by Kevin Thomas),-1.200,0.940
1,6:40,1,10,ATL 30,7,0,Matt Ryan pass incomplete short middle intended for Michael Turner (defended by Antonio Johnson),0.940,0.390
1,6:35,2,10,ATL 30,7,0,Michael Turner up the middle for no gain (tackle by Ricardo Mathews),0.390,-0.300
1,5:56,3,10,ATL 30,7,0,Matt Ryan pass incomplete short right intended for Roddy White (defended by Kevin Thomas),-0.300,-1.370
1,5:49,4,10,ATL 30,7,0,"Matt Bosher punts 39 yards, returned by Pierre Garcon for no gain",-1.370,-1.000
1,5:40,1,10,IND 31,7,0,Donald Brown left end for 2 yards (tackle by Sean Weatherspoon and Kroy Biermann),1.000,0.730
1,5:13,2,8,IND 33,7,0,Donald Brown left tackle for 2 yards (tackle by Curtis Lofton),0.730,0.300
1,4:41,3,6,IND 35,7,0,Curtis Painter pass incomplete short right intended for Jacob Tamme,0.300,-1.040
1,4:36,4,6,IND 35,7,0,"Pat McAfee punts 49 yards, returned by Eric Weems for 5 yards (tackle by Philip Wheeler)",-1.040,-0.340
1,4:25,1,10,ATL 21,7,0,Michael Turner up the middle for 15 yards (tackle by Antoine Bethea),0.340,1.330
1,3:44,1,10,ATL 36,7,0,Julio Jones right end for 14 yards (tackle by Antoine Bethea),1.330,2.260
1,3:00,1,10,,13,0,"Matt Ryan pass complete deep middle to Julio Jones for 50 yards, touchdown",2.260,7.000
,,,,,,,"ATL challenged the incomplete pass ruling, and the original play was overturned.",,
1,,,,IND 2,14,0,Matt Bryant kicks extra point good,0.000,0.000
1,,,,ATL 35,14,0,"Matt Bosher kicks off 71 yards, touchback",0.000,0.280
1,2:51,1,10,IND 20,14,0,Donald Brown up the middle for -1 yards (tackle by Sean Weatherspoon),0.280,-0.460
1,2:26,2,11,IND 19,14,0,Curtis Painter pass incomplete short left intended for Donald Brown. Penalty on Curtis Painter: Illegal Forward Pass (Declined),-0.460,-1.140
1,2:18,3,11,IND 19,14,0,Curtis Painter pass complete short left to Austin Collie for 11 yards (tackle by Kelvin Hayden and Dunta Robinson),-1.140,0.940
1,1:44,1,10,IND 30,14,0,Donald Brown left tackle for 2 yards (tackle by Vance Walker and Sean Weatherspoon),0.940,0.660
1,1:05,2,8,IND 32,14,0,Curtis Painter sacked by Jonathan Babineaux for -3 yards,0.660,-0.430
