Unnamed: 0,ATL,IND
First Downs,21,10
Rush-Yds-TDs,41-163-1,21-83-0
Cmp-Att-Yd-TD-INT,14-24-275-3-1,17-33-118-0-1
Sacked-Yards,1-6,2-15
Net Pass Yards,269,103
Total Yards,432,186
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,1-10,6-32
Third Down Conv.,6-14,4-14
Fourth Down Conv.,0-0,0-0
Time of Possession,37:46,22:14
