Quarter,Time,Tm,Detail,ATL,IND
1.0,11:38,Falcons,Michael Turner 1 yard rush (Matt Bryant kick),7,0
,2:51,Falcons,Julio Jones 50 yard pass from Matt Ryan (Matt Bryant kick),14,0
2.0,11:55,Falcons,Julio Jones 80 yard pass from Matt Ryan (Matt Bryant kick),21,0
,7:47,Colts,Jerraud Powers 6 yard interception return (Adam Vinatieri kick),21,7
3.0,2:50,Falcons,Tony Gonzalez 1 yard pass from Matt Ryan (Matt Bryant kick),28,7
4.0,10:15,Falcons,Matt Bryant 20 yard field goal,31,7
