Quarter,Time,Tm,Detail,PIT,CHI
1.0,4:58,Steelers,Matt Spaeth 1 yard pass from Ben Roethlisberger (Jeff Reed kick),7,0
2.0,0:19,Bears,Kellen Davis 6 yard pass from Jay Cutler (Robbie Gould kick),7,7
3.0,5:26,Steelers,Ben Roethlisberger 2 yard rush (Jeff Reed kick),14,7
4.0,6:21,Bears,Johnny Knox 7 yard pass from Jay Cutler (Robbie Gould kick),14,14
,0:15,Bears,Robbie Gould 44 yard field goal,14,17
